RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"19:50:00"	"2026-07-27"	"Galway"	"Solas Na Gealai (IRE)"	"22.00"	"36.24"	"Handicap"	"13"	"15"	"McCullagh, N G"	"Bolger, J S"	"1m4.5f "	"3"	"31"
"20:30:00"	"2026-07-15"	"Killarney"	"Parish Express (IRE)"	"66.00"	"170"	"Handicap"	"11"	"11"	"McDonogh, D P"	"Bolger, J S"	"1m6.5f "	"5"	"65"
"20:30:00"	"2026-07-11"	"Limerick"	"Gaelic Drills (IRE)"	"7.50"	"11.36"	"Handicap"	"5"	"6"	"Crosse, Nathan"	"Bolger, J S"	"1m4.5f "	"3"	"15"
"19:00:00"	"2026-06-30"	"Roscommon"	"Freedom And Light (IRE)"	"40.00"	"85"	"Handicap"	"8"	"10"	"McDonogh, D P"	"Bolger, J S"	"1m2.5f "	"3"	"26"
"18:45:00"	"2026-06-26"	"Curragh"	"Gaelic Drills (IRE)"	"11.00"	"17.5"	"Handicap"	"9"	"14"	"Tynan, Orla"	"Bolger, J S"	"1m4f "	"3"	"39"
"14:41:00"	"2026-06-20"	"Down Royal"	"Dreoilin (IRE)"	"8.00"	"12.5"	"Handicap"	"8"	"10"	"McDonogh, D P"	"Bolger, J S"	"1m2.5f "	"3"	"41"
"18:30:00"	"2026-06-11"	"Leopardstown"	"Lar Na Coille (IRE)"	"25.00"	"36"	"Handicap"	"10"	"12"	"McDonogh, D P"	"Bolger, J S"	"7f "	"3"	"53"
"19:00:00"	"2026-06-04"	"Leopardstown"	"Freedom And Light (IRE)"	"50.00"	"120"	"Maiden"	"7"	"12"	"McDonogh, D P"	"Bolger, J S"	"1m2f "	"3"	"26"
"17:40:00"	"2026-05-24"	"Curragh"	"Maeve Brennan (IRE)"	"9.00"	"14"	"Handicap"	"21"	"24"	"McDonogh, D P"	"Bolger, J S"	"1m6f "	"4"	"29"
"17:55:00"	"2026-05-23"	"Curragh"	"Theorist (IRE)"	"33.00"	"70"	"Maiden"	"10"	"15"	"McDonogh, D P"	"Bolger, J S"	"1m2f "	"3"	"29"
"19:53:00"	"2026-05-11"	"Roscommon"	"Parish Express (IRE)"	"33.00"	"46"	"Handicap"	"14"	"14"	"OGorman, Jessica"	"Bolger, J S"	"1m4f "	"5"	"326"
