RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"15:20:00"	"2026-04-04"	"Haydock"	"Whistleinthedark (IRE)"	"33.00"	"60"	"Handicap Chase"	"PU"	"17"	"Maggs, Mr Charlie"	"Morgan, Miss Laura"	"2m4f "	"11"	"113"
"16:30:00"	"2026-02-14"	"Haydock"	"Shearer (IRE)"	"0.80"	"1.97"	"Hunters Chase"	"3"	"6"	"Andrews, Gina"	"Nicholls, P F"	"2m6.5f "	"10"	"337"
"13:28:00"	"2026-02-14"	"Haydock"	"Twoshotsoftequila (IRE)"	"25.00"	"67.13"	"Handicap Chase"	"PU"	"11"	"Moscrop, Nathan"	"Menzies, Rebecca"	"2m4f "	"9"	"711"
"14:05:00"	"2025-12-20"	"Haydock"	"Grand Albert (IRE)"	"16.00"	"24.03"	"Handicap Chase"	"5"	"12"	"Hughes, Brian"	"McCain Jnr, D"	"3m2f "	"7"	"21"
"12:40:00"	"2025-11-22"	"Haydock"	"Cossack Chach (IRE)"	"66.00"	"111.87"	"Handicap Chase"	"PU"	"7"	"Jones, Charlotte"	"Moffatt, James"	"2m.5f "	"5"	"416"
"14:30:00"	"2025-01-18"	"Haydock"	"Mr Vango (IRE)"	"4.00"	"5.43"	"Handicap Chase"	"1"	"8"	"Tudor, Jack"	"Bradstock, Mrs Sara V"	"3m2f "	"9"	"42"
"15:10:00"	"2024-12-30"	"Haydock"	"Gaboriot (FR)"	"3.33"	"4.9"	"Handicap Chase"	"3"	"7"	"Smith, Ben"	"Greenall, O / Guerriero, J"	"3m4.5f "	"8"	"16"
"13:30:00"	"2024-12-30"	"Haydock"	"If Not For Dylan (IRE)"	"22.00"	"37.91"	"Handicap Chase"	"6"	"7"	"Fox, Derek R"	"Russell, Miss Lucinda V"	"2m4f "	"9"	"612"
"13:30:00"	"2024-12-30"	"Haydock"	"Trac (FR)"	"22.00"	"37.44"	"Handicap Chase"	"PU"	"7"	"OFarrell, C"	"Hammond, Micky"	"2m4f "	"7"	"51"
"13:30:00"	"2024-12-21"	"Haydock"	"Sunnyvilla (IRE)"	"6.50"	"7.8"	"Handicap Chase"	"1"	"8"	"McMenamin, Daniel"	"Richards, N G"	"2m.5f "	"9"	"246"
"13:50:00"	"2024-11-23"	"Haydock"	"Lieutenant Command (FR)"	"150.00"	"283.57"	"Chase"	"PU"	"6"	"Reed, Harry"	"Reed, W T"	"2m5.5f "	"10"	"479"
"14:40:00"	"2023-04-08"	"Haydock"	"Feivel (IRE)"	"4.50"	"6.2"	"Handicap Chase"	"7"	"14"	"Gethings, Ciaran"	"Edmunds, Stuart"	"3m1.5f "	"8"	"8"
"17:20:00"	"2023-03-22"	"Haydock"	"Amoola Gold (GER)"	"12.00"	"18"	"Handicap Chase"	"6"	"6"	"Andrews, Bridget"	"Skelton, Daniel"	"2m.5f "	"10"	"51"
"14:25:00"	"2023-03-22"	"Haydock"	"Arthurs Quay (IRE)"	"9.00"	"12.5"	"Handicap Novices Chase"	"3"	"4"	"Hogan, Mr J"	"Haslam, B M R"	"2m4f "	"9"	"34"
"14:00:00"	"2022-12-30"	"Haydock"	"Chinwag"	"11.00"	"16.92"	"Handicap Chase"	"PU"	"11"	"Twiston-Davies, Sam"	"Mulholland, N P"	"2m6f "	"7"	"45"
"15:07:00"	"2022-11-30"	"Haydock"	"Fortified Bay (IRE)"	"22.00"	"29"	"Handicap Chase"	"PU"	"9"	"Quinlan, Sean"	"Candlish, Jennie"	"3m1.5f "	"10"	"571"
"15:52:00"	"2022-04-16"	"Haydock"	"Musical Slave (IRE)"	"7.00"	"9.6"	"Handicap Chase"	"1"	"7"	"OBrien, T J"	"Hobbs, P J / White, J"	"3m2f "	"9"	"35"
"14:40:00"	"2022-02-19"	"Haydock"	"Kalooki (GER)"	"25.00"	"30"	"Handicap Chase"	"PU"	"11"	"OBrien, T J"	"Hobbs, P J / White, J"	"3m4.5f "	"8"	"28"
"14:35:00"	"2022-01-22"	"Haydock"	"Kalooki (GER)"	"16.00"	"21.77"	"Handicap Chase"	"5"	"10"	"OBrien, T J"	"Hobbs, P J / White, J"	"3m2f "	"8"	"24"
"14:50:00"	"2021-12-01"	"Haydock"	"Psychedelic Rock"	"25.00"	"33.06"	"Handicap Chase"	"PU"	"11"	"Todd, C J"	"Williams, Ian"	"3m1.5f "	"10"	"157"
"13:50:00"	"2021-12-01"	"Haydock"	"Burrows Edge (FR)"	"7.50"	"10.5"	"Novices Chase"	"4"	"4"	"Boinville, Nico"	"Henderson, N J"	"2m5.5f "	"8"	"630"
"12:40:00"	"2021-11-20"	"Haydock"	"Silva Eclipse"	"8.00"	"10.5"	"Handicap Chase"	"7"	"11"	"Mania, Ryan"	"Smith, Mrs S J"	"3m4.5f "	"8"	"34"
"14:40:00"	"2021-04-03"	"Haydock"	"Strictlyadancer (IRE)"	"9.00"	"11.08"	"Handicap Chase"	"4"	"11"	"Scholfield, Nick"	"Williams, Christian"	"3m1.5f "	"7"	"83"
"14:40:00"	"2021-01-23"	"Haydock"	"Just Your Type (IRE)"	"18.00"	"21"	"Handicap Chase"	"3"	"8"	"Quinlan, Sean"	"Longsdon, C E"	"3m2f "	"9"	"48"
"14:40:00"	"2021-01-23"	"Haydock"	"Acey Milan (IRE)"	"7.50"	"10"	"Handicap Chase"	"F"	"8"	"Dingle, Rex"	"Honeyball, A J"	"3m2f "	"7"	"40"
"12:20:00"	"2020-12-19"	"Haydock"	"Ubetya (IRE)"	"4.50"	"5.74"	"Novices Chase"	"3"	"5"	"Wedge, Adam"	"Morgan, Miss Laura"	"2m.5f "	"5"	"50"
"12:20:00"	"2020-12-19"	"Haydock"	"Elvis Mail (FR)"	"2.75"	"4"	"Novices Chase"	"4"	"5"	"Twiston-Davies, Sam"	"Alexander, N W"	"2m.5f "	"6"	"38"
"14:20:00"	"2020-12-02"	"Haydock"	"Burtons Well (IRE)"	"5.50"	"7.8"	"Handicap Chase"	"PU"	"7"	"Deutsch, Charlie"	"Williams, Miss Venetia"	"3m1.5f "	"11"	"287"
"15:35:00"	"2020-11-21"	"Haydock"	"Midnight Tune"	"9.00"	"10"	"Handicap Chase"	"REF"	"11"	"Coleman, A"	"Honeyball, A J"	"3m4.5f "	"9"	"252"
