RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"14:12:00"	"2026-07-25"	"Gowran Park"	"Romantic War (IRE)"	"80.00"	"310"	"Handicap"	"12"	"14"	"Donaghue-Leahy, R"	"Murray, J G"	"7f "	"4"	"5"
"19:30:00"	"2026-07-22"	"Naas"	"William F Browne (IRE)"	"14.00"	"18.16"	"Handicap"	"7"	"18"	"Grant, A S"	"Flynn, Paul W"	"1m "	"4"	"7"
"17:42:00"	"2026-07-17"	"Down Royal"	"Shamanka (IRE)"	"25.00"	"40"	"Handicap"	"10"	"11"	"Cleary, Jack"	"Cleary, Harry"	"5f "	"4"	"28"
"20:50:00"	"2026-07-10"	"Chester"	"Kings Merchant"	"5.00"	"6.46"	"Handicap"	"1"	"8"	"Swift, Mr Dale"	"Kirby, P A"	"7f "	"5"	"7"
"20:00:00"	"2026-07-10"	"Cork"	"Da Capo Glory (IRE)"	"8.50"	"12"	"Hurdle"	"5"	"9"	"OSullivan, Alan"	"Butler, Padraig"	"3m "	"9"	"34"
"19:50:00"	"2026-07-06"	"Roscommon"	"Moonshine Girl (IRE)"	"9.00"	"15.32"	"Handicap Hurdle"	"2"	"16"	"Townend, Miss J"	"Gilligan, Paul John"	"3m "	"7"	"39"
"17:15:00"	"2026-07-03"	"Sandown"	"Cristo"	"5.00"	"6.5"	"Handicap"	"1"	"10"	"Levey, S M"	"Hannon (Jnr), Richard"	"1m "	"4"	"20"
"16:42:00"	"2026-07-03"	"Sandown"	"Galactic Jack (IRE)"	"66.00"	"130"	"Handicap"	"7"	"8"	"Queally, T P"	"Moore, Gary and Josh"	"1m6f "	"6"	"23"
"19:55:00"	"2026-07-01"	"Fairyhouse"	"Heart Of Darkness"	"14.00"	"22.54"	"Handicap"	"11"	"12"	"Caffrey, Adam"	"McGuinness, Adrian"	"1m.5f "	"5"	"12"
"15:10:00"	"2026-07-01"	"Thirsk"	"Saucy Jane"	"5.50"	"7"	"Handicap"	"1"	"11"	"James, S H"	"Morland, Jack"	"6f "	"3"	"19"
"19:39:00"	"2026-06-30"	"Ffos Las"	"Arnaz"	"18.00"	"22"	"Handicap"	"7"	"8"	"Hornby, Rob"	"Loughnane, Daniel Mark"	"7.5f "	"5"	"42"
"17:05:00"	"2026-06-27"	"Curragh"	"Inishfallen (IRE)"	"11.00"	"18.56"	"Handicap"	"11"	"14"	"Keane, C T"	"Thorne, Stephen"	"6f "	"5"	"27"
"19:15:00"	"2026-06-23"	"Newton Abbot"	"Man Oh Man (IRE)"	"16.00"	"22"	"Handicap Novices Hurdle"	"2"	"10"	"Carver, Bryan"	"Summersby, D P"	"2m2.5f "	"7"	"26"
"18:27:00"	"2026-06-19"	"Limerick"	"Heart Of Darkness"	"25.00"	"36"	"Handicap"	"6"	"13"	"Caffrey, Adam"	"McGuinness, Adrian"	"1m "	"5"	"18"
"19:20:00"	"2026-06-18"	"Leopardstown"	"Medieval Night (IRE)"	"12.00"	"24.51"	"Handicap"	"3"	"14"	"Sheridan, J M"	"Hogan, Denis Gerard"	"1m1f "	"4"	"17"
"18:00:00"	"2026-06-18"	"Lingfield"	"Hawaiian King (IRE)"	"33.00"	"70"	"Non-Handicap"	"6"	"10"	"Dace, Jack"	"Madgwick, M"	"1m2f "	"4"	"42"
"13:40:00"	"2026-06-18"	"Ripon"	"Kitsune Power (IRE)"	"4.50"	"7"	"Handicap"	"6"	"12"	"Burley, Miss Rebecca"	"Easterby, T D"	"1m4f "	"7"	"22"
"14:30:00"	"2026-06-13"	"Bath"	"Phoenix Beach (IRE)"	"33.00"	"50"	"Handicap"	"11"	"14"	"Heard, Tyler"	"Dixon, Scott"	"5f "	"7"	"22"
