RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"14:00:00"	"2026-07-30"	"Nottingham"	"Roots In Touche (IRE)"	"0.91"	"1.98"	"Novices"	"1"	"2"	"Sheehy, M P"	"Keatley, Adrian Paul"	"5f "	"2"	"38"
"17:55:00"	"2026-07-29"	"Leicester"	"Caravel (IRE)"	"12.00"	"12.89"	"Maiden"	"4"	"4"	"Muscutt, D"	"Woods, S P C"	"6f "	"2"	"11"
"16:45:00"	"2026-07-28"	"Goodwood"	"Beach Noir (IRE)"	"125.00"	"210"	"Maiden"	"14"	"15"	"Crouch, Hector"	"Moore, Gary and Josh"	"6f "	"2"	"25"
"14:45:00"	"2026-07-28"	"Beverley"	"Black Velvet Boy (IRE)"	"3.50"	"6.4"	"Maiden"	"1"	"13"	"Hart, Jason"	"Quinn, J J"	"5f "	"2"	"8"
"18:20:00"	"2026-07-27"	"Windsor"	"Bollengo Boy (IRE)"	"66.00"	"198.6"	"Novices"	"6"	"7"	"Hutchinson, Callum"	"Houghton, Eve Johnson"	"6f "	"2"	"14"
"16:30:00"	"2026-07-27"	"Southwell"	"Real Edition (IRE)"	"33.00"	"70"	"Novices"	"4"	"12"	"Robinson, Ben"	"Lidster, Craig"	"7f "	"2"	"66"
"15:00:00"	"2026-07-26"	"Pontefract"	"Bolt Of Blue (FR)"	"3.50"	"5"	"Maiden"	"1"	"6"	"Loughnane, Mr Billy"	"Dunlop, E A L"	"5f "	"2"	"11"
"19:00:00"	"2026-07-25"	"Lingfield"	"American Psycho (IRE)"	"7.00"	"9.38"	"Novices"	"4"	"7"	"Jamin, Pierre-Louis"	"Watson, Archie"	"5f "	"2"	"68"
"18:15:00"	"2026-07-25"	"Salisbury"	"Hemustbeanangel (IRE)"	"50.00"	"80"	"Novices"	"3"	"4"	"Lewis, Owen"	"Teal, R A"	"6f "	"2"	"26"
"15:10:00"	"2026-07-25"	"Chester"	"Royal Titan (USA)"	"33.00"	"59.3"	"Maiden"	"5"	"6"	"Dawson, R"	"Botti, M"	"7f "	"2"	"11"
