RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"16:40:00"	"2026-05-08"	"Ballinrobe"	"Aurevoir Tristesse (IRE)"	"20.00"	"28"	"Claimer"	"7"	"10"	"Hayes, C D"	"Weld, D K"	"1m1.5f "	"3"	"70"
"17:27:00"	"2026-05-03"	"Cork"	"Abbotsford"	"7.50"	"14.72"	"Maiden"	"2"	"10"	"Hayes, C D"	"Weld, D K"	"1m2.5f "	"3"	"149"
"16:50:00"	"2026-05-03"	"Cork"	"Contrite"	"6.00"	"9.68"	"Maiden"	"9"	"10"	"Roche, L F"	"Weld, D K"	"1m2.5f "	"3"	"163"
"16:17:00"	"2026-04-11"	"Bellewstown"	"Queen Earthlight (IRE)"	"10.00"	"19.5"	"Maiden"	"6"	"11"	"Hayes, C D"	"Weld, D K"	"1m "	"3"	"78"
"14:42:00"	"2025-07-12"	"Limerick"	"Raykir (IRE)"	"2.00"	"3.23"	"Maiden"	"3"	"11"	"Hayes, C D"	"Weld, D K"	"1m "	"3"	"99"
"16:30:00"	"2025-06-07"	"Navan"	"Saxon Belle (IRE)"	"4.50"	"8.2"	"Maiden"	"6"	"14"	"Hayes, C D"	"Weld, D K"	"1m2f "	"3"	"99"
"17:57:00"	"2025-05-29"	"Fairyhouse"	"Alice Monet (IRE)"	"16.00"	"22.03"	"Maiden"	"4"	"5"	"Roche, L F"	"Weld, D K"	"6f "	"3"	"97"
"17:05:00"	"2025-05-04"	"Sligo"	"Bint Majestic Roi (IRE)"	"11.00"	"14"	"Handicap"	"8"	"12"	"Kearney, J"	"Weld, D K"	"1m2.5f "	"3"	"114"
"17:20:00"	"2025-04-08"	"Navan"	"Elvetham (IRE)"	"10.00"	"11.91"	"Handicap"	"7"	"19"	"Hayes, C D"	"Weld, D K"	"1m2f "	"3"	"55"
"17:40:00"	"2024-09-07"	"Navan"	"Tiding"	"9.00"	"13.88"	"Maiden"	"3"	"16"	"Hayes, C D"	"Weld, D K"	"1m2f "	"3"	"57"
"18:10:00"	"2024-06-07"	"Fairyhouse"	"De Janeiro (IRE)"	"11.00"	"17.96"	"Maiden"	"3"	"15"	"Hayes, C D"	"Weld, D K"	"7f "	"3"	"210"
"20:00:00"	"2024-06-05"	"Curragh"	"Zaragoza (IRE)"	"10.00"	"15.57"	"Handicap"	"1"	"19"	"Hayes, C D"	"Weld, D K"	"6.5f "	"4"	"103"
"20:30:00"	"2024-05-31"	"Down Royal"	"Step To Somewhere"	"6.00"	"8.3"	"Maiden"	"8"	"14"	"Roche, L F"	"Weld, D K"	"1m2f "	"3"	"56"
"18:00:00"	"2023-06-28"	"Naas"	"Eye Of Envy (IRE)"	"11.00"	"16.29"	"Maiden"	"9"	"10"	"Hayes, C D"	"Weld, D K"	"6f "	"3"	"166"
"16:05:00"	"2023-06-01"	"Roscommon"	"Cara Susanna (IRE)"	"4.00"	"6.91"	"Maiden"	"5"	"9"	"Hayes, C D"	"Weld, D K"	"1m3.5f "	"4"	"51"
"20:30:00"	"2023-05-16"	"Sligo"	"Votre Homme (IRE)"	"10.00"	"16.25"	"Maiden"	"2"	"11"	"Enright, O"	"Weld, D K"	"1m5f "	"3"	"74"
"16:35:00"	"2023-03-29"	"Navan"	"Florida Taiga (IRE)"	"22.00"	"28"	"Handicap"	"6"	"11"	"Hayes, C D"	"Weld, D K"	"1m2f "	"3"	"33"
"19:30:00"	"2022-07-21"	"Leopardstown"	"Westernesse (IRE)"	"18.00"	"29.44"	"Handicap"	"2"	"12"	"Hayes, C D"	"Weld, D K"	"1m "	"3"	"100"
"16:15:00"	"2022-04-13"	"Gowran Park"	"Giladah (IRE)"	"25.00"	"37.53"	"Maiden"	"6"	"16"	"OConnor, Donagh"	"Weld, D K"	"1m "	"3"	"19"
"15:45:00"	"2021-09-16"	"Naas"	"Obdurate"	"16.00"	"22.68"	"Handicap Nursery"	"16"	"18"	"Keane, C T"	"Weld, D K"	"1m "	"2"	"32"
"14:20:00"	"2021-05-30"	"Navan"	"Gatwick Kitten (USA)"	"25.00"	"42"	"Handicap"	"5"	"21"	"Keane, C T"	"Weld, D K"	"5f "	"4"	"121"
"16:15:00"	"2021-05-19"	"Cork"	"Fast Celt (IRE)"	"14.00"	"16.79"	"Handicap"	"6"	"14"	"Sheehy, M P"	"Weld, D K"	"1m2f "	"3"	"28"
"18:10:00"	"2021-05-11"	"Killarney"	"Cosa Sara (IRE)"	"7.50"	"10"	"Handicap"	"9"	"11"	"Keane, C T"	"Weld, D K"	"1m "	"3"	"20"
"16:50:00"	"2021-05-04"	"Gowran Park"	"Clan Jock (IRE)"	"14.00"	"19"	"Handicap"	"15"	"18"	"Orr, Oisin"	"Weld, D K"	"1m6f "	"4"	"192"
"16:05:00"	"2021-04-24"	"Limerick"	"Abstract (IRE)"	"8.00"	"11.61"	"Handicap"	"7"	"9"	"Ewing, Sam"	"Weld, D K"	"1m3.5f "	"3"	"14"
"13:30:00"	"2020-11-02"	"Curragh"	"Gatwick Kitten (USA)"	"40.00"	"78.65"	"Handicap"	"12"	"18"	"Hayes, C D"	"Weld, D K"	"7f "	"3"	"367"
"13:20:00"	"2020-10-20"	"Fairyhouse"	"Zumoradda (IRE)"	"5.50"	"9"	"Maiden"	"2"	"9"	"Orr, Oisin"	"Weld, D K"	"7f "	"2"	"25"
"16:20:00"	"2020-09-19"	"Gowran Park"	"Camilla Sina (IRE)"	"11.00"	"16.36"	"Handicap"	"5"	"14"	"Hayes, C D"	"Weld, D K"	"1m "	"3"	"69"
"16:30:00"	"2020-09-09"	"Cork"	"Solene Lilyette (IRE)"	"6.00"	"7.05"	"Maiden"	"6"	"13"	"Orr, Oisin"	"Weld, D K"	"1m "	"3"	"25"
"16:40:00"	"2020-06-21"	"Leopardstown"	"Sweet Affection (IRE)"	"5.50"	"7.42"	"Handicap"	"11"	"17"	"Slattery, A J"	"Weld, D K"	"1m2f "	"4"	"149"
"16:10:00"	"2020-06-21"	"Leopardstown"	"Awaasef"	"20.00"	"30.61"	"Maiden"	"8"	"13"	"Slattery, A J"	"Weld, D K"	"1m2f "	"3"	"226"
"17:45:00"	"2020-06-19"	"Gowran Park"	"Siradjan (IRE)"	"16.00"	"25"	"Handicap"	"10"	"11"	"Orr, Oisin"	"Weld, D K"	"1m "	"3"	"119"
"19:15:00"	"2020-06-15"	"Roscommon"	"Winterkoenigin"	"14.00"	"17.64"	"Handicap"	"8"	"10"	"Orr, Oisin"	"Weld, D K"	"1m2f "	"4"	"278"
"18:05:00"	"2020-06-08"	"Naas"	"Haparanda (IRE)"	"80.00"	"131.85"	"Maiden"	"8"	"18"	"Downey, R P"	"Weld, D K"	"1m "	"3"	"80"
"13:30:00"	"2019-10-22"	"Curragh"	"Moondrop (FR)"	"12.00"	"23"	"Handicap Nursery"	"12"	"13"	"Coen, Ben M"	"Weld, D K"	"6.5f "	"2"	"18"
"20:30:00"	"2019-06-14"	"Cork"	"Queen Mia (IRE)"	"16.00"	"40"	"Handicap"	"9"	"18"	"Cleary, R P"	"Weld, D K"	"1m.5f "	"3"	"112"
"17:15:00"	"2018-07-22"	"Curragh"	"Zarena (IRE)"	"7.00"	"9.09"	"Maiden"	"5"	"17"	"McDonogh, D P"	"Weld, D K"	"1m "	"3"	"149"
"17:20:00"	"2018-05-25"	"Leopardstown"	"Andaleep (IRE)"	"16.00"	"25.37"	"Maiden"	"3"	"14"	"Roche, L F"	"Weld, D K"	"7f "	"2"	"44"
"17:25:00"	"2018-05-05"	"Cork"	"Aztec Eagle (IRE)"	"7.00"	"11.5"	"Maiden"	"1"	"12"	"McDonogh, D P"	"Weld, D K"	"1m "	"4"	"118"
"15:00:00"	"2018-04-21"	"Limerick"	"Shamad (IRE)"	"9.00"	"11.01"	"Maiden"	"7"	"14"	"Roche, L F"	"Weld, D K"	"1m "	"4"	"85"
"20:50:00"	"2017-06-15"	"Leopardstown"	"Social Treasure (IRE)"	"25.00"	"55"	"Maiden"	"10"	"15"	"Sinnott, Mr D"	"Weld, D K"	"1m7f "	"4"	"24"
"16:35:00"	"2017-04-08"	"Leopardstown"	"Young Special (IRE)"	"16.00"	"24.63"	"Handicap"	"17"	"19"	"Smullen, P J"	"Weld, D K"	"1m2f "	"3"	"57"
"14:05:00"	"2016-10-03"	"Limerick"	"Making Light (IRE)"	"3.00"	"4.34"	"Maiden"	"1"	"14"	"Smullen, P J"	"Weld, D K"	"7f "	"2"	"50"
"18:35:00"	"2016-07-01"	"Bellewstown"	"Fast Candy (IRE)"	"14.00"	"21"	"Handicap"	"10"	"13"	"Roche, L F"	"Weld, D K"	"1m "	"3"	"44"
"17:10:00"	"2016-04-21"	"Tipperary"	"Midst"	"6.50"	"8.8"	"Maiden"	"3"	"11"	"Smullen, P J"	"Weld, D K"	"5f "	"3"	"83"
"19:10:00"	"2015-08-27"	"Tipperary"	"Mutazen (USA)"	"12.00"	"19"	"Handicap"	"8"	"11"	"Smullen, P J"	"Weld, D K"	"1m1f "	"3"	"11"
"16:00:00"	"2015-07-05"	"Fairyhouse"	"Griko (IRE)"	"8.00"	"13"	"Maiden"	"3"	"11"	"Smullen, P J"	"Weld, D K"	"7f "	"3"	"301"
"20:00:00"	"2015-06-11"	"Leopardstown"	"Dram Girl (USA)"	"16.00"	"26.77"	"Handicap"	"7"	"14"	"Smullen, P J"	"Weld, D K"	"1m2.5f "	"3"	"174"
"16:15:00"	"2015-05-09"	"Gowran Park"	"Magic Kitten (USA)"	"20.00"	"38.29"	"Handicap"	"1"	"11"	"Roche, L F"	"Weld, D K"	"1m4f "	"3"	"64"
"14:55:00"	"2014-10-08"	"Navan"	"Gamble"	"16.00"	"32"	"Maiden"	"9"	"16"	"Roche, L F"	"Weld, D K"	"2m "	"4"	"331"
"19:40:00"	"2014-08-08"	"Tipperary"	"Not Really (IRE)"	"16.00"	"24"	"Maiden"	"5"	"15"	"Roche, L F"	"Weld, D K"	"7.5f "	"2"	"126"
"16:35:00"	"2014-06-14"	"Navan"	"Wildcat Kitten (USA)"	"2.50"	"3.97"	"Handicap"	"5"	"13"	"Smullen, P J"	"Weld, D K"	"1m "	"3"	"155"
"17:15:00"	"2014-05-08"	"Clonmel"	"Vintage Nouveau (IRE)"	"1.00"	"2.02"	"Maiden"	"1"	"6"	"Smullen, P J"	"Weld, D K"	"1m2f "	"3"	"22"
"14:20:00"	"2014-04-05"	"Gowran Park"	"Silver Gauntlet (IRE)"	"6.00"	"8.59"	"Handicap"	"10"	"11"	"Smullen, P J"	"Weld, D K"	"7f "	"3"	"169"
"13:25:00"	"2013-11-03"	"Leopardstown"	"Elegant Peace (IRE)"	"14.00"	"21"	"Handicap Nursery"	"1"	"12"	"Roche, L F"	"Weld, D K"	"7f "	"2"	"9"
"19:05:00"	"2013-05-07"	"Navan"	"Sleeping Beauty (IRE)"	"25.00"	"58.97"	"Non-Handicap"	"3"	"7"	"Smullen, P J"	"Weld, D K"	"1m2f "	"3"	"20"
"18:10:00"	"2013-04-11"	"Limerick"	"Treasure The Ridge (IRE)"	"8.00"	"10.5"	"Handicap"	"3"	"11"	"Smullen, P J"	"Weld, D K"	"1m "	"4"	"342"
"17:45:00"	"2013-03-30"	"Cork"	"Diesel Ten (IRE)"	"10.00"	"15"	"Maiden"	"4"	"10"	"Smullen, P J"	"Weld, D K"	"1m.5f "	"3"	"29"
"15:10:00"	"2012-10-24"	"Navan"	"Nabat Ali"	"4.50"	"8.4"	"Maiden"	"4"	"7"	"Smullen, P J"	"Weld, D K"	"1m "	"2"	"12"
"13:35:00"	"2012-10-24"	"Navan"	"Storm Lightning"	"16.00"	"38"	"Handicap"	"1"	"12"	"Roche, L F"	"Weld, D K"	"5f "	"3"	"12"
"13:45:00"	"2012-10-16"	"Curragh"	"Lucky Kitten (USA)"	"12.00"	"21"	"Maiden"	"4"	"6"	"Roche, L F"	"Weld, D K"	"7f "	"2"	"44"
"21:00:00"	"2012-07-11"	"Naas"	"El Toreros (USA)"	"10.00"	"15"	"Handicap"	"4"	"8"	"Roche, L F"	"Weld, D K"	"1m2f "	"4"	"21"
"18:20:00"	"2012-05-31"	"Clonmel"	"No Such Number"	"1.50"	"2.77"	"Maiden"	"2"	"10"	"Smullen, P J"	"Weld, D K"	"1m2f "	"4"	"57"
"14:40:00"	"2011-10-16"	"Naas"	"Floralys (USA)"	"6.00"	"8.8"	"Maiden"	"6"	"20"	"Smullen, P J"	"Weld, D K"	"6f "	"2"	"16"
"16:55:00"	"2011-08-29"	"Galway"	"Lord Windark (IRE)"	"12.00"	"18.5"	"Handicap"	"14"	"15"	"Smullen, P J"	"Weld, D K"	"1m.5f "	"3"	"108"
"17:30:00"	"2011-08-24"	"Killarney"	"Lisselan Hostess (IRE)"	"6.00"	"9.72"	"Handicap"	"14"	"14"	"Smullen, P J"	"Weld, D K"	"1m.5f "	"3"	"117"
"18:10:00"	"2011-07-26"	"Galway"	"Rainforest Magic (IRE)"	"5.00"	"6.6"	"Handicap"	"1"	"18"	"Smullen, P J"	"Weld, D K"	"2m "	"4"	"179"
"14:10:00"	"2011-06-12"	"Roscommon"	"Celebrity Sevi (IRE)"	"12.00"	"19.84"	"Maiden"	"12"	"12"	"Gorey, S M"	"Weld, D K"	"1m2f "	"3"	"44"
"20:45:00"	"2011-05-13"	"Cork"	"Acoustic Cheer (USA)"	"16.00"	"35.76"	"Maiden"	"9"	"14"	"Shanahan, P"	"Weld, D K"	"1m4f "	"3"	"35"
"17:10:00"	"2011-04-17"	"Navan"	"Kildare Kitten (USA)"	"8.00"	"15"	"Handicap"	"8"	"17"	"Gorey, S M"	"Weld, D K"	"1m2f "	"3"	"149"
"19:20:00"	"2010-07-19"	"Ballinrobe"	"Confidence (USA)"	"3.50"	"5.5"	"Maiden"	"3"	"15"	"Smullen, P J"	"Weld, D K"	"1m1f "	"3"	"7"
"15:05:00"	"2010-06-06"	"Listowel"	"Shanarose (USA)"	"14.00"	"40.26"	"Handicap"	"11"	"15"	"Gorey, S M"	"Weld, D K"	"1m "	"3"	"29"
"19:00:00"	"2010-06-02"	"Fairyhouse"	"Such Abundance"	"5.50"	"8.6"	"Maiden"	"10"	"16"	"Smullen, P J"	"Weld, D K"	"7f "	"3"	"19"
"18:20:00"	"2010-05-17"	"Roscommon"	"Simon Bolivar (GER)"	"5.50"	"6.51"	"Handicap"	"6"	"15"	"Gorey, S M"	"Weld, D K"	"1m4f "	"3"	"191"
"16:30:00"	"2010-04-15"	"Tipperary"	"Flyjack (USA)"	"2.50"	"3.4"	"Maiden"	"3"	"7"	"Smullen, P J"	"Weld, D K"	"5f "	"3"	"34"
"19:55:00"	"2010-04-13"	"Limerick"	"Sublime Talent (IRE)"	"4.00"	"5.51"	"Maiden"	"1"	"10"	"Smullen, P J"	"Weld, D K"	"1m3.5f "	"4"	"32"
"15:55:00"	"2009-10-26"	"Leopardstown"	"Committed Spirit (USA)"	"66.00"	"1000"	"Non-Handicap"	"9"	"9"	"Gorey, S M"	"Weld, D K"	"1m2f "	"3"	"3"
"13:20:00"	"2009-10-25"	"Galway"	"The Glamour Cat (IRE)"	"12.00"	"30"	"Non-Handicap"	"10"	"13"	"Roche, L F"	"Weld, D K"	"7f "	"2"	"23"
"16:05:00"	"2009-10-11"	"Curragh"	"Surfer Girl (IRE)"	"16.00"	"46.33"	"Handicap"	"8"	"18"	"Roche, L F"	"Weld, D K"	"1m2f "	"4"	"40"
"18:25:00"	"2009-07-28"	"Galway"	"Almolahek (IRE)"	"5.50"	"6.35"	"Handicap"	"1"	"15"	"Smullen, P J"	"Weld, D K"	"2m "	"4"	"5"
"21:00:00"	"2009-06-17"	"Fairyhouse"	"Gratified"	"3.00"	"4.2"	"Maiden"	"1"	"9"	"Carberry, Miss N"	"Weld, D K"	"1m5f "	"4"	"29"
"19:55:00"	"2009-05-29"	"Down Royal"	"Haunting Melody (IRE)"	"12.00"	"20.4"	"Non-Handicap"	"7"	"10"	"Smullen, P J"	"Weld, D K"	"5f "	"3"	"14"
"18:10:00"	"2009-05-21"	"Clonmel"	"Vivien Lee (IRE)"	"3.50"	"4.8"	"Handicap"	"1"	"10"	"Smullen, P J"	"Weld, D K"	"1m2f "	"3"	"167"
"14:25:00"	"2009-05-10"	"Leopardstown"	"Lisselan Princess"	"8.00"	"12.04"	"Maiden"	"6"	"10"	"Smullen, P J"	"Weld, D K"	"6f "	"2"	"23"
"17:30:00"	"2009-05-04"	"Curragh"	"Blue Ridge Lane (IRE)"	"5.50"	"8.09"	"Maiden"	"3"	"23"	"Smullen, P J"	"Weld, D K"	"7f "	"3"	"227"
"16:30:00"	"2009-05-04"	"Curragh"	"Law Officer (IRE)"	"10.00"	"16"	"Handicap"	"10"	"19"	"Gorey, S M"	"Weld, D K"	"1m2f "	"3"	"150"
"16:30:00"	"2009-04-26"	"Navan"	"Popspeed (IRE)"	"4.00"	"5.8"	"Maiden"	"1"	"10"	"Smullen, P J"	"Weld, D K"	"5f "	"3"	"15"
"14:15:00"	"2009-04-26"	"Navan"	"Tabaahi (IRE)"	"14.00"	"22"	"Handicap"	"8"	"15"	"Shanahan, P"	"Weld, D K"	"6f "	"4"	"191"
"15:05:00"	"2008-10-20"	"Curragh"	"Turklord (IRE)"	"10.00"	"14"	"Handicap"	"18"	"21"	"Smullen, P J"	"Weld, D K"	"7f "	"3"	"43"
"14:20:00"	"2008-10-12"	"Naas"	"Northern Rocked (IRE)"	"16.00"	"25"	"Maiden"	"2"	"17"	"Shanahan, P"	"Weld, D K"	"6f "	"2"	"43"
"19:05:00"	"2008-06-19"	"Fairyhouse"	"Rock Critic (IRE)"	"9.00"	"12"	"Handicap"	"9"	"18"	"Shanahan, P"	"Weld, D K"	"7f "	"3"	"34"
"15:15:00"	"2008-05-18"	"Gowran Park"	"Turklord (IRE)"	"5.00"	"6.8"	"Handicap"	"3"	"16"	"Smullen, P J"	"Weld, D K"	"7f "	"3"	"191"
"17:35:00"	"2008-04-30"	"Ballinrobe"	"Alaneed"	"5.00"	"6.55"	"Maiden"	"6"	"10"	"Smullen, P J"	"Weld, D K"	"1m1f "	"3"	"13"
"18:00:00"	"2008-04-27"	"Navan"	"Knowing Wink (IRE)"	"7.00"	"8.43"	"Handicap"	"3"	"20"	"Smullen, P J"	"Weld, D K"	"1m2f "	"3"	"23"
"14:35:00"	"2008-04-19"	"Naas"	"Leos Pride (IRE)"	"6.50"	"14.94"	"Maiden"	"1"	"20"	"Smullen, P J"	"Weld, D K"	"1m "	"3"	"43"
"13:55:00"	"2008-03-24"	"Cork"	"Redwater River"	"8.00"	"19.83"	"Maiden"	"2"	"16"	"Smullen, P J"	"Weld, D K"	"6f "	"4"	"5"
"14:35:00"	"2007-09-22"	"Listowel"	"Starastra (USA)"	"14.00"	"0"	"Handicap"	"10"	"13"	"Gorey, S M"	"Weld, D K"	"1m "	"3"	"27"
"16:30:00"	"2004-08-07"	"Downpatrick"	"Warranty (IRE)"	"4.00"	"0"	"Claimer"	"9"	"10"	"Smullen, P J"	"Weld, D K"	"1m4f "	"4"	"7"
