RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"17:40:00"	"2026-07-31"	"Newcastle"	"Tickhill Flyer"	"25.00"	"37.54"	"Non-Handicap"	"9"	"13"	"Costello, Dougie"	"Smith, Mrs S J"	"6f "	"3"	"53"
"14:35:00"	"2026-07-31"	"Wolverhampton"	"Quick Quasar (IRE)"	"22.00"	"27.42"	"Handicap"	"4"	"10"	"Morris, Luke"	"Watson, Archie"	"7f "	"3"	"32"
"14:35:00"	"2026-07-31"	"Wolverhampton"	"Generous Rascal"	"10.00"	"16.5"	"Handicap"	"5"	"10"	"Doughty, Jack"	"Cunha, Dylan"	"7f "	"3"	"13"
"14:25:00"	"2026-07-31"	"Goodwood"	"Andab (IRE)"	"20.00"	"30"	"Non-Handicap"	"5"	"7"	"McMonagle, Dylan B"	"OBrien, Joseph Patrick"	"1m "	"3"	"41"
"14:10:00"	"2026-07-31"	"Newcastle"	"Millbuie"	"10.00"	"13.5"	"Non-Handicap"	"2"	"10"	"Pyle, William"	"Whillans, Ewan"	"1m2f "	"5"	"18"
"14:10:00"	"2026-07-31"	"Newcastle"	"Arranmore"	"25.00"	"27.98"	"Non-Handicap"	"6"	"10"	"Brookes, Aiden"	"Hammond, Micky"	"1m2f "	"9"	"6"
"14:10:00"	"2026-07-31"	"Newcastle"	"Bitacora (IRE)"	"20.00"	"28.79"	"Non-Handicap"	"10"	"10"	"Orr, Oisin"	"Bourke, D F"	"1m2f "	"6"	"12"
"17:30:00"	"2026-07-30"	"Epsom"	"Oj Lifestyle (IRE)"	"4.50"	"6.26"	"Handicap"	"3"	"6"	"Fernandes, Mr Jude"	"Moore, Gary and Josh"	"1m2f "	"6"	"29"
"17:10:00"	"2026-07-30"	"Wolverhampton"	"Volto Di Medusa (IRE)"	"14.00"	"23.54"	"Handicap"	"2"	"11"	"Bradley, Paddy"	"Jones, Jack"	"1m.5f "	"5"	"22"
"16:55:00"	"2026-07-30"	"Nottingham"	"Wagyu Star"	"12.00"	"14.52"	"Handicap"	"7"	"7"	"Fallon, Cieren"	"Quinn, J J"	"6f "	"3"	"140"
"17:40:00"	"2026-07-29"	"Goodwood"	"Divine Libra (IRE)"	"18.00"	"29"	"Handicap"	"11"	"20"	"Marquand, Tom"	"Hills, Charles"	"7f "	"6"	"25"
"17:00:00"	"2026-07-29"	"Goodwood"	"Cotai Lights (IRE)"	"50.00"	"75.05"	"Handicap"	"21"	"26"	"Sheehy, M P"	"Keatley, Adrian Paul"	"6f "	"3"	"23"
"17:00:00"	"2026-07-29"	"Goodwood"	"Ziggys Condor (IRE)"	"16.00"	"16.39"	"Handicap"	"UR"	"26"	"Sousa, Silvestre De"	"Kirby, Adam"	"6f "	"5"	"45"
"14:05:00"	"2026-07-29"	"Redcar"	"Amorim"	"6.00"	"9.4"	"Handicap"	"5"	"7"	"Callan, Mr Jack"	"Boughey, George"	"6f "	"3"	"33"
"18:45:00"	"2026-07-28"	"Galway"	"Lady Lilac (IRE)"	"33.00"	"48.12"	"Handicap"	"10"	"17"	"Holohan, Reese"	"Murphy, Joseph G"	"1m.5f "	"4"	"38"
"13:50:00"	"2026-07-28"	"Goodwood"	"Torito"	"16.00"	"25"	"Handicap"	"16"	"17"	"Sayette, B D L"	"Gosden, J H M"	"1m2f "	"6"	"209"
"17:20:00"	"2026-07-27"	"Ayr"	"Betty Bassett (IRE)"	"100.00"	"220"	"Handicap"	"9"	"9"	"Eaves, Tom"	"Kellett, C N"	"1m2f "	"4"	"42"
"19:15:00"	"2026-07-25"	"Salisbury"	"Red Snapper"	"16.00"	"20"	"Handicap"	"1"	"10"	"Tucker, Charlie"	"Turner, Kathy"	"6f "	"3"	"8"
"17:45:00"	"2026-07-25"	"Newcastle"	"The Floors Munky"	"80.00"	"334.58"	"Non-Handicap"	"13"	"13"	"McSweeney, O"	"Rutherford, Gary"	"7f "	"3"	"4"
"17:40:00"	"2026-07-25"	"Gowran Park"	"Hollys Graces (IRE)"	"20.00"	"36"	"Non-Handicap"	"2"	"7"	"Whelan, R P"	"Bromhead, Henry De"	"1m1.5f "	"4"	"93"
"17:05:00"	"2026-07-25"	"Gowran Park"	"Master Garvey (IRE)"	"6.00"	"7.2"	"Handicap"	"3"	"13"	"Casey, T"	"Murray, Joseph Anthony"	"1m1.5f "	"6"	"3"
"14:44:00"	"2026-07-25"	"Gowran Park"	"Eichan San (IRE)"	"9.00"	"11.75"	"Handicap"	"3"	"16"	"Casey, T"	"Murphy, Daniel"	"7f "	"4"	"37"
"14:44:00"	"2026-07-25"	"Gowran Park"	"Miqdaad (IRE)"	"22.00"	"36.18"	"Handicap"	"14"	"16"	"Rutledge, Siobhan"	"McConnell, John C"	"7f "	"6"	"58"
"19:36:00"	"2026-07-24"	"Chepstow"	"Fitzmaurice (IRE)"	"9.00"	"16"	"Non-Handicap"	"5"	"10"	"Wood, George"	"Carroll, A W"	"1m "	"4"	"11"
"19:08:00"	"2026-07-24"	"Cork"	"Heart Of Eternity (IRE)"	"66.00"	"209.42"	"Handicap"	"15"	"19"	"Sheridan, J M"	"Hogan, Denis Gerard"	"6f "	"4"	"15"
"18:49:00"	"2026-07-23"	"Yarmouth"	"Mercury Day (IRE)"	"5.50"	"6.2"	"Handicap"	"6"	"6"	"Gilligan, Jack"	"Allen, C N"	"7f "	"5"	"21"
"16:53:00"	"2026-07-23"	"Southwell"	"Red Mirage (IRE)"	"18.00"	"23.56"	"Handicap"	"4"	"13"	"Vigors, Harry"	"Quinn, J J"	"7f "	"8"	"41"
"15:10:00"	"2026-07-23"	"Doncaster"	"Shadow King (IRE)"	"10.00"	"12"	"Handicap Nursery"	"1"	"5"	"Levey, S M"	"Hannon (Jnr), Richard"	"6.5f "	"2"	"62"
"19:30:00"	"2026-07-22"	"Naas"	"Convincing (IRE)"	"11.00"	"15"	"Handicap"	"5"	"18"	"Hill, Gabriella Adela"	"Murphy, Ciaran"	"1m "	"5"	"7"
"19:30:00"	"2026-07-22"	"Naas"	"Perfect Judgement (IRE)"	"8.00"	"14.5"	"Handicap"	"15"	"18"	"Cusack, C"	"Murphy, P J F"	"1m "	"5"	"34"
"17:30:00"	"2026-07-22"	"Naas"	"Mutamarid Lsk (IRE)"	"150.00"	"720"	"Maiden"	"12"	"18"	"Foley, Shane"	"Murphy, Daniel"	"6f "	"2"	"14"
"15:10:00"	"2026-07-22"	"Catterick"	"Vince Le Prince"	"3.33"	"4.6"	"Handicap"	"2"	"8"	"Allan, David"	"Easterby, T D"	"7f "	"6"	"21"
"21:00:00"	"2026-07-21"	"Wolverhampton"	"Landlordtothestars (IRE)"	"14.00"	"19.76"	"Handicap"	"1"	"11"	"Leavy, Mr Joe"	"Evans, H J"	"6f "	"6"	"126"
"21:00:00"	"2026-07-21"	"Wolverhampton"	"White Umbrella"	"11.00"	"14.28"	"Handicap"	"4"	"11"	"Howarth, Christian"	"Kellett, C N"	"6f "	"7"	"23"
"20:30:00"	"2026-07-21"	"Wolverhampton"	"Case Study"	"5.50"	"7.8"	"Handicap Maiden"	"4"	"10"	"Callan, Mr Jack"	"Boughey, George"	"1m.5f "	"3"	"32"
"18:21:00"	"2026-07-21"	"Salisbury"	"Beau Jardine (IRE)"	"6.50"	"9.57"	"Handicap"	"4"	"10"	"Fox, Miss Arabella"	"Bridger, J / Cook, R"	"7f "	"8"	"13"
"18:40:00"	"2026-07-20"	"Ballinrobe"	"Dancing Steve (IRE)"	"18.00"	"23.79"	"Handicap"	"10"	"12"	"Caffrey, Adam"	"McGuinness, Adrian"	"1m1.5f "	"5"	"8"
