RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"16:15:00"	"2026-07-19"	"Newton Abbot"	"Mi Sueno (IRE)"	"4.00"	"5.3"	"Handicap Hurdle"	"1"	"8"	"Reed, Harry"	"Scholfield, Nick"	"2m3f "	"7"	"32"
"16:42:00"	"2026-07-13"	"Newton Abbot"	"Muskerry Rock (IRE)"	"1.25"	"2.24"	"Handicap Chase"	"1"	"5"	"Skelton, Harry"	"Skelton, Daniel"	"3m2f "	"7"	"24"
"15:42:00"	"2026-07-13"	"Newton Abbot"	"Renoir"	"14.00"	"21"	"Handicap Hurdle"	"8"	"12"	"Noonan, David G"	"Clarke, Ben"	"2m2.5f "	"7"	"47"
"15:20:00"	"2026-07-03"	"Newton Abbot"	"Miss Kassiopi"	"0.53"	"1.57"	"Handicap Hurdle"	"1"	"6"	"Skelton, Harry"	"Skelton, Daniel"	"2m5.5f "	"7"	"12"
"15:20:00"	"2026-07-03"	"Newton Abbot"	"Bees Kiss (IRE)"	"33.00"	"40.87"	"Handicap Hurdle"	"PU"	"6"	"OFarrell, C"	"Frost, J D"	"2m5.5f "	"6"	"30"
"20:50:00"	"2026-06-23"	"Newton Abbot"	"Jetty May (IRE)"	"3.50"	"6.12"	"Handicap Chase"	"PU"	"9"	"Harrison, Liam"	"Nicholls, P F"	"3m2f "	"6"	"31"
"20:10:00"	"2026-06-12"	"Newton Abbot"	"First Angel (FR)"	"3.50"	"5.54"	"Handicap Chase"	"2"	"2"	"Keighley, Mr Freddie"	"Keighley, M"	"2m.5f "	"10"	"87"
"19:00:00"	"2026-06-12"	"Newton Abbot"	"Dream Diamond (IRE)"	"3.50"	"5.1"	"Handicap Hurdle"	"2"	"4"	"Burke, Jonathan"	"Owen, J P"	"2m3f "	"6"	"39"
"17:00:00"	"2026-06-03"	"Newton Abbot"	"Ugo Bingo (FR)"	"6.00"	"8.62"	"Handicap Hurdle"	"7"	"12"	"Powell, Brendan"	"Tizzard, Joe"	"2m1f "	"7"	"52"
"15:30:00"	"2026-06-03"	"Newton Abbot"	"Winning Paddy (IRE)"	"28.00"	"38.62"	"Handicap Novices Chase"	"1"	"8"	"Davies, James"	"Dunn, Mrs Alex"	"3m2f "	"8"	"42"
"15:30:00"	"2026-06-03"	"Newton Abbot"	"Its A Breeze (IRE)"	"7.50"	"10.5"	"Handicap Novices Chase"	"4"	"8"	"Hanlon, Mr P"	"Nicholls, P F"	"3m2f "	"7"	"7"
"20:00:00"	"2026-05-13"	"Newton Abbot"	"Regatta De Blanc"	"1.10"	"2.22"	"Hunters Chase"	"2"	"6"	"Marshall, Mr Charlie"	"Biddick, W"	"3m2f "	"8"	"54"
