RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"18:35:00"	"2026-04-28"	"Punchestown"	"Eamons Dream (IRE)"	"66.00"	"200.1"	"NH Flat"	"12"	"18"	"Shanahan, Mr L P"	"Fahey, Seamus"	"2m.5f "	"4"	"No Prev"
"18:35:00"	"2026-04-28"	"Punchestown"	"Kinbara Fiftyfifty (IRE)"	"66.00"	"100"	"NH Flat"	"14"	"18"	"Connor, Mr S"	"Crawford, S R B"	"2m.5f "	"4"	"No Prev"
"16:15:00"	"2026-04-24"	"Kilbeggan"	"Betterluckthistime (IRE)"	"100.00"	"400"	"Maiden Hurdle"	"12"	"14"	"Robinson, D"	"Rothwell, P J"	"2m.5f "	"4"	"No Prev"
"19:42:00"	"2026-04-20"	"Tramore"	"Tinnock Force (IRE)"	"50.00"	"204.42"	"Hunters Chase"	"PU"	"13"	"Walsh, Mr B J"	"Walsh, Barry"	"2m5.5f "	"6"	"No Prev"
"17:35:00"	"2026-04-18"	"Bellewstown"	"An Bhoireann (IRE)"	"100.00"	"260"	"NH Flat"	"11"	"15"	"Staunton, Mr R M"	"McMahon, Brian M"	"2m1f "	"6"	"No Prev"
"13:17:00"	"2026-04-18"	"Bangor"	"Lhybris Is Born (FR)"	"66.00"	"191.97"	"Novices Hurdle"	"PU"	"13"	"Andrews, Jack"	"Ellis, T"	"2m1f "	"5"	"No Prev"
"16:37:00"	"2026-04-14"	"Clonmel"	"Caseys Cloud (IRE)"	"80.00"	"427.81"	"Maiden Hurdle"	"4"	"17"	"Berry, Mr R A"	"Murphy, C A"	"2m4f "	"5"	"No Prev"
"16:20:00"	"2026-04-10"	"Wexford"	"Seekthisfairland (IRE)"	"50.00"	"262.11"	"Maiden Hurdle"	"12"	"12"	"Robinson, D"	"Rothwell, P J"	"2m4f "	"4"	"No Prev"
"17:15:00"	"2026-04-05"	"Cork"	"Ben Sawborne"	"50.00"	"90"	"NH Flat"	"10"	"16"	"Hyde, Mr D T"	"Walsh, Brendan M"	"2m3f "	"4"	"No Prev"
"17:15:00"	"2026-04-02"	"Chepstow"	"El Dorado"	"100.00"	"309.53"	"NH Flat"	"10"	"11"	"Ring, C V"	"Potter, R D"	"2m.5f "	"4"	"No Prev"
