RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"13:00:00"	"2025-12-31"	"Lingfield"	"Akabusi"	"4.00"	"5.8"	"Handicap Nursery"	"2"	"7"	"Fallon, Cieren"	"Cunha, Dylan"	"6f "	"2"	"23"
"13:00:00"	"2025-12-31"	"Lingfield"	"Alasrae"	"14.00"	"18.77"	"Handicap Nursery"	"4"	"7"	"Loughnane, Mr Billy"	"Boughey, George"	"6f "	"2"	"19"
"12:30:00"	"2025-12-31"	"Lingfield"	"Wild Act"	"2.00"	"3.33"	"Novices"	"3"	"6"	"Loughnane, Mr Billy"	"Appleby, Charlie"	"6f "	"2"	"19"
"19:00:00"	"2025-12-30"	"Wolverhampton"	"Snaafy"	"3.50"	"5.82"	"Handicap Nursery"	"3"	"8"	"Scott, Rowan"	"Loughnane, David"	"1m.5f "	"2"	"22"
"17:00:00"	"2025-12-30"	"Wolverhampton"	"Far Too Fizzy"	"8.00"	"9.92"	"Handicap Nursery"	"2"	"10"	"Doyle, Hollie"	"Loughnane, David"	"6f "	"2"	"12"
"14:25:00"	"2025-12-26"	"Wolverhampton"	"Five Cay"	"14.00"	"19.84"	"Novices"	"7"	"10"	"Bishop, Charles"	"Morland, Jack"	"5f "	"2"	"18"
"14:25:00"	"2025-12-26"	"Wolverhampton"	"Pedros Dream"	"20.00"	"30.99"	"Novices"	"9"	"10"	"Doughty, Jack"	"Carroll, A W"	"5f "	"2"	"25"
"13:50:00"	"2025-12-26"	"Wolverhampton"	"Sovereign Wealth"	"2.25"	"3.35"	"Handicap Nursery"	"2"	"5"	"Loughnane, Mr Billy"	"Boughey, George"	"7f "	"2"	"23"
"17:00:00"	"2025-12-22"	"Wolverhampton"	"Beach Partee"	"8.00"	"9.2"	"Handicap Nursery"	"5"	"5"	"Morris, Luke"	"Knight, W J"	"5f "	"2"	"18"
"11:30:00"	"2025-12-22"	"Lingfield"	"Del Corso"	"16.00"	"21.56"	"Novices"	"6"	"12"	"Cosgrave, Pat"	"Walker, Ed"	"1m "	"2"	"25"
"15:45:00"	"2025-12-19"	"Newcastle"	"Harlequin Bay"	"2.25"	"3.89"	"Maiden"	"2"	"13"	"Garritty, Jack"	"Fahey, R A"	"6f "	"2"	"23"
"18:00:00"	"2025-12-18"	"Chelmsford City"	"Ken Brulee"	"6.50"	"9.4"	"Handicap Nursery"	"5"	"7"	"Heard, Tyler"	"Usher, M D I"	"5f "	"2"	"14"
"17:30:00"	"2025-12-18"	"Chelmsford City"	"Flash Rascal"	"3.50"	"5.39"	"Handicap Nursery"	"3"	"9"	"Davies, Harry"	"Newland, Dr R D P"	"7f "	"2"	"17"
"17:30:00"	"2025-12-18"	"Chelmsford City"	"Paranjape"	"4.50"	"6.38"	"Handicap Nursery"	"5"	"9"	"ONeill, K T"	"Woods, S P C"	"7f "	"2"	"24"
"17:00:00"	"2025-12-18"	"Chelmsford City"	"Windbreaker"	"2.25"	"3.98"	"Novices"	"3"	"9"	"Foley, Shane"	"Haggas, W J"	"1m "	"2"	"17"
"14:22:00"	"2025-12-18"	"Southwell"	"Ten Carat Harry"	"1.00"	"2.06"	"Handicap Nursery"	"1"	"5"	"Osborne, Saffie"	"Osborne, J A"	"6f "	"2"	"22"
"14:22:00"	"2025-12-18"	"Southwell"	"Victor Cee"	"14.00"	"17.08"	"Handicap Nursery"	"2"	"5"	"Egan, John"	"McEntee, P S"	"6f "	"2"	"17"
"13:05:00"	"2025-12-17"	"Lingfield"	"Roserunner"	"5.00"	"6.96"	"Novices"	"1"	"5"	"Ghiani, Marco"	"Botti, M"	"1m "	"2"	"14"
"12:35:00"	"2025-12-17"	"Lingfield"	"Only In Manila"	"2.25"	"3.47"	"Novices"	"4"	"8"	"Keenan, Darragh"	"Crisford, Simon"	"1m "	"2"	"14"
"12:05:00"	"2025-12-17"	"Lingfield"	"Chhota Saab"	"1.63"	"2.74"	"Novices"	"3"	"8"	"ONeill, K T"	"Woods, S P C"	"5f "	"2"	"21"
"15:45:00"	"2025-12-16"	"Newcastle"	"Balthamos"	"1.75"	"3.19"	"Handicap Nursery"	"2"	"4"	"Davies, Harry"	"Crisford, Simon"	"7f "	"2"	"13"
"17:30:00"	"2025-12-15"	"Wolverhampton"	"Thanh Nam"	"2.75"	"3.95"	"Handicap Nursery"	"1"	"9"	"Morris, Luke"	"Owen, J P"	"1m.5f "	"2"	"18"
"11:12:00"	"2025-12-15"	"Lingfield"	"Slack Bob"	"6.00"	"8.2"	"Handicap Nursery"	"4"	"10"	"Bishop, Charles"	"Dunlop, E A L"	"6f "	"2"	"19"
"17:30:00"	"2025-12-13"	"Wolverhampton"	"Arishkas Dream"	"4.50"	"5.45"	"Novices"	"4"	"10"	"Hornby, Rob"	"Kubler, Daniel"	"5f "	"2"	"19"
"16:15:00"	"2025-12-13"	"Newcastle"	"Lightening Lad"	"3.50"	"5.6"	"Novices"	"4"	"6"	"Stammers, Oliver"	"Tuer, Grant"	"1m "	"2"	"21"
"15:40:00"	"2025-12-13"	"Newcastle"	"Houndhill"	"4.50"	"6.4"	"Handicap Nursery"	"2"	"4"	"Scott, Rowan"	"Tinkler, N"	"6f "	"2"	"11"
