RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"17:39:00"	"2026-07-23"	"Yarmouth"	"Drifts Away"	"7.00"	"9.2"	"Handicap"	"1"	"6"	"Marquand, Tom"	"Kent, T J"	"1m "	"5"	"34"
"15:33:00"	"2026-07-19"	"Redcar"	"Nyman (IRE)"	"5.00"	"6.8"	"Handicap"	"4"	"7"	"Mason, Joanna"	"Fell, R / Murray, S"	"1m "	"4"	"54"
"15:50:00"	"2026-07-16"	"Chepstow"	"Kodi Fire (IRE)"	"14.00"	"22.87"	"Handicap"	"1"	"6"	"Watson, Jason"	"Hills, Charles"	"1m "	"4"	"25"
"15:50:00"	"2026-07-16"	"Chepstow"	"Penelope Valentine"	"9.00"	"13"	"Handicap"	"5"	"6"	"Morris, Luke"	"Owen, J P"	"1m "	"4"	"28"
"17:20:00"	"2026-07-09"	"Newmarket (July)"	"Asmen Warrior (IRE)"	"4.50"	"6.8"	"Handicap"	"1"	"13"	"Ghiani, Marco"	"Owen, J P"	"1m "	"4"	"34"
"16:50:00"	"2026-07-02"	"Yarmouth"	"Give Me The Night (IRE)"	"5.00"	"5.9"	"Handicap"	"5"	"7"	"Sheehy, M P"	"Rimell, M G"	"1m "	"4"	"29"
"16:50:00"	"2026-07-02"	"Yarmouth"	"Shaws Phoenix (IRE)"	"28.00"	"44"	"Handicap"	"7"	"7"	"Hogan, D E"	"Charalambous, P"	"1m "	"5"	"30"
"16:15:00"	"2026-07-02"	"Yarmouth"	"Big Alex Walmsley"	"16.00"	"23"	"Handicap"	"3"	"5"	"Keenan, Darragh"	"Gansera-Leveque, Mrs Ilka"	"1m "	"4"	"31"
"18:25:00"	"2026-06-26"	"Newmarket (July)"	"Just Typical"	"9.00"	"13.5"	"Handicap"	"4"	"7"	"Kavanagh, Ryan"	"Williams, Ian"	"1m "	"5"	"16"
"11:30:00"	"2026-06-26"	"Yarmouth"	"North View"	"14.00"	"18.22"	"Handicap"	"6"	"6"	"Levey, S M"	"Williams, S C"	"1m "	"5"	"25"
"17:18:00"	"2026-06-20"	"Redcar"	"Wath Court"	"80.00"	"230.51"	"Handicap"	"11"	"12"	"Elliott, Andrew"	"Kirby, P A"	"1m "	"6"	"16"
"13:24:00"	"2026-06-20"	"Newmarket (July)"	"Freddies Star (IRE)"	"25.00"	"36"	"Handicap"	"5"	"11"	"Lewis, Owen"	"Teal, R A"	"1m "	"4"	"19"
"19:45:00"	"2026-06-19"	"Newmarket (July)"	"Dark Tornado (IRE)"	"16.00"	"21.06"	"Handicap"	"8"	"13"	"Egan, John"	"Wigham, M"	"1m "	"5"	"22"
"17:35:00"	"2026-06-17"	"Ascot"	"Crystal Flyer"	"125.00"	"200"	"Handicap"	"11"	"24"	"Dawson, R"	"Haslam, B M R"	"1m "	"5"	"31"
"17:35:00"	"2026-06-17"	"Ascot"	"Zgharta (IRE)"	"11.00"	"16"	"Handicap"	"12"	"24"	"Murphy, Oisin"	"Balding, A M"	"1m "	"4"	"39"
"17:35:00"	"2026-06-17"	"Ascot"	"Sand Gazelle"	"33.00"	"65"	"Handicap"	"16"	"24"	"Buick, William"	"Gosden, J H M"	"1m "	"4"	"25"
"17:00:00"	"2026-06-17"	"Ascot"	"Skukuza"	"20.00"	"33.62"	"Handicap"	"24"	"28"	"Soumillon, C"	"Dunlop, E A L"	"1m "	"5"	"12"
