RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"16:02:00"	"2026-05-10"	"Ludlow"	"Soleil Darizona (FR)"	"3.00"	"4.33"	"Handicap Hurdle"	"6"	"7"	"Skelton, Harry"	"Skelton, Daniel"	"2m "	"6"	"35"
"15:27:00"	"2026-05-10"	"Ludlow"	"Hall Lane (IRE)"	"2.75"	"3.99"	"Handicap Chase"	"2"	"4"	"Hogan, Mr J"	"OBrien, Fergal"	"3m "	"8"	"31"
"15:27:00"	"2026-05-10"	"Ludlow"	"Nazare (FR)"	"1.25"	"2.36"	"Handicap Chase"	"3"	"4"	"Burke, Jonathan"	"Owen, J P"	"3m "	"6"	"47"
"17:05:00"	"2026-04-22"	"Ludlow"	"Potters Party (IRE)"	"1.25"	"2.61"	"Hunters Chase"	"1"	"6"	"Callwood, Miss Ellie"	"Morgan, Miss Kelly"	"3m "	"9"	"9"
"16:30:00"	"2026-04-22"	"Ludlow"	"Britway Belle (IRE)"	"11.00"	"17.9"	"Maiden NH Flat"	"3"	"14"	"Palmer, Oscar"	"Oliver, Henry"	"2m "	"5"	"28"
"15:30:00"	"2026-04-22"	"Ludlow"	"Gris Majeur (FR)"	"3.00"	"4.3"	"Handicap Chase"	"3"	"7"	"Houlihan, Sean M"	"Lewis, Mrs S W"	"3m "	"9"	"11"
"15:00:00"	"2026-04-22"	"Ludlow"	"Springs A Girl (IRE)"	"4.00"	"6.29"	"Handicap Hurdle"	"F"	"6"	"Atkins, Mr Harry"	"Keighley, M"	"3m "	"7"	"38"
"14:30:00"	"2026-04-22"	"Ludlow"	"Un Sens A La Vie (FR)"	"0.44"	"1.46"	"Novices Hurdle"	"2"	"6"	"Twiston-Davies, Sam"	"Twiston-Davies, N A"	"2m "	"6"	"74"
"16:57:00"	"2026-03-30"	"Ludlow"	"Jet Plane (IRE)"	"1.00"	"2.14"	"Hunters Chase"	"2"	"5"	"Palin, Miss H"	"Skelton, Daniel"	"2m4f "	"10"	"34"
"16:27:00"	"2026-03-30"	"Ludlow"	"Jack Hyde (IRE)"	"1.75"	"3.02"	"Handicap Hurdle"	"1"	"6"	"Broughton, Mr T P"	"OBrien, Fergal"	"2m "	"8"	"23"
"15:57:00"	"2026-03-30"	"Ludlow"	"Beachcomber (FR)"	"2.75"	"4.2"	"Handicap Chase"	"2"	"6"	"ONeill, Jonjo (Jr)"	"ONeill, Jonjo and AJ"	"3m "	"8"	"32"
"15:27:00"	"2026-03-30"	"Ludlow"	"Jackomy (IRE)"	"0.91"	"1.95"	"Handicap Hurdle"	"1"	"6"	"OFarrell, C"	"Mulholland, N P"	"2m5.5f "	"6"	"7"
"14:57:00"	"2026-03-30"	"Ludlow"	"Annie Express (IRE)"	"1.50"	"2.71"	"Handicap Chase"	"1"	"6"	"McCain-Mitchell, Toby"	"Llewellyn, Robert"	"2m4f "	"8"	"15"
"16:50:00"	"2026-03-19"	"Ludlow"	"Missed Tee (IRE)"	"4.50"	"6.46"	"Hunters Chase"	"2"	"9"	"Murphy, Mr Lucas"	"Collins, Miss V"	"2m4.5f "	"9"	"10"
"16:50:00"	"2026-03-19"	"Ludlow"	"Gaboriot (FR)"	"1.20"	"2.23"	"Hunters Chase"	"3"	"9"	"Edwards, Huw"	"Greenall, O / Guerriero, J"	"2m4.5f "	"10"	"15"
"16:50:00"	"2026-03-19"	"Ludlow"	"Rewritetherules (IRE)"	"50.00"	"75"	"Hunters Chase"	"PU"	"9"	"OBrien, David"	"Timmis, Frederick"	"2m4.5f "	"12"	"43"
"15:20:00"	"2026-03-19"	"Ludlow"	"Fouroneohfever (IRE)"	"1.63"	"2.88"	"Handicap Hurdle"	"1"	"5"	"Woods, K K"	"Pauling, Ben"	"2m "	"5"	"30"
"14:50:00"	"2026-03-19"	"Ludlow"	"Batwomen (IRE)"	"4.50"	"5.6"	"Handicap Novices Chase"	"F"	"6"	"OFarrell, C"	"Mulholland, N P"	"2m4.5f "	"8"	"56"
"14:20:00"	"2026-03-19"	"Ludlow"	"Borna Gem (IRE)"	"11.00"	"14.5"	"Maiden Hurdle"	"1"	"12"	"Jackson-Fennell, Miss A"	"Twiston-Davies, N A"	"2m "	"7"	"17"
"14:20:00"	"2026-03-19"	"Ludlow"	"October Hill (IRE)"	"2.00"	"3.08"	"Maiden Hurdle"	"2"	"12"	"Tudor, Jack"	"Pipe, D E"	"2m "	"6"	"14"
"15:17:00"	"2026-02-26"	"Ludlow"	"Kits Coty (IRE)"	"6.00"	"8.8"	"Handicap Chase"	"3"	"8"	"Burke, Jonathan"	"Lavelle, Miss E C"	"3m "	"8"	"71"
"14:07:00"	"2026-02-26"	"Ludlow"	"Rockinastorm (IRE)"	"3.00"	"4.4"	"Handicap Chase"	"3"	"7"	"Bass, David"	"Daly, H D"	"3m "	"9"	"39"
"14:07:00"	"2026-02-26"	"Ludlow"	"Tommys Charm (IRE)"	"8.00"	"11.5"	"Handicap Chase"	"6"	"7"	"Gethings, Ciaran"	"Lee, Miss Kerry"	"3m "	"8"	"42"
"17:05:00"	"2026-02-18"	"Ludlow"	"Fresh Kicks (IRE)"	"1.25"	"2.37"	"Handicap Hurdle"	"2"	"8"	"Bowen, James C"	"Henderson, N J"	"2m5.5f "	"6"	"31"
"17:05:00"	"2026-02-18"	"Ludlow"	"Broderick (IRE)"	"12.00"	"16.5"	"Handicap Hurdle"	"4"	"8"	"Shanahan, William T"	"Candlish, Jennie"	"2m5.5f "	"6"	"32"
"16:35:00"	"2026-02-18"	"Ludlow"	"Count Adhemar (IRE)"	"4.00"	"6.05"	"Handicap Novices Chase"	"2"	"8"	"Gillard, Mr T"	"McCain Jnr, D"	"2m "	"6"	"28"
"16:35:00"	"2026-02-18"	"Ludlow"	"Blackijo Dagrostis (FR)"	"8.50"	"12.12"	"Handicap Novices Chase"	"4"	"8"	"Patrick, Richard"	"Sheppard, M"	"2m "	"7"	"49"
"15:35:00"	"2026-02-18"	"Ludlow"	"Jacks Parrot (FR)"	"2.00"	"3.4"	"Handicap Chase"	"2"	"7"	"Edwards, Huw"	"Greenall, O / Guerriero, J"	"3m "	"7"	"60"
"15:35:00"	"2026-02-18"	"Ludlow"	"Petty Cash (IRE)"	"4.50"	"6.18"	"Handicap Chase"	"3"	"7"	"Williams, Eleanor"	"Daly, H D"	"3m "	"9"	"58"
"15:35:00"	"2026-02-18"	"Ludlow"	"Landen Calling (IRE)"	"25.00"	"37.81"	"Handicap Chase"	"4"	"7"	"Murphy, Mr Lucas"	"OBrien, Fergal"	"3m "	"10"	"29"
"15:05:00"	"2026-02-18"	"Ludlow"	"Party Vibes (IRE)"	"3.00"	"4.62"	"Handicap Chase"	"5"	"8"	"Twiston-Davies, Sam"	"Daly, H D"	"2m4f "	"8"	"18"
"14:33:00"	"2026-02-18"	"Ludlow"	"Hornica (IRE)"	"1.20"	"2.48"	"Novices Hurdle"	"3"	"12"	"Woods, K K"	"Pauling, Ben"	"2m "	"6"	"31"
"14:00:00"	"2026-02-18"	"Ludlow"	"Island Bridge (IRE)"	"0.44"	"1.48"	"Maiden Hurdle"	"2"	"3"	"Bellamy, Tom"	"Bailey, K C"	"3m "	"6"	"34"
"16:42:00"	"2026-02-04"	"Ludlow"	"Jefferys Cross (IRE)"	"1.75"	"2.87"	"Hunters Chase"	"2"	"6"	"OConnor, Mr S P"	"Skelton, Daniel"	"3m "	"10"	"63"
"15:33:00"	"2026-02-04"	"Ludlow"	"Sallyville Lady (IRE)"	"2.50"	"4.56"	"Handicap Hurdle"	"3"	"10"	"Skelton, Harry"	"Skelton, Daniel"	"2m5.5f "	"6"	"47"
"15:33:00"	"2026-02-04"	"Ludlow"	"Greyval (FR)"	"12.00"	"16.5"	"Handicap Hurdle"	"5"	"10"	"Burke, Jonathan"	"OBrien, Fergal"	"2m5.5f "	"7"	"39"
"14:58:00"	"2026-02-04"	"Ludlow"	"Joker De Mai (FR)"	"6.00"	"7.1"	"Handicap Chase"	"3"	"7"	"Patrick, Richard"	"Boultbee-brooks, Clive"	"2m4f "	"7"	"37"
"14:58:00"	"2026-02-04"	"Ludlow"	"Pepe Le Moko (FR)"	"4.50"	"6.09"	"Handicap Chase"	"PU"	"7"	"Gethings, Ciaran"	"Williams, Mrs Jane"	"2m4f "	"8"	"23"
"14:23:00"	"2026-02-04"	"Ludlow"	"Kiwi Rush (IRE)"	"0.80"	"1.84"	"Novices Hurdle"	"3"	"11"	"Obrien, P V"	"Derham, Harry"	"2m "	"6"	"34"
"13:13:00"	"2026-02-04"	"Ludlow"	"Talakan (FR)"	"3.33"	"4.79"	"Hurdle"	"2"	"8"	"Brogan, Kevin"	"Lawes, T"	"2m "	"4"	"18"
"15:27:00"	"2026-01-15"	"Ludlow"	"Frere Darmes (FR)"	"33.00"	"62.71"	"Hunters Chase"	"UR"	"9"	"Lewis, Mr Dominic"	"Skelton, Daniel"	"3m "	"9"	"25"
