RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"17:05:00"	"2026-07-09"	"Doncaster"	"Monsieur Bondy"	"18.00"	"24"	"Handicap"	"8"	"10"	"McDonald, P J"	"Oldroyd, G R"	"7f "	"4"	"19"
"19:30:00"	"2026-06-20"	"Doncaster"	"Monsieur Bondy"	"14.00"	"19.08"	"Handicap"	"10"	"11"	"McDonald, P J"	"Oldroyd, G R"	"7f "	"4"	"14"
"16:40:00"	"2026-06-14"	"Doncaster"	"Pulsar Star"	"5.00"	"6.46"	"Handicap"	"6"	"12"	"Havlin, Robert"	"Faulkner, T"	"7f "	"4"	"22"
"16:40:00"	"2026-06-14"	"Doncaster"	"They All Know Me"	"5.50"	"7.87"	"Handicap"	"8"	"12"	"Nolan, D"	"Fahey, R A"	"7f "	"4"	"27"
"16:05:00"	"2026-06-14"	"Doncaster"	"Magic Boy (GER)"	"4.00"	"6"	"Handicap"	"4"	"11"	"McManoman, Faye"	"Tinkler, N"	"7f "	"4"	"11"
"16:05:00"	"2026-06-14"	"Doncaster"	"Green Pursuit (IRE)"	"8.50"	"13.16"	"Handicap"	"5"	"11"	"Swift, Mr Dale"	"Spencer, Seb"	"7f "	"4"	"27"
"17:00:00"	"2026-06-06"	"Doncaster"	"Ziggys Angel (FR)"	"50.00"	"77.44"	"Handicap"	"11"	"11"	"Gray, S A"	"Fahey, R A"	"7f "	"4"	"8"
"16:25:00"	"2026-06-06"	"Doncaster"	"Montezin"	"14.00"	"16.62"	"Handicap"	"4"	"11"	"Hardie, Cameron"	"Brittain, Antony"	"7f "	"4"	"22"
"16:25:00"	"2026-06-06"	"Doncaster"	"Spell Master"	"16.00"	"19.47"	"Handicap"	"8"	"11"	"Peate, Jonny"	"Rix, Oli"	"7f "	"4"	"245"
"16:25:00"	"2026-06-06"	"Doncaster"	"Monsieur Bondy"	"22.00"	"29.69"	"Handicap"	"10"	"11"	"McDonald, P J"	"Oldroyd, G R"	"7f "	"4"	"245"
"16:25:00"	"2026-06-06"	"Doncaster"	"Khafiz (IRE)"	"8.50"	"11.5"	"Handicap"	"11"	"11"	"Watson, Jason"	"Bethell, Ed"	"7f "	"4"	"28"
"13:20:00"	"2026-06-06"	"Doncaster"	"Mu Mu Land"	"12.00"	"20.74"	"Handicap"	"5"	"16"	"Marshall, Tom Kiely"	"Camacho, Miss J A"	"6f "	"4"	"16"
"13:20:00"	"2026-06-06"	"Doncaster"	"Canaria Sun"	"28.00"	"50.68"	"Handicap"	"15"	"16"	"Sullivan, James P"	"Easterby, T D"	"6f "	"4"	"17"
"20:05:00"	"2026-06-05"	"Doncaster"	"American Style"	"7.00"	"9.12"	"Handicap"	"12"	"13"	"Eaves, Tom"	"Ryan, K A"	"6f "	"4"	"23"
"20:45:00"	"2026-05-16"	"Doncaster"	"On Key"	"6.00"	"8.58"	"Handicap"	"5"	"16"	"Morris, Luke"	"Dixon, Scott"	"7f "	"4"	"9"
"20:45:00"	"2026-05-16"	"Doncaster"	"Summer Rain"	"40.00"	"59.48"	"Handicap"	"13"	"16"	"Garritty, Billy"	"Lidster, Craig"	"7f "	"4"	"311"
"20:15:00"	"2026-05-16"	"Doncaster"	"Oselton"	"6.50"	"9.52"	"Handicap"	"2"	"13"	"Garritty, Billy"	"Lidster, Craig"	"7f "	"4"	"36"
"20:15:00"	"2026-05-16"	"Doncaster"	"Typeface"	"2.25"	"3.85"	"Handicap"	"6"	"13"	"Hutchinson, Callum"	"Williams, Ian"	"7f "	"4"	"154"
"20:15:00"	"2026-05-16"	"Doncaster"	"Bullington Bry"	"7.00"	"9.8"	"Handicap"	"7"	"13"	"Langley, Miss Taryn"	"Ramsden, Joey"	"7f "	"4"	"9"
"18:38:00"	"2026-05-16"	"Doncaster"	"Gallant (FR)"	"9.00"	"13.5"	"Handicap"	"7"	"12"	"Peate, Jonny"	"Rix, Oli"	"6f "	"4"	"15"
"18:38:00"	"2026-05-16"	"Doncaster"	"Men Of Honour (IRE)"	"12.00"	"16.24"	"Handicap"	"9"	"12"	"Sullivan, James P"	"Carr, Mrs R A"	"6f "	"4"	"208"
"20:02:00"	"2026-05-02"	"Doncaster"	"Zubaru"	"1.75"	"3.13"	"Handicap"	"1"	"10"	"Rodriguez, Callum"	"Scott, George"	"7f "	"4"	"18"
"20:02:00"	"2026-05-02"	"Doncaster"	"Mr Cool (IRE)"	"11.00"	"15"	"Handicap"	"5"	"10"	"Mitchell, Jack"	"Johnston, Charlie"	"7f "	"4"	"38"
"14:15:00"	"2026-04-24"	"Doncaster"	"Wrydcroft"	"4.00"	"6.29"	"Handicap"	"1"	"16"	"Hornby, Rob"	"Sly, Mrs P"	"7f "	"4"	"17"
"14:15:00"	"2026-04-24"	"Doncaster"	"Yehudi (IRE)"	"33.00"	"67.65"	"Handicap"	"6"	"16"	"Regan, Miss Hope"	"Loughnane, Daniel Mark"	"7f "	"4"	"20"
"14:15:00"	"2026-04-24"	"Doncaster"	"Yafaarr (IRE)"	"14.00"	"23"	"Handicap"	"7"	"16"	"Wood, George"	"England, Sam"	"7f "	"4"	"16"
"14:15:00"	"2026-04-24"	"Doncaster"	"Ey Up Hes A Star"	"4.00"	"6.4"	"Handicap"	"8"	"16"	"Nolan, D"	"Coyle, Tony"	"7f "	"4"	"14"
"14:15:00"	"2026-04-24"	"Doncaster"	"Sir David (FR)"	"33.00"	"50"	"Handicap"	"13"	"16"	"Scott, Rowan"	"Tinkler, N"	"7f "	"4"	"16"
"14:15:00"	"2026-04-24"	"Doncaster"	"Ziggys Angel (FR)"	"20.00"	"34"	"Handicap"	"15"	"16"	"Orr, Oisin"	"Fahey, R A"	"7f "	"4"	"29"
"17:15:00"	"2026-03-29"	"Doncaster"	"Territorial Knight"	"8.00"	"12.39"	"Handicap"	"5"	"19"	"Callan, Mr Jack"	"Ryan, K A"	"6f "	"4"	"191"
"17:15:00"	"2026-03-29"	"Doncaster"	"Valley Ofthe Kings (SAF)"	"50.00"	"95"	"Handicap"	"7"	"19"	"Levey, S M"	"Cunha, Dylan"	"6f "	"4"	"9"
"17:15:00"	"2026-03-29"	"Doncaster"	"Sixtygeesbaby (IRE)"	"7.50"	"10"	"Handicap"	"8"	"19"	"Tudhope, Daniel"	"OMeara, D"	"6f "	"4"	"190"
"17:15:00"	"2026-03-29"	"Doncaster"	"Jungle Drums (IRE)"	"28.00"	"60.84"	"Handicap"	"16"	"19"	"Osborne, Saffie"	"Osborne, J A"	"6f "	"4"	"149"
"15:30:00"	"2026-03-29"	"Doncaster"	"Melvin Udall (IRE)"	"8.00"	"10.5"	"Handicap"	"1"	"15"	"Ryan, Rossa"	"Harris, Miss G"	"7f "	"4"	"159"
"15:30:00"	"2026-03-29"	"Doncaster"	"Forever My Prince"	"25.00"	"34"	"Handicap"	"5"	"15"	"Loughnane, Mr Billy"	"Blake, Michael"	"7f "	"4"	"152"
"15:30:00"	"2026-03-29"	"Doncaster"	"Captain Parma (IRE)"	"14.00"	"19.5"	"Handicap"	"9"	"15"	"Fallon, Cieren"	"Owen, J P"	"7f "	"4"	"22"
"15:30:00"	"2026-03-29"	"Doncaster"	"Zarathos (IRE)"	"10.00"	"15.2"	"Handicap"	"12"	"15"	"Doyle, Hollie"	"Cunha, Dylan"	"7f "	"4"	"198"
"15:30:00"	"2026-03-29"	"Doncaster"	"War Howl (IRE)"	"25.00"	"39.52"	"Handicap"	"13"	"15"	"Mulrennan, Paul"	"Haslam, B M R"	"7f "	"4"	"23"
"15:30:00"	"2026-03-29"	"Doncaster"	"Shazani (FR)"	"4.00"	"6.69"	"Handicap"	"15"	"15"	"Edmunds, Lewis"	"Bowring, S R"	"7f "	"4"	"141"
