RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"19:32:00"	"2026-07-31"	"Newmarket (July)"	"Exposure"	"4.00"	"6.38"	"Handicap"	"3"	"9"	"Havlin, Robert"	"Gosden, J H M"	"7f "	"4"	"20"
"19:25:00"	"2026-07-31"	"Musselburgh"	"Montezuma"	"2.25"	"3.5"	"Handicap"	"2"	"5"	"Young, Lauren"	"Goldie, J S"	"5f "	"4"	"44"
"18:43:00"	"2026-07-31"	"Bath"	"Spirited Dancer"	"8.00"	"12.4"	"Non-Handicap"	"6"	"9"	"Nader, Ebrahim"	"Kubler, Daniel"	"5.5f "	"4"	"31"
"18:43:00"	"2026-07-31"	"Bath"	"Rinky Tinky Tinky"	"10.00"	"14.25"	"Non-Handicap"	"8"	"9"	"Fisher, Taylor"	"Gansera-Leveque, Mrs Ilka"	"5.5f "	"4"	"14"
"15:00:00"	"2026-07-31"	"Goodwood"	"Archivist"	"16.00"	"23"	"Handicap"	"1"	"18"	"Rodriguez, Callum"	"Jehani, H Al"	"1m "	"4"	"44"
"15:00:00"	"2026-07-31"	"Goodwood"	"Mister Winston"	"22.00"	"35.5"	"Handicap"	"14"	"18"	"Murphy, Oisin"	"Balding, A M"	"1m "	"4"	"44"
"19:37:00"	"2026-07-29"	"Leicester"	"Melissa Honey"	"0.73"	"1.74"	"Handicap"	"3"	"4"	"Probert, David"	"Herrington,M "	"6f "	"4"	"25"
"17:45:00"	"2026-07-29"	"Sandown"	"Best Rate"	"2.25"	"3.51"	"Handicap"	"3"	"5"	"Cronin, S C"	"Hannon (Jnr), Richard"	"1m "	"4"	"12"
"17:40:00"	"2026-07-29"	"Goodwood"	"Hawksbill"	"9.00"	"11.17"	"Handicap"	"5"	"20"	"Wood, George"	"Spencer, Richard"	"7f "	"4"	"34"
"17:40:00"	"2026-07-29"	"Goodwood"	"Defence Minister"	"16.00"	"22.89"	"Handicap"	"7"	"20"	"Spencer, Jamie"	"Jehani, H Al"	"7f "	"4"	"41"
"17:40:00"	"2026-07-29"	"Goodwood"	"Morte Point"	"22.00"	"38"	"Handicap"	"14"	"20"	"Hart, Jason"	"Muir, W R"	"7f "	"4"	"19"
"17:40:00"	"2026-07-29"	"Goodwood"	"Pellitory"	"22.00"	"31.59"	"Handicap"	"16"	"20"	"Tudhope, Daniel"	"OMeara, D"	"7f "	"4"	"19"
