RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"17:40:00"	"2026-07-31"	"Newcastle"	"Tickhill Flyer"	"25.00"	"37.54"	"Non-Handicap"	"9"	"13"	"Costello, Dougie"	"Smith, Mrs S J"	"6f "	"3"	"53"
"17:40:00"	"2026-07-31"	"Newcastle"	"Blossom In The Air"	"14.00"	"21"	"Non-Handicap"	"13"	"13"	"Langley, Miss Taryn"	"Edwards, Robert"	"6f "	"3"	"34"
"18:57:00"	"2026-07-30"	"Wolverhampton"	"Hakin Adraar"	"66.00"	"85"	"Claimer"	"8"	"11"	"Morris, Luke"	"Dunne, M"	"6f "	"3"	"9"
"17:10:00"	"2026-07-30"	"Wolverhampton"	"Volto Di Medusa (IRE)"	"14.00"	"23.54"	"Handicap"	"2"	"11"	"Bradley, Paddy"	"Jones, Jack"	"1m.5f "	"5"	"22"
"17:10:00"	"2026-07-25"	"Newcastle"	"Ellies De Vega"	"2.50"	"3.71"	"Handicap"	"2"	"10"	"Garritty, Billy"	"Wilson, N"	"5f "	"3"	"19"
"16:35:00"	"2026-07-25"	"Newcastle"	"Raja Charger"	"125.00"	"456.55"	"Handicap"	"12"	"12"	"McManoman, Faye"	"Rothwell, B S"	"1m "	"4"	"36"
"20:21:00"	"2026-07-23"	"Southwell"	"Lordsbridge Bay"	"22.00"	"28.29"	"Handicap"	"9"	"10"	"ONeill, K T"	"Woods, S P C"	"1m3f "	"3"	"31"
"20:30:00"	"2026-07-21"	"Wolverhampton"	"Case Study"	"5.50"	"7.8"	"Handicap Maiden"	"4"	"10"	"Callan, Mr Jack"	"Boughey, George"	"1m.5f "	"3"	"32"
"19:30:00"	"2026-07-21"	"Wolverhampton"	"Torbados"	"2.50"	"4.22"	"Handicap"	"6"	"10"	"Callan, Mr Jack"	"Hills, Charles"	"7f "	"3"	"13"
"20:10:00"	"2026-07-13"	"Lingfield"	"Miss Gold"	"200.00"	"593.11"	"Non-Handicap"	"9"	"9"	"Doughty, Jack"	"Flood, D"	"1m "	"3"	"20"
"19:40:00"	"2026-07-13"	"Lingfield"	"Manton Road"	"5.00"	"8.6"	"Non-Handicap"	"3"	"10"	"Fox, Kieren"	"Phillips, R T"	"1m "	"4"	"7"
"19:48:00"	"2026-07-08"	"Kempton"	"Torbados"	"9.00"	"13.66"	"Handicap"	"4"	"13"	"Watson, Jason"	"Hills, Charles"	"1m "	"3"	"43"
"19:48:00"	"2026-07-08"	"Kempton"	"Katalyst"	"20.00"	"29"	"Handicap"	"13"	"13"	"Jamin, Pierre-Louis"	"Muir, W R"	"1m "	"3"	"35"
"18:40:00"	"2026-07-07"	"Wolverhampton"	"Jeans Boy (IRE)"	"14.00"	"17.79"	"Non-Handicap"	"6"	"9"	"Vigors, Harry"	"Watson, Archie"	"1m.5f "	"3"	"28"
"17:55:00"	"2026-07-06"	"Lingfield"	"Action Reaction"	"22.00"	"28.2"	"Handicap"	"10"	"10"	"Loughnane, Mr Billy"	"Boughey, George"	"1m "	"3"	"44"
"16:23:00"	"2026-06-28"	"Wolverhampton"	"King David (IRE)"	"4.50"	"5.7"	"Handicap"	"9"	"12"	"Mitchell, Jack"	"Kelleway, Miss Gay"	"6f "	"5"	"15"
"19:28:00"	"2026-06-26"	"Newcastle"	"Kylian (IRE)"	"6.00"	"8.04"	"Handicap"	"8"	"14"	"Dawson, R"	"Cowell, R M H"	"5f "	"5"	"20"
"15:47:00"	"2026-06-25"	"Newcastle"	"Christian David (IRE)"	"16.00"	"19.11"	"Handicap"	"5"	"11"	"Leavy, Mr Joe"	"Hannon (Jnr), Richard"	"1m "	"5"	"47"
"14:02:00"	"2026-06-25"	"Newcastle"	"Henriette Ronner"	"50.00"	"92.36"	"Handicap"	"9"	"13"	"Eaves, Tom"	"Coyle, Tony"	"7f "	"3"	"11"
"19:45:00"	"2026-06-16"	"Wolverhampton"	"Manton Road"	"66.00"	"110"	"Non-Handicap"	"3"	"10"	"Fox, Kieren"	"Phillips, R T"	"1m.5f "	"4"	"18"
"19:45:00"	"2026-06-16"	"Wolverhampton"	"First Encounter"	"12.00"	"14"	"Non-Handicap"	"5"	"10"	"Keenan, Darragh"	"Gallagher, J"	"1m.5f "	"5"	"14"
"19:45:00"	"2026-06-16"	"Wolverhampton"	"Smoker Bellamy (IRE)"	"9.00"	"13.5"	"Non-Handicap"	"6"	"10"	"Doughty, Jack"	"Newland, Dr R D P"	"1m.5f "	"3"	"29"
"20:45:00"	"2026-06-02"	"Newcastle"	"First Encounter"	"11.00"	"17.45"	"Handicap"	"10"	"13"	"Whiteley, C J"	"Gallagher, J"	"1m "	"5"	"64"
"20:00:00"	"2026-06-02"	"Wolverhampton"	"Lady Vanguard"	"28.00"	"39.09"	"Handicap"	"5"	"9"	"Keenan, Darragh"	"Scott, George"	"7f "	"3"	"25"
"20:00:00"	"2026-06-02"	"Wolverhampton"	"City Of Dreams (IRE)"	"10.00"	"12.89"	"Handicap"	"8"	"9"	"Greatrex, Edward"	"Bethell, Ed"	"7f "	"3"	"37"
"17:24:00"	"2026-06-02"	"Wolverhampton"	"Port Darwin (IRE)"	"18.00"	"26.19"	"Handicap"	"6"	"8"	"Hornby, Rob"	"Johnston, Charlie"	"1m4f "	"3"	"25"
"20:00:00"	"2026-05-21"	"Southwell"	"My Mate Beattie (IRE)"	"33.00"	"50"	"Handicap"	"6"	"9"	"Mortensen, Mikkel"	"Dixon, Scott"	"7f "	"4"	"58"
"16:35:00"	"2026-05-19"	"Newcastle"	"Everydaysasaturday (IRE)"	"16.00"	"21"	"Handicap"	"5"	"12"	"Wheatley, Zak"	"Carroll, D"	"5f "	"3"	"12"
"18:50:00"	"2026-05-12"	"Lingfield"	"Thestral"	"3.33"	"4.89"	"Handicap"	"2"	"8"	"Murphy, Oisin"	"Palmer, Hugo"	"7f "	"3"	"30"
"18:50:00"	"2026-05-12"	"Lingfield"	"Lovethiswayagain (IRE)"	"6.00"	"8.2"	"Handicap"	"6"	"8"	"Loughnane, Mr Billy"	"Sangster, Ollie"	"7f "	"3"	"41"
"20:00:00"	"2026-05-07"	"Southwell"	"Our Misty Blue (IRE)"	"9.00"	"10.88"	"Handicap"	"9"	"10"	"Kirrane, Sean"	"Mullaney, L A"	"7f "	"4"	"8"
"20:00:00"	"2026-05-05"	"Wolverhampton"	"Poetic Grace (IRE)"	"6.50"	"8.04"	"Handicap"	"4"	"10"	"Planas, Connor"	"Allen, C N"	"7f "	"3"	"14"
"18:30:00"	"2026-05-05"	"Wolverhampton"	"Shielas Well (IRE)"	"6.00"	"8.75"	"Handicap"	"3"	"8"	"Moore, Toby"	"Williams, Ian"	"1m.5f "	"4"	"5"
"20:15:00"	"2026-04-30"	"Kempton"	"Port Darwin (IRE)"	"10.00"	"12"	"Handicap"	"2"	"9"	"Hornby, Rob"	"Johnston, Charlie"	"1m4f "	"3"	"22"
"20:15:00"	"2026-04-30"	"Kempton"	"Rajbello (IRE)"	"11.00"	"16"	"Handicap"	"5"	"9"	"Crouch, Hector"	"Hughes, Richard"	"1m4f "	"3"	"20"
"17:15:00"	"2026-04-29"	"Southwell"	"Our Misty Blue (IRE)"	"40.00"	"65"	"Handicap"	"5"	"11"	"Kirrane, Sean"	"Mullaney, L A"	"1m "	"4"	"21"
