RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"16:10:00"	"2026-07-30"	"Goodwood"	"River Spey"	"22.00"	"38.92"	"Handicap"	"7"	"18"	"Shoemark, Kieran"	"Walker, Ed"	"5f "	"3"	"21"
"17:55:00"	"2026-07-28"	"Goodwood"	"Secret History (IRE)"	"5.00"	"7.82"	"Handicap"	"3"	"20"	"Lewis, Ashley"	"Walker, Ed"	"6f "	"3"	"17"
"14:20:00"	"2026-07-24"	"Ascot"	"Cut And Sew"	"22.00"	"25.58"	"Novices"	"5"	"8"	"Crouch, Hector"	"Walker, Ed"	"6f "	"2"	"35"
"17:25:00"	"2026-07-18"	"Newmarket (July)"	"Astrazar (IRE)"	"3.50"	"5.8"	"Handicap"	"2"	"6"	"Crouch, Hector"	"Walker, Ed"	"1m "	"3"	"21"
"16:45:00"	"2026-07-17"	"Newbury"	"Accademia"	"3.00"	"4.8"	"Handicap"	"1"	"10"	"Shoemark, Kieran"	"Walker, Ed"	"1m "	"3"	"14"
"15:15:00"	"2026-07-16"	"Chepstow"	"Secret Rival (IRE)"	"8.50"	"13"	"Novices"	"7"	"9"	"Downing, George"	"Walker, Ed"	"5f "	"2"	"23"
"17:10:00"	"2026-07-11"	"Newmarket (July)"	"Secret History (IRE)"	"6.00"	"8.6"	"Handicap"	"1"	"11"	"Buick, William"	"Walker, Ed"	"7f "	"3"	"42"
"16:55:00"	"2026-07-10"	"Ascot"	"So Darn Hot"	"5.50"	"6.8"	"Handicap"	"5"	"11"	"Shoemark, Kieran"	"Walker, Ed"	"6f "	"4"	"22"
"17:00:00"	"2026-07-04"	"Newmarket (July)"	"Lightning Polka"	"4.50"	"6"	"Handicap"	"3"	"5"	"Marquand, Tom"	"Walker, Ed"	"7f "	"3"	"64"
"16:30:00"	"2026-07-04"	"Leicester"	"Frantic"	"2.00"	"3.2"	"Handicap"	"5"	"7"	"Lewis, Ashley"	"Walker, Ed"	"7f "	"3"	"18"
"20:30:00"	"2026-07-02"	"Newbury"	"Del Corso"	"2.25"	"3.5"	"Handicap"	"2"	"4"	"Shoemark, Kieran"	"Walker, Ed"	"1m "	"3"	"26"
"19:35:00"	"2026-06-23"	"Newbury"	"Laughterintherain (FR)"	"7.50"	"9.9"	"Handicap"	"8"	"12"	"Shoemark, Kieran"	"Walker, Ed"	"6f "	"3"	"20"
"17:17:00"	"2026-06-23"	"Newbury"	"Secret Rival (IRE)"	"18.00"	"23.88"	"Novices"	"6"	"10"	"Shoemark, Kieran"	"Walker, Ed"	"6f "	"2"	"17"
"20:15:00"	"2026-06-19"	"Newmarket (July)"	"Hurricane Laughter"	"3.33"	"4.9"	"Handicap"	"5"	"10"	"Lloyd, Zac"	"Walker, Ed"	"1m "	"3"	"205"
"14:55:00"	"2026-06-11"	"Newbury"	"Storm Point"	"4.00"	"6"	"Handicap"	"1"	"10"	"Shoemark, Kieran"	"Walker, Ed"	"1m "	"3"	"45"
"15:48:00"	"2026-06-09"	"Salisbury"	"Cosmic Jive (IRE)"	"33.00"	"39.98"	"Novices"	"7"	"13"	"Shoemark, Kieran"	"Walker, Ed"	"7f "	"3"	"71"
"14:25:00"	"2026-06-07"	"Goodwood"	"Mobadir (IRE)"	"4.50"	"6.2"	"Novices"	"6"	"6"	"Shoemark, Kieran"	"Walker, Ed"	"6f "	"2"	"24"
"15:25:00"	"2026-06-01"	"Newbury"	"Velvet Goldmine (IRE)"	"3.00"	"3.98"	"Maiden"	"3"	"6"	"Shoemark, Kieran"	"Walker, Ed"	"6f "	"3"	"234"
"14:50:00"	"2026-06-01"	"Newbury"	"Electrifarhh"	"11.00"	"13.7"	"Handicap"	"6"	"12"	"Shoemark, Kieran"	"Walker, Ed"	"1m "	"4"	"65"
