RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	Age	DaysSinceRun	
"15:00:00"	"2026-03-08"	"Naas"	"Live Your Dreams (FR)"	"12.00"	"16"	"Handicap Hurdle"	"9"	"10"	"OBrien, P M"	"Durkan, William"	"2m.5f "	"5"	"17"
"16:52:00"	"2026-03-04"	"Naas"	"Umpires Call (IRE)"	"3.50"	"5.13"	"Handicap Hurdle"	"1"	"11"	"Donoghue, K M"	"Dempsey, J P"	"2m3f "	"7"	"25"
"14:50:00"	"2026-03-04"	"Naas"	"Straight John (FR)"	"2.00"	"3.41"	"Novices Hurdle"	"3"	"7"	"Kennedy, J W"	"Elliott, Gordon"	"2m "	"5"	"14"
"14:00:00"	"2026-02-22"	"Naas"	"Northern Ruler"	"200.00"	"778.91"	"Maiden Hurdle"	"12"	"21"	"Smithers, C D"	"OCallaghan, M D"	"1m7.5f "	"5"	"17"
"12:55:00"	"2026-01-25"	"Naas"	"Saratoga (IRE)"	"4.00"	"7.2"	"Maiden Hurdle"	"3"	"12"	"Walsh, M P"	"Roche, Padraig"	"2m "	"4"	"25"
"15:45:00"	"2026-01-09"	"Naas"	"Mount Frisco (IRE)"	"5.50"	"8"	"Handicap Chase"	"5"	"9"	"King, D"	"Ryan, John Patrick"	"2m "	"7"	"14"
"13:13:00"	"2026-01-09"	"Naas"	"Party President (IRE)"	"6.50"	"10.5"	"Handicap Hurdle"	"9"	"11"	"Leahy, Mr A"	"Mullins, Anthony"	"2m3f "	"6"	"25"
"14:50:00"	"2025-12-15"	"Naas"	"Ballyredinkingston (IRE)"	"20.00"	"34"	"Handicap Hurdle"	"15"	"16"	"Halford, Mr J M"	"Ryan, John Patrick"	"2m "	"5"	"13"
"14:50:00"	"2025-12-15"	"Naas"	"Titanium (FR)"	"6.50"	"9.73"	"Handicap Hurdle"	"16"	"16"	"OSullivan, Alan"	"Murphy, Ciaran"	"2m "	"6"	"17"
"13:50:00"	"2025-12-15"	"Naas"	"Fairlander (IRE)"	"4.50"	"8.57"	"Maiden Hurdle"	"4"	"16"	"Roche, T P"	"Rothwell, P J"	"2m3f "	"4"	"18"
