RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"21:00:00"	"2026-06-06"	"Chepstow"	"Marinakis (IRE)"	"28.00"	"34"	"Handicap"	"8"	"9"	"Tubb, Olivia"	"Stephens, Robert"	"6"	"17"
"21:00:00"	"2026-06-06"	"Chepstow"	"Port Of Entry (IRE)"	"33.00"	"37.95"	"Handicap"	"9"	"9"	"Marsh, Finley"	"Bevis, R J"	"6"	"33"
"19:55:00"	"2026-06-06"	"Chepstow"	"Marisitta"	"9.00"	"10"	"Handicap"	"6"	"9"	"Langley, Miss Taryn"	"Oshea, J G M"	"6"	"81"
"19:25:00"	"2026-06-06"	"Chepstow"	"Mooretown Lad (IRE)"	"3.50"	"5.98"	"Handicap"	"2"	"8"	"Marsh, Finley"	"Wintle, A"	"6"	"28"
"17:10:00"	"2026-06-06"	"Chepstow"	"Fletchers Flight (IRE)"	"20.00"	"27"	"Handicap"	"1"	"9"	"Leavy, Mr Joe"	"Wallis, Charlie"	"6"	"18"
"19:10:00"	"2026-05-21"	"Chepstow"	"Terries Royale"	"5.00"	"7.99"	"Handicap"	"10"	"11"	"Carson, William"	"Carroll, A W"	"6"	"57"
"16:20:00"	"2025-09-02"	"Chepstow"	"Connies Rose"	"2.75"	"4.38"	"Handicap"	"1"	"7"	"Dawson, R"	"Harris, Miss G"	"6"	"8"
"16:13:00"	"2025-08-25"	"Chepstow"	"Connies Rose"	"1.38"	"2.38"	"Handicap"	"2"	"7"	"Edmunds, Lewis"	"Harris, Miss G"	"6"	"9"
"16:13:00"	"2025-08-25"	"Chepstow"	"Notre Maison"	"3.00"	"4.2"	"Handicap"	"4"	"7"	"Langley, Miss Taryn"	"Kittow, W S"	"6"	"17"
"15:03:00"	"2025-08-25"	"Chepstow"	"Romanovich (IRE)"	"40.00"	"75"	"Handicap"	"14"	"15"	"Carson, William"	"Oshea, J G M"	"6"	"11"
"20:00:00"	"2025-08-19"	"Chepstow"	"Ravenglass (IRE)"	"4.00"	"5.4"	"Handicap"	"3"	"5"	"Marsh, Finley"	"Wintle, A"	"6"	"67"
"18:30:00"	"2025-08-19"	"Chepstow"	"Captain Bentley"	"12.00"	"15.5"	"Handicap"	"6"	"6"	"Egan, John"	"Mullineaux, M"	"6"	"35"
