RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"16:12:00"	"2026-07-22"	"Catterick"	"Something"	"5.50"	"7.13"	"Handicap"	"2"	"4"	"Garritty, Billy"	"Bailey, Liam"	"5"	"35"
"16:12:00"	"2026-07-22"	"Catterick"	"Leagle Aid (IRE)"	"1.88"	"3.15"	"Handicap"	"3"	"4"	"Hart, Jason"	"Johnston, Charlie"	"5"	"11"
"15:10:00"	"2026-07-22"	"Catterick"	"Kings Merchant"	"5.50"	"7.2"	"Handicap"	"4"	"8"	"Swift, Mr Dale"	"Kirby, P A"	"5"	"12"
"14:10:00"	"2026-07-15"	"Catterick"	"Palazzo Persico (IRE)"	"2.50"	"4"	"Handicap"	"1"	"6"	"Littmoden, Miss Grace"	"Carroll, A W"	"5"	"24"
"14:10:00"	"2026-07-15"	"Catterick"	"On The Bubble"	"22.00"	"44"	"Handicap"	"2"	"6"	"Ruddy, Miss Kayla"	"Rutherford, Gary"	"5"	"15"
"14:10:00"	"2026-07-15"	"Catterick"	"Made All"	"0.53"	"1.59"	"Handicap"	"3"	"6"	"Cookson, Miss Natasha"	"England, Sam"	"5"	"48"
"16:30:00"	"2026-07-08"	"Catterick"	"Ziggys Queen (IRE)"	"11.00"	"15.5"	"Handicap"	"6"	"6"	"Tindall, Ethan"	"Fahey, R A"	"5"	"16"
"14:00:00"	"2026-07-08"	"Catterick"	"Classy Clarets (IRE)"	"4.00"	"6.2"	"Handicap"	"1"	"9"	"Nicholls, Mr Jack"	"Jardine, I"	"5"	"8"
"14:00:00"	"2026-07-08"	"Catterick"	"Jenni (IRE)"	"5.50"	"7.9"	"Handicap"	"4"	"9"	"Farmer, Shay"	"Spencer, Seb"	"5"	"51"
"17:10:00"	"2026-06-22"	"Catterick"	"War Memorial"	"2.75"	"3.22"	"Handicap"	"1"	"8"	"Whiteley, C J"	"Mullaney, L A"	"5"	"16"
"17:10:00"	"2026-06-22"	"Catterick"	"Misemerald (IRE)"	"7.50"	"7.52"	"Handicap"	"2"	"8"	"Lee, Clifford"	"Kirby, P A"	"5"	"32"
"17:10:00"	"2026-06-22"	"Catterick"	"Classy Clarets (IRE)"	"9.00"	"8.72"	"Handicap"	"5"	"8"	"Nolan, D"	"Jardine, I"	"5"	"16"
"17:10:00"	"2026-06-22"	"Catterick"	"Emerald Army (IRE)"	"4.50"	"4.76"	"Handicap"	"6"	"8"	"Sullivan, James P"	"Carr, Mrs R A"	"5"	"6"
"16:00:00"	"2026-06-22"	"Catterick"	"Ziggys Queen (IRE)"	"11.00"	"15"	"Handicap"	"5"	"7"	"Tindall, Ethan"	"Fahey, R A"	"5"	"23"
"20:59:00"	"2026-06-11"	"Catterick"	"Qazaq (FR)"	"5.50"	"7.2"	"Handicap"	"5"	"6"	"Stott, Kevin"	"Jardine, I"	"5"	"22"
"16:50:00"	"2026-05-21"	"Catterick"	"Emerald Army (IRE)"	"10.00"	"16"	"Handicap"	"2"	"11"	"Fentiman, Warren"	"Carr, Mrs R A"	"5"	"14"
"15:40:00"	"2026-05-21"	"Catterick"	"Made All"	"3.50"	"5.2"	"Handicap"	"3"	"4"	"Sousa, Silvestre De"	"England, Sam"	"5"	"13"
"15:10:00"	"2026-05-21"	"Catterick"	"Ingleby Archie (IRE)"	"4.50"	"5.89"	"Handicap"	"3"	"7"	"Nicholls, Mr Jack"	"Nicholls, Adrian"	"5"	"25"
"17:00:00"	"2026-05-11"	"Catterick"	"Betties Bay"	"1.50"	"2.85"	"Handicap"	"1"	"8"	"Morris, Luke"	"Owen, J P"	"5"	"101"
"16:30:00"	"2026-05-11"	"Catterick"	"Free Pic (IRE)"	"0.80"	"1.88"	"Handicap"	"2"	"14"	"McHugh, B"	"Smith, Mrs S J"	"5"	"19"
"16:30:00"	"2026-05-11"	"Catterick"	"Muhib"	"5.00"	"8.2"	"Handicap"	"3"	"14"	"Fentiman, Warren"	"Williams, Olly"	"5"	"7"
"16:30:00"	"2026-05-11"	"Catterick"	"Inspiring Speeches (IRE)"	"25.00"	"41.81"	"Handicap"	"5"	"14"	"Marshall, Tom Kiely"	"Ender, Miss S J"	"5"	"26"
"16:30:00"	"2026-05-11"	"Catterick"	"Rock Armour (IRE)"	"14.00"	"24"	"Handicap"	"6"	"14"	"Mullen, Andrew"	"Thompson, D W"	"5"	"19"
"16:30:00"	"2026-05-11"	"Catterick"	"Sassy Glory (IRE)"	"18.00"	"28"	"Handicap"	"9"	"14"	"McHugh, K S"	"Walford, Mark"	"5"	"14"
"14:30:00"	"2026-05-11"	"Catterick"	"Filey Beach (IRE)"	"9.00"	"12.74"	"Handicap"	"1"	"13"	"Langley, Miss Taryn"	"Carr, Mrs R A"	"5"	"12"
"14:30:00"	"2026-05-11"	"Catterick"	"Kings Merchant"	"6.50"	"8.04"	"Handicap"	"4"	"13"	"Paetel, Mason"	"Kirby, P A"	"5"	"10"
"14:30:00"	"2026-05-11"	"Catterick"	"Asian Journey (IRE)"	"5.50"	"7.82"	"Handicap"	"5"	"13"	"McHugh, K S"	"England, Sam"	"5"	"19"
"17:00:00"	"2026-04-22"	"Catterick"	"Free Pic (IRE)"	"0.83"	"1.97"	"Handicap"	"1"	"8"	"McHugh, B"	"Smith, Mrs S J"	"5"	"14"
"17:00:00"	"2026-04-22"	"Catterick"	"Rock Armour (IRE)"	"14.00"	"19.61"	"Handicap"	"5"	"8"	"Mullen, Andrew"	"Thompson, D W"	"5"	"14"
"17:00:00"	"2026-04-22"	"Catterick"	"Inlet"	"28.00"	"48.9"	"Handicap"	"8"	"8"	"Hardie, Cameron"	"Sowersby, M E"	"5"	"17"
"15:52:00"	"2026-04-22"	"Catterick"	"Asian Journey (IRE)"	"4.00"	"5.93"	"Handicap"	"4"	"9"	"Orr, Oisin"	"England, Sam"	"5"	"24"
"17:38:00"	"2026-04-08"	"Catterick"	"Keldeo"	"5.00"	"6.6"	"Handicap"	"1"	"8"	"Russell, Harry"	"Pears, Ollie"	"5"	"29"
"17:38:00"	"2026-04-08"	"Catterick"	"Fillys Last Lady"	"14.00"	"19.5"	"Handicap"	"5"	"8"	"McHugh, B"	"Harrison, Gary"	"5"	"29"
"17:05:00"	"2026-04-08"	"Catterick"	"Sir Garfield (IRE)"	"14.00"	"17.89"	"Handicap"	"1"	"9"	"Hart, Jason"	"Quinn, J J"	"5"	"155"
"16:33:00"	"2026-04-08"	"Catterick"	"Roland Garros"	"2.75"	"4.2"	"Handicap"	"1"	"8"	"Hart, Jason"	"Burton, Hayley"	"5"	"22"
"16:33:00"	"2026-04-08"	"Catterick"	"Naturalia"	"5.50"	"7.03"	"Handicap"	"2"	"8"	"Farmer, Shay"	"Whillans, D W"	"5"	"153"
