RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"15:45:00"	"2010-05-12"	"York"	"Deauville Flyer"	"8.00"	"11.74"	"Handicap"	"1"	"17"	"Fallon, K"	"Easterby, T D"	"4"	"20"
"16:55:00"	"2009-05-15"	"York"	"Off Chance"	"14.00"	"24"	"Handicap"	"7"	"12"	"Fentiman, Duran"	"Easterby, T D"	"3"	"20"
"15:45:00"	"2009-05-15"	"York"	"Mullglen"	"14.00"	"28.97"	"Handicap"	"10"	"13"	"Fentiman, Duran"	"Easterby, T D"	"3"	"20"
"15:10:00"	"2009-05-15"	"York"	"Ahla Wasahl"	"8.00"	"10"	"Non-Handicap"	"5"	"7"	"Ajtebi, Ahmed"	"Simcock, D M"	"3"	"16"
"15:45:00"	"2009-05-14"	"York"	"Brenin Taran"	"33.00"	"47.8"	"Non-Handicap"	"6"	"8"	"Nicholls, Adrian T"	"Simcock, D M"	"3"	"20"
"15:10:00"	"2009-05-14"	"York"	"Lovelace"	"12.00"	"14.83"	"Handicap"	"4"	"15"	"Ffrench, Royston"	"Johnston, M"	"5"	"19"
"15:45:00"	"2009-05-13"	"York"	"Cyborg"	"10.00"	"13.27"	"Handicap"	"5"	"16"	"Havlin, Robert"	"Elsworth, D R C"	"5"	"16"
"14:10:00"	"2009-05-13"	"York"	"Johnmanderville"	"25.00"	"40.34"	"Handicap"	"7"	"14"	"Elliott, Andrew"	"Burke, K R"	"3"	"16"
"14:40:00"	"2008-05-16"	"York"	"Alfie Flits"	"12.00"	"17.06"	"Non-Handicap"	"6"	"8"	"Winston, Robert"	"Swinbank, G A"	"6"	"19"
"16:55:00"	"2008-05-14"	"York"	"Indian Days"	"4.50"	"5.93"	"Handicap"	"2"	"12"	"Queally, T P"	"Given, J G"	"3"	"18"
"14:40:00"	"2008-05-14"	"York"	"Dar Re Mi"	"3.33"	"4.2"	"Non-Handicap"	"3"	"8"	"Fortune, Jimmy"	"Gosden, J H M"	"3"	"19"
"17:00:00"	"2007-05-18"	"York"	"Moonwalking"	"33.00"	"0"	"Handicap"	"3"	"16"	"Crowley, Jim"	"OKeeffe, Jedd"	"3"	"16"
"15:50:00"	"2007-05-18"	"York"	"Top Bid"	"5.00"	"0"	"Handicap"	"9"	"11"	"Allan, David"	"Easterby, T D"	"3"	"20"
"14:15:00"	"2007-05-18"	"York"	"Kyoto Summit"	"25.00"	"0"	"Handicap"	"12"	"15"	"Mulrennan, Paul"	"Easterby, M W"	"4"	"20"
"17:00:00"	"2007-05-17"	"York"	"Bollin Derek"	"2.25"	"0"	"Handicap"	"1"	"12"	"Allan, David"	"Easterby, T D"	"4"	"19"
"16:25:00"	"2007-05-17"	"York"	"Mr Mischief"	"25.00"	"0"	"Handicap"	"11"	"17"	"Polli, Nicol"	"Chapman, M C"	"7"	"16"
"17:00:00"	"2007-05-16"	"York"	"Spice Route"	"6.00"	"0"	"Handicap"	"1"	"14"	"Spencer, Jamie"	"Bell, M L W"	"3"	"18"
"14:15:00"	"2007-05-16"	"York"	"Tredegar"	"2.75"	"0"	"Handicap"	"11"	"11"	"Sanders, Seb"	"Cole, P F I"	"3"	"19"
"17:00:00"	"2006-05-19"	"York"	"Moonhawk"	"20.00"	"0"	"Handicap"	"4"	"10"	"Holland, Darryll"	"Johnson, J Howard"	"3"	"20"
"16:25:00"	"2006-05-19"	"York"	"Skhilling Spirit"	"16.00"	"0"	"Handicap"	"2"	"8"	"Fessey, Paul"	"Barron, T D"	"3"	"20"
"16:25:00"	"2006-05-19"	"York"	"Choysia"	"40.00"	"0"	"Handicap"	"5"	"8"	"Lynch, Fergal"	"Barker, D W"	"3"	"20"
"16:25:00"	"2006-05-19"	"York"	"Mr Sandicliffe"	"12.00"	"0"	"Handicap"	"6"	"8"	"Munro, Alan"	"Hills, B W"	"3"	"16"
"15:15:00"	"2006-05-19"	"York"	"Spinning Ruby"	"5.50"	"0"	"Non-Handicap"	"4"	"6"	"Souza, Nelson De"	"Beckett, R M"	"3"	"16"
"16:55:00"	"2006-05-18"	"York"	"Duroob"	"12.00"	"0"	"Handicap"	"6"	"15"	"Catlin, Chris"	"Burke, K R"	"4"	"17"
"16:25:00"	"2006-05-18"	"York"	"Stoop To Conquer"	"5.00"	"0"	"Handicap"	"12"	"16"	"Callan, N"	"Dunlop, J L"	"6"	"19"
"15:15:00"	"2006-05-17"	"York"	"Etlaala"	"5.50"	"0"	"Non-Handicap"	"13"	"16"	"Hills, R"	"Hills, B W"	"4"	"18"
"14:15:00"	"2006-05-17"	"York"	"Royal Prince (OLD)"	"3.50"	"0"	"Handicap"	"3"	"6"	"Quinn, T"	"Channon, M R"	"3"	"16"
"14:15:00"	"2006-05-17"	"York"	"South Cape"	"14.00"	"0"	"Handicap"	"5"	"6"	"Durcan, Ted"	"Channon, M R"	"3"	"19"
"16:45:00"	"2005-05-13"	"York"	"Queen Of Iceni"	"8.00"	"0"	"Handicap"	"6"	"7"	"Quinn, T"	"Dunlop, J L"	"3"	"20"
"14:30:00"	"2005-05-13"	"York"	"Franklins Gardens"	"6.50"	"0"	"Non-Handicap"	"1"	"9"	"Holland, Darryll"	"Tompkins, M H"	"5"	"16"
"15:00:00"	"2005-05-12"	"York"	"Welcome Stranger"	"33.00"	"0"	"Handicap"	"4"	"12"	"Fletcher, L"	"Eustace, J M P"	"5"	"19"
"15:00:00"	"2005-05-12"	"York"	"Polar Bear"	"2.00"	"0"	"Handicap"	"8"	"12"	"Fallon, K"	"Haggas, W J"	"5"	"19"
"16:10:00"	"2004-05-13"	"York"	"Dallool"	"3.33"	"0"	"Handicap"	"4"	"14"	"Robinson, Philip"	"Jarvis, M A"	"3"	"19"
"16:10:00"	"2004-05-13"	"York"	"Jomacomi"	"14.00"	"0"	"Handicap"	"6"	"14"	"Fanning, Joe"	"Johnston, M"	"3"	"17"
"15:35:00"	"2004-05-13"	"York"	"Certifiable"	"25.00"	"0"	"Handicap"	"12"	"14"	"Nicholls, Adrian T"	"Reid, Andrew"	"3"	"20"
"14:00:00"	"2004-05-13"	"York"	"Sir George Turner"	"25.00"	"0"	"Handicap"	"14"	"14"	"Dalgleish, K"	"Johnston, M"	"5"	"19"
"16:45:00"	"2004-05-12"	"York"	"Greenwich Meantime"	"6.00"	"0"	"Handicap"	"16"	"18"	"Spencer, Jamie"	"Ramsden, Mrs J R"	"4"	"18"
"15:35:00"	"2004-05-11"	"York"	"La Sylphide"	"16.00"	"0"	"Handicap"	"5"	"19"	"Kelly, Shane"	"Moore, G M"	"7"	"17"
"14:30:00"	"2004-05-11"	"York"	"Chanteloup"	"25.00"	"0"	"Non-Handicap"	"4"	"6"	"Murtagh, J"	"Fanshawe, J R"	"3"	"19"
"14:00:00"	"2004-05-11"	"York"	"Iskander"	"25.00"	"0"	"Handicap"	"9"	"14"	"Callan, N"	"Ryan, K A"	"3"	"17"
"13:30:00"	"2004-05-11"	"York"	"Bayhirr"	"3.33"	"0"	"Handicap"	"5"	"13"	"Robinson, Philip"	"Jarvis, M A"	"3"	"17"
"15:35:00"	"2003-05-15"	"York"	"Cap Ferrat"	"33.00"	"0"	"Handicap"	"14"	"14"	"Holland, Darryll"	"Hannon, R"	"3"	"20"
"14:00:00"	"2003-05-15"	"York"	"Perfect Storm"	"12.00"	"0"	"Handicap"	"4"	"15"	"Darley, K"	"Blanshard, M"	"4"	"19"
"15:00:00"	"2003-05-13"	"York"	"Red Carpet"	"12.00"	"0"	"Non-Handicap"	"5"	"15"	"Fallon, K"	"Bell, M L W"	"5"	"17"
 
