RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"16:10:00"	"2026-07-28"	"Goodwood"	"Dyonisos (FR)"	"14.00"	"20"	"Handicap"	"9"	"23"	"Fallon, Cieren"	"Williams, Ian"	"4"	"25"
"13:50:00"	"2026-07-28"	"Goodwood"	"Dhahabi (IRE)"	"150.00"	"465.64"	"Handicap"	"15"	"17"	"Bishop, Charles"	"Williams, Ian"	"8"	"53"
"17:33:00"	"2026-07-25"	"Chester"	"Maharajas Express"	"8.00"	"11.5"	"Handicap"	"1"	"11"	"Probert, David"	"Williams, Ian"	"6"	"14"
"17:33:00"	"2026-07-25"	"Chester"	"Beauzon"	"66.00"	"140"	"Handicap"	"11"	"11"	"Kavanagh, Ryan"	"Williams, Ian"	"7"	"14"
"16:10:00"	"2026-07-25"	"Ascot"	"Tailorman (FR)"	"66.00"	"150"	"Handicap"	"8"	"15"	"Bishop, Charles"	"Williams, Ian"	"6"	"315"
"14:55:00"	"2026-07-25"	"Ascot"	"Aalto (FR)"	"14.00"	"26"	"Handicap"	"3"	"16"	"Buick, William"	"Williams, Ian"	"6"	"14"
"14:28:00"	"2026-07-25"	"Chester"	"Law Of Design (IRE)"	"28.00"	"34"	"Handicap"	"5"	"8"	"Kavanagh, Ryan"	"Williams, Ian"	"4"	"15"
"14:28:00"	"2026-07-25"	"Chester"	"Giant"	"7.50"	"9.71"	"Handicap"	"8"	"8"	"Probert, David"	"Williams, Ian"	"6"	"14"
"18:05:00"	"2026-07-24"	"York"	"Vaguely Royal (IRE)"	"3.33"	"5"	"Handicap"	"1"	"13"	"Buick, William"	"Williams, Ian"	"6"	"13"
"16:48:00"	"2026-07-23"	"Doncaster"	"Chilly Breeze"	"7.00"	"9"	"Handicap"	"2"	"8"	"Kavanagh, Ryan"	"Williams, Ian"	"4"	"20"
"19:50:00"	"2026-07-22"	"Leicester"	"Typeface"	"3.33"	"4.8"	"Handicap"	"3"	"6"	"Greatrex, Edward"	"Williams, Ian"	"4"	"29"
"18:21:00"	"2026-07-21"	"Salisbury"	"Call Glory (IRE)"	"4.00"	"5.83"	"Handicap"	"2"	"10"	"Furniss, Bradley"	"Williams, Ian"	"5"	"26"
"20:43:00"	"2026-07-18"	"Nottingham"	"Woodstock City"	"14.00"	"16.91"	"Handicap"	"2"	"6"	"Kavanagh, Ryan"	"Williams, Ian"	"6"	"40"
"17:55:00"	"2026-07-18"	"Nottingham"	"Sceptic (IRE)"	"4.00"	"6.4"	"Handicap"	"5"	"6"	"Murphy, D J"	"Williams, Ian"	"6"	"34"
