RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"18:35:00"	"2026-06-19"	"Newmarket (July)"	"Best Rate"	"2.75"	"4.53"	"Handicap"	"2"	"9"	"Voikhansky, Alexander"	"Hannon (Jnr), Richard"	"4"	"8"
"18:10:00"	"2026-06-18"	"Ascot"	"River King (IRE)"	"14.00"	"24.86"	"Handicap"	"5"	"28"	"Dobbs, Pat"	"Hannon (Jnr), Richard"	"4"	"17"
"15:30:00"	"2026-06-11"	"Newbury"	"Best Rate"	"25.00"	"36"	"Handicap"	"3"	"15"	"Dobbs, Pat"	"Hannon (Jnr), Richard"	"4"	"76"
"15:30:00"	"2026-05-30"	"Chester"	"Angel Hunter"	"16.00"	"20.83"	"Handicap"	"7"	"11"	"Voikhansky, Alexander"	"Hannon (Jnr), Richard"	"4"	"14"
"16:52:00"	"2026-05-22"	"Goodwood"	"Al Arbeed"	"9.00"	"11.41"	"Handicap"	"7"	"14"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"20"
"13:55:00"	"2026-04-04"	"Musselburgh"	"Al Arbeed"	"4.50"	"6.4"	"Handicap"	"5"	"10"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"7"
"14:55:00"	"2026-03-29"	"Doncaster"	"An Outlaws Grace (IRE)"	"14.00"	"20"	"Handicap"	"7"	"16"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"30"
"16:35:00"	"2025-10-24"	"Newbury"	"Christian David (IRE)"	"8.00"	"10.5"	"Handicap"	"13"	"13"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"27"
"16:10:00"	"2025-09-14"	"Doncaster"	"Circe (IRE)"	"33.00"	"50"	"Non-Handicap"	"4"	"18"	"Davies, Harry"	"Hannon (Jnr), Richard"	"4"	"43"
"17:20:00"	"2025-07-19"	"Newbury"	"Star Style"	"6.00"	"7.8"	"Handicap"	"8"	"9"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"37"
"15:00:00"	"2024-09-14"	"Doncaster"	"Shouldvebeenaring"	"14.00"	"18.5"	"Non-Handicap"	"3"	"9"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"7"
"16:10:00"	"2024-09-06"	"Ascot"	"Dark Thirty (IRE)"	"7.00"	"8.25"	"Non-Handicap"	"6"	"6"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"13"
"15:00:00"	"2024-08-24"	"York"	"Shouldvebeenaring"	"8.50"	"8.84"	"Non-Handicap"	"3"	"6"	"Murphy, Oisin"	"Hannon (Jnr), Richard"	"4"	"63"
"17:20:00"	"2024-07-31"	"Goodwood"	"Signcastle City (IRE)"	"10.00"	"12.3"	"Handicap"	"14"	"18"	"Spencer, Jamie"	"Hannon (Jnr), Richard"	"4"	"32"
"17:30:00"	"2024-07-20"	"Newmarket (July)"	"Wallop (IRE)"	"8.00"	"11.29"	"Handicap"	"7"	"7"	"Dobbs, Pat"	"Hannon (Jnr), Richard"	"4"	"19"
"17:17:00"	"2024-07-13"	"Ascot"	"Optiva Star (IRE)"	"40.00"	"65"	"Handicap"	"14"	"16"	"Greatrex, Thomas"	"Hannon (Jnr), Richard"	"4"	"26"
"19:15:00"	"2024-06-25"	"Newbury"	"Rich"	"10.00"	"12.5"	"Handicap"	"3"	"13"	"Dobbs, Pat"	"Hannon (Jnr), Richard"	"4"	"48"
"19:00:00"	"2024-06-08"	"Chepstow"	"Signcastle City (IRE)"	"9.00"	"12.94"	"Handicap"	"1"	"11"	"Hitchcott, Sam"	"Hannon (Jnr), Richard"	"4"	"21"
"15:35:00"	"2023-08-19"	"Newbury"	"Witch Hunter (FR)"	"12.00"	"16.42"	"Non-Handicap"	"1"	"9"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"20"
"16:27:00"	"2023-07-15"	"Chester"	"Witch Hunter (FR)"	"10.00"	"15.79"	"Non-Handicap"	"3"	"10"	"Hitchcott, Sam"	"Hannon (Jnr), Richard"	"4"	"14"
"20:25:00"	"2023-06-27"	"Newbury"	"Night Arc"	"22.00"	"32.21"	"Handicap"	"2"	"11"	"Greatrex, Thomas"	"Hannon (Jnr), Richard"	"4"	"22"
"14:25:00"	"2023-04-18"	"Newmarket (Rowley)"	"Tacarib Bay"	"5.50"	"6.94"	"Handicap"	"6"	"9"	"Moore, Ryan"	"Hannon (Jnr), Richard"	"4"	"17"
"15:35:00"	"2022-08-13"	"Newbury"	"Happy Romance (IRE)"	"12.00"	"16.77"	"Non-Handicap"	"7"	"9"	"Doyle, Hollie"	"Hannon (Jnr), Richard"	"4"	"28"
"15:35:00"	"2022-08-13"	"Newbury"	"Chindit (IRE)"	"4.00"	"5.4"	"Non-Handicap"	"8"	"9"	"Dobbs, Pat"	"Hannon (Jnr), Richard"	"4"	"17"
"15:15:00"	"2021-10-12"	"Leicester"	"Lexington Force (FR)"	"4.00"	"5.06"	"Seller"	"4"	"7"	"Ryan, Rossa"	"Hannon (Jnr), Richard"	"4"	"23"
"15:50:00"	"2021-10-02"	"Ascot"	"Mums Tipple (IRE)"	"66.00"	"85"	"Handicap"	"15"	"16"	"Dobbs, Pat"	"Hannon (Jnr), Richard"	"4"	"15"
"15:45:00"	"2021-06-28"	"Lingfield"	"Love Powerful (IRE)"	"10.00"	"13"	"Handicap"	"5"	"8"	"Sousa, Silvestre De"	"Hannon (Jnr), Richard"	"4"	"260"
"15:15:00"	"2021-06-26"	"Newmarket (July)"	"Mums Tipple (IRE)"	"16.00"	"22"	"Non-Handicap"	"4"	"9"	"Dobbs, Pat"	"Hannon (Jnr), Richard"	"4"	"13"
"14:10:00"	"2021-04-24"	"Leicester"	"Mums Tipple (IRE)"	"3.00"	"4.31"	"Non-Handicap"	"2"	"4"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"22"
"13:20:00"	"2021-03-28"	"Doncaster"	"Tahitian Prince (FR)"	"14.00"	"24.03"	"Handicap"	"1"	"18"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"123"
"15:00:00"	"2020-08-22"	"York"	"Beat Le Bon (FR)"	"7.50"	"9.17"	"Non-Handicap"	"5"	"8"	"Crowley, Jim"	"Hannon (Jnr), Richard"	"4"	"13"
"16:00:00"	"2020-08-15"	"Doncaster"	"Magical Wish (IRE)"	"18.00"	"27"	"Handicap"	"1"	"11"	"McDonald, P J"	"Hannon (Jnr), Richard"	"4"	"17"
"16:00:00"	"2020-08-08"	"Newmarket (July)"	"Fox Champion (IRE)"	"7.50"	"10.77"	"Handicap"	"7"	"8"	"Sousa, Silvestre De"	"Hannon (Jnr), Richard"	"4"	"42"
"14:10:00"	"2019-09-28"	"Chester"	"Rum Runner"	"6.50"	"10.13"	"Handicap"	"10"	"12"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"21"
"15:55:00"	"2019-09-20"	"Newbury"	"Red Starlight"	"9.00"	"14.5"	"Non-Handicap"	"7"	"8"	"Dobbs, Pat"	"Hannon (Jnr), Richard"	"4"	"20"
"15:50:00"	"2019-09-05"	"Haydock"	"Qaysar (FR)"	"2.50"	"3.98"	"Non-Handicap"	"1"	"6"	"McDonald, P J"	"Hannon (Jnr), Richard"	"4"	"14"
"16:10:00"	"2019-08-25"	"Goodwood"	"Anna Nerium"	"12.00"	"15.5"	"Non-Handicap"	"9"	"10"	"Marquand, Tom"	"Hannon (Jnr), Richard"	"4"	"30"
"14:50:00"	"2019-08-17"	"Doncaster"	"Rum Runner"	"14.00"	"20"	"Handicap"	"3"	"10"	"Ryan, Rossa"	"Hannon (Jnr), Richard"	"4"	"15"
"16:20:00"	"2019-08-10"	"Newmarket (July)"	"Qaysar (FR)"	"2.25"	"3.35"	"Handicap"	"1"	"6"	"Doyle, James"	"Hannon (Jnr), Richard"	"4"	"4"
"19:30:00"	"2019-08-02"	"Newmarket (July)"	"Rum Runner"	"7.00"	"11"	"Handicap"	"1"	"10"	"Murphy, Oisin"	"Hannon (Jnr), Richard"	"4"	"21"
"13:50:00"	"2019-08-02"	"Goodwood"	"Billesdon Brook"	"12.00"	"16.96"	"Non-Handicap"	"1"	"17"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"24"
"16:45:00"	"2019-07-12"	"Newmarket (July)"	"Rum Runner"	"16.00"	"34.18"	"Handicap"	"12"	"13"	"Queally, T P"	"Hannon (Jnr), Richard"	"4"	"6"
"17:50:00"	"2019-06-21"	"Goodwood"	"Elysium Dream"	"4.00"	"5.63"	"Handicap"	"6"	"6"	"Hansen, Thore"	"Hannon (Jnr), Richard"	"4"	"15"
"14:00:00"	"2019-06-09"	"Goodwood"	"Rum Runner"	"33.00"	"55"	"Handicap"	"3"	"8"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"17"
"13:25:00"	"2019-06-08"	"Beverley"	"Qaysar (FR)"	"3.50"	"5.3"	"Handicap"	"3"	"8"	"Dobbs, Pat"	"Hannon (Jnr), Richard"	"4"	"28"
"16:00:00"	"2019-06-01"	"Musselburgh"	"Red Starlight"	"1.25"	"2.52"	"Non-Handicap"	"3"	"8"	"Tudhope, Daniel"	"Hannon (Jnr), Richard"	"4"	"21"
"14:30:00"	"2019-05-28"	"Brighton"	"Elysium Dream"	"2.50"	"3.7"	"Handicap"	"2"	"4"	"Ryan, Rossa"	"Hannon (Jnr), Richard"	"4"	"22"
"14:35:00"	"2019-05-23"	"Goodwood"	"Rum Runner"	"20.00"	"24"	"Handicap"	"9"	"9"	"Fanning, Joe"	"Hannon (Jnr), Richard"	"4"	"185"
"16:25:00"	"2019-05-18"	"Newmarket (Rowley)"	"Buridan (FR)"	"4.50"	"5.6"	"Handicap"	"4"	"6"	"Marquand, Tom"	"Hannon (Jnr), Richard"	"4"	"21"
"16:00:00"	"2019-05-11"	"Ascot"	"Qaysar (FR)"	"20.00"	"26.41"	"Handicap"	"11"	"26"	"Marquand, Tom"	"Hannon (Jnr), Richard"	"4"	"31"
"16:10:00"	"2018-10-06"	"Ascot"	"Pepita (IRE)"	"14.00"	"17"	"Non-Handicap"	"12"	"15"	"Crowley, Jim"	"Hannon (Jnr), Richard"	"4"	"22"
"16:30:00"	"2018-09-14"	"Sandown"	"Repton (IRE)"	"4.50"	"6"	"Handicap Claimer"	"7"	"10"	"Bentley, Harry"	"Hannon (Jnr), Richard"	"4"	"7"
"13:50:00"	"2018-09-14"	"Doncaster"	"Pepita (IRE)"	"20.00"	"32"	"Non-Handicap"	"4"	"9"	"Buick, William"	"Hannon (Jnr), Richard"	"4"	"26"
"19:30:00"	"2018-08-03"	"Newmarket (July)"	"Himself"	"2.25"	"3.58"	"Handicap"	"3"	"9"	"Doyle, James"	"Hannon (Jnr), Richard"	"4"	"14"
"16:40:00"	"2018-08-03"	"Goodwood"	"Promising (IRE)"	"25.00"	"37.04"	"Non-Handicap"	"9"	"16"	"Turner, Hayley"	"Hannon (Jnr), Richard"	"4"	"20"
"17:55:00"	"2018-08-01"	"Goodwood"	"Medahim (IRE)"	"7.00"	"8.75"	"Handicap"	"1"	"18"	"Moore, Ryan"	"Hannon (Jnr), Richard"	"4"	"11"
"14:05:00"	"2018-07-28"	"York"	"Wahash (IRE)"	"14.00"	"17.65"	"Handicap"	"6"	"7"	"Marquand, Tom"	"Hannon (Jnr), Richard"	"4"	"22"
"20:45:00"	"2018-07-20"	"Newmarket (July)"	"Himself"	"4.50"	"6.2"	"Handicap"	"1"	"12"	"Doyle, James"	"Hannon (Jnr), Richard"	"4"	"36"
"15:15:00"	"2018-07-14"	"Chester"	"Promising (IRE)"	"33.00"	"49.19"	"Non-Handicap"	"2"	"9"	"Turner, Hayley"	"Hannon (Jnr), Richard"	"4"	"22"
"20:00:00"	"2018-06-22"	"Newmarket (July)"	"Promising (IRE)"	"2.25"	"3.66"	"Handicap"	"5"	"7"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"69"
"19:10:00"	"2018-06-19"	"Brighton"	"Mr Tyrrell (IRE)"	"1.75"	"2.94"	"Handicap"	"4"	"5"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"18"
"19:20:00"	"2018-06-09"	"Lingfield"	"Tai Hang Dragon (IRE)"	"3.00"	"4.9"	"Handicap"	"6"	"7"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"16"
"15:25:00"	"2018-06-02"	"Musselburgh"	"Pepita (IRE)"	"20.00"	"25"	"Non-Handicap"	"1"	"10"	"Makin, Phillip"	"Hannon (Jnr), Richard"	"4"	"15"
"16:25:00"	"2018-05-19"	"Newmarket (Rowley)"	"Peak Princess (IRE)"	"6.50"	"8.4"	"Handicap"	"5"	"8"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"42"
"15:00:00"	"2017-10-17"	"Leicester"	"War Glory (IRE)"	"10.00"	"14.5"	"Handicap"	"8"	"10"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"35"
"16:05:00"	"2017-10-09"	"Salisbury"	"George William"	"1.38"	"2.51"	"Non-Handicap"	"1"	"5"	"Marquand, Tom"	"Hannon (Jnr), Richard"	"4"	"17"
"16:00:00"	"2017-09-22"	"Newbury"	"Tabarrak (IRE)"	"5.00"	"6.8"	"Non-Handicap"	"1"	"11"	"Crowley, Jim"	"Hannon (Jnr), Richard"	"4"	"36"
"16:00:00"	"2017-09-22"	"Newbury"	"George William"	"33.00"	"60"	"Non-Handicap"	"3"	"11"	"Marquand, Tom"	"Hannon (Jnr), Richard"	"4"	"76"
"15:40:00"	"2017-09-16"	"Lingfield"	"Oh This Is Us (IRE)"	"2.25"	"3.45"	"Non-Handicap"	"3"	"5"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"21"
"16:25:00"	"2017-09-12"	"Leicester"	"War Glory (IRE)"	"3.00"	"4.1"	"Handicap"	"4"	"6"	"Moore, Ryan"	"Hannon (Jnr), Richard"	"4"	"10"
"16:15:00"	"2017-08-12"	"Newmarket (July)"	"War Glory (IRE)"	"2.50"	"3.42"	"Handicap"	"2"	"7"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"10"
"15:00:00"	"2017-08-01"	"Goodwood"	"Oh This Is Us (IRE)"	"33.00"	"53.16"	"Non-Handicap"	"11"	"13"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"42"
"15:25:00"	"2017-07-15"	"Newmarket (July)"	"Tony Curtis"	"33.00"	"55.97"	"Handicap"	"4"	"18"	"Levey, S M"	"Hannon (Jnr), Richard"	"4"	"49"
"16:25:00"	"2017-05-20"	"Newmarket (Rowley)"	"Eltezam (IRE)"	"5.00"	"7.6"	"Handicap"	"5"	"10"	"Dobbs, Pat"	"Hannon (Jnr), Richard"	"4"	"14"
"16:15:00"	"2017-05-13"	"Lingfield"	"Shaiyem (IRE)"	"2.00"	"3.2"	"Handicap"	"1"	"6"	"Dettori, L"	"Hannon (Jnr), Richard"	"4"	"16"
