RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"17:05:00"	"2026-07-30"	"Galway"	"No More Porter (IRE)"	"6.00"	"8.56"	"Handicap"	"8"	"13"	"Crosse, Nathan"	"McGuinness, Adrian"	"8"	"5"
"16:30:00"	"2026-07-30"	"Galway"	"Too Bossy For Us (IRE)"	"18.00"	"21.33"	"Handicap Hurdle"	"14"	"20"	"Walsh, M P"	"Mullins, W P"	"5"	"3"
"16:20:00"	"2026-07-30"	"Nottingham"	"Sixty Plus (IRE)"	"0.40"	"1.49"	"Handicap"	"1"	"4"	"Fallon, Cieren"	"Owen, J P"	"6"	"5"
"17:35:00"	"2026-07-29"	"Galway"	"Golden Temple (IRE)"	"5.00"	"7.2"	"Handicap Hurdle"	"2"	"19"	"Ewing, Sam"	"Meade, Noel"	"6"	"5"
"17:35:00"	"2026-07-29"	"Galway"	"Andys Flame"	"50.00"	"70"	"Handicap Hurdle"	"12"	"19"	"Fitzsimons, S J"	"McConnell, John C"	"9"	"5"
"19:15:00"	"2026-07-28"	"Galway"	"Red Hugh ODonnell (IRE)"	"12.00"	"17"	"Handicap"	"8"	"15"	"Holohan, Reese"	"Scott, Gillian"	"5"	"3"
"16:55:00"	"2026-07-28"	"Yarmouth"	"Twilight Guest"	"20.00"	"34"	"Non-Handicap"	"6"	"6"	"Burns, Harry"	"Margarson, G G"	"6"	"5"
"17:27:00"	"2026-07-25"	"Lingfield"	"Sixty Plus (IRE)"	"0.33"	"1.36"	"Handicap"	"1"	"4"	"Havlin, Robert"	"Owen, J P"	"6"	"1"
"17:05:00"	"2026-07-25"	"Gowran Park"	"Master Garvey (IRE)"	"6.00"	"7.2"	"Handicap"	"3"	"13"	"Casey, T"	"Murray, Joseph Anthony"	"6"	"3"
"13:30:00"	"2026-07-25"	"York"	"Dream Deal"	"28.00"	"69.88"	"Handicap"	"15"	"17"	"McLernon, R P"	"Easterby, T D"	"7"	"5"
"20:11:00"	"2026-07-24"	"Chepstow"	"Level Up (IRE)"	"1.88"	"2.96"	"Handicap"	"1"	"7"	"Lewis, Ashley"	"Evans, P D"	"7"	"4"
"18:46:00"	"2026-07-24"	"Kilbeggan"	"Marlpark (IRE)"	"6.00"	"7.6"	"Handicap Hurdle"	"PU"	"10"	"King, D"	"Ryan, John Patrick"	"7"	"3"
