RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"16:02:00"	"2026-05-16"	"Newmarket (Rowley)"	"Chasing Time (IRE)"	"22.00"	"34.96"	"Novices"	"1"	"5"	"Planas, Connor"	"Appleby, Charlie"	"3"	"21"
"16:02:00"	"2026-05-16"	"Newmarket (Rowley)"	"Shabab Al Ahli"	"0.36"	"1.36"	"Novices"	"2"	"5"	"Loughnane, Mr Billy"	"Appleby, Charlie"	"3"	"29"
"13:57:00"	"2026-05-15"	"Newmarket (Rowley)"	"Tales Of Wisdom (IRE)"	"2.75"	"4.6"	"Novices"	"1"	"10"	"Costello, Dougie"	"Appleby, Charlie"	"3"	"15"
"13:22:00"	"2026-05-15"	"Newmarket (Rowley)"	"Al Hudaiba"	"5.00"	"7.16"	"Novices"	"1"	"6"	"Planas, Connor"	"Appleby, Charlie"	"2"	"No Prev"
"17:20:00"	"2026-05-03"	"Newmarket (Rowley)"	"Study Of Words (IRE)"	"1.25"	"2.46"	"Handicap"	"3"	"5"	"Buick, William"	"Appleby, Charlie"	"3"	"193"
"15:35:00"	"2026-05-03"	"Newmarket (Rowley)"	"Abashiri"	"8.00"	"9.58"	"Non-Handicap"	"5"	"19"	"Buick, William"	"Appleby, Charlie"	"3"	"179"
"16:10:00"	"2026-05-02"	"Newmarket (Rowley)"	"Man Of Vision"	"2.75"	"3.89"	"Handicap"	"2"	"11"	"Buick, William"	"Appleby, Charlie"	"3"	"126"
"15:35:00"	"2026-05-02"	"Newmarket (Rowley)"	"Distant Storm"	"3.00"	"4.09"	"Non-Handicap"	"3"	"14"	"Buick, William"	"Appleby, Charlie"	"3"	"203"
"15:35:00"	"2026-05-02"	"Newmarket (Rowley)"	"Kings Trail"	"6.50"	"6.23"	"Non-Handicap"	"9"	"14"	"Doyle, James"	"Appleby, Charlie"	"3"	"35"
"14:55:00"	"2026-05-02"	"Newmarket (Rowley)"	"Beckfords Folly (IRE)"	"11.00"	"15.33"	"Non-Handicap"	"11"	"14"	"Buick, William"	"Appleby, Charlie"	"3"	"16"
"16:40:00"	"2026-05-01"	"Newmarket (Rowley)"	"Cerro Blanco"	"2.00"	"3.55"	"Non-Handicap"	"2"	"6"	"Loughnane, Mr Billy"	"Appleby, Charlie"	"3"	"17"
"16:40:00"	"2026-05-01"	"Newmarket (Rowley)"	"Maximized"	"14.00"	"16.95"	"Non-Handicap"	"5"	"6"	"Planas, Connor"	"Appleby, Charlie"	"3"	"17"
"14:55:00"	"2026-05-01"	"Newmarket (Rowley)"	"Fort Rock"	"4.50"	"5.95"	"Handicap"	"3"	"9"	"Planas, Connor"	"Appleby, Charlie"	"3"	"177"
"14:20:00"	"2026-05-01"	"Newmarket (Rowley)"	"Poseidons Warrior (IRE)"	"1.20"	"2.26"	"Non-Handicap"	"5"	"5"	"Loughnane, Mr Billy"	"Appleby, Charlie"	"3"	"16"
"16:45:00"	"2026-04-16"	"Newmarket (Rowley)"	"Maho Bay"	"1.10"	"2.25"	"Novices"	"1"	"5"	"Buick, William"	"Appleby, Charlie"	"3"	"120"
"16:10:00"	"2026-04-16"	"Newmarket (Rowley)"	"Hassaleh (IRE)"	"0.91"	"1.81"	"Maiden"	"1"	"5"	"Buick, William"	"Appleby, Charlie"	"3"	"311"
"15:35:00"	"2026-04-16"	"Newmarket (Rowley)"	"Hidden Force"	"1.10"	"2.38"	"Non-Handicap"	"3"	"5"	"Buick, William"	"Appleby, Charlie"	"3"	"50"
"15:00:00"	"2026-04-16"	"Newmarket (Rowley)"	"Beckfords Folly (IRE)"	"8.00"	"10.84"	"Non-Handicap"	"8"	"14"	"Buick, William"	"Appleby, Charlie"	"3"	"188"
"14:25:00"	"2026-04-16"	"Newmarket (Rowley)"	"Crown Knott"	"1.00"	"2.15"	"Maiden"	"6"	"10"	"Buick, William"	"Appleby, Charlie"	"3"	"No Prev"
"13:50:00"	"2026-04-16"	"Newmarket (Rowley)"	"Treanmor (IRE)"	"4.00"	"6.4"	"Handicap"	"12"	"13"	"Buick, William"	"Appleby, Charlie"	"3"	"299"
"13:50:00"	"2026-04-16"	"Newmarket (Rowley)"	"Silent Applause (IRE)"	"11.00"	"14.78"	"Handicap"	"13"	"13"	"Doyle, James"	"Appleby, Charlie"	"3"	"236"
"16:45:00"	"2026-04-15"	"Newmarket (Rowley)"	"Star Of Hope (IRE)"	"6.00"	"8.85"	"Maiden"	"7"	"8"	"Buick, William"	"Appleby, Charlie"	"3"	"No Prev"
"15:35:00"	"2026-04-15"	"Newmarket (Rowley)"	"Act Of Kindness"	"4.50"	"7"	"Non-Handicap"	"3"	"12"	"Buick, William"	"Appleby, Charlie"	"3"	"187"
"14:25:00"	"2026-04-15"	"Newmarket (Rowley)"	"Poseidons Warrior (IRE)"	"1.75"	"3.15"	"Non-Handicap"	"2"	"7"	"Buick, William"	"Appleby, Charlie"	"3"	"185"
"14:25:00"	"2026-04-14"	"Newmarket (Rowley)"	"Talk Of New York"	"0.73"	"1.79"	"Non-Handicap"	"1"	"5"	"Buick, William"	"Appleby, Charlie"	"3"	"181"
"14:25:00"	"2026-04-14"	"Newmarket (Rowley)"	"Maximized"	"4.00"	"5.7"	"Non-Handicap"	"3"	"5"	"Doyle, James"	"Appleby, Charlie"	"3"	"257"
"13:15:00"	"2026-04-14"	"Newmarket (Rowley)"	"Cerro Blanco"	"0.44"	"1.48"	"Maiden"	"1"	"8"	"Buick, William"	"Appleby, Charlie"	"3"	"No Prev"
"13:07:00"	"2025-11-01"	"Newmarket (Rowley)"	"Morning Rose"	"8.00"	"9.6"	"Non-Handicap"	"5"	"10"	"Costello, Dougie"	"Appleby, Charlie"	"2"	"23"
"12:32:00"	"2025-11-01"	"Newmarket (Rowley)"	"Dancing Flower"	"1.63"	"3.16"	"Novices"	"5"	"11"	"Moore, Toby"	"Appleby, Charlie"	"2"	"47"
"14:47:00"	"2025-10-31"	"Newmarket (Rowley)"	"Castle Rock"	"0.62"	"1.67"	"Novices"	"1"	"5"	"Moore, Toby"	"Appleby, Charlie"	"2"	"27"
"13:10:00"	"2025-10-31"	"Newmarket (Rowley)"	"Man Of Vision"	"4.00"	"6.17"	"Novices"	"5"	"15"	"Costello, Dougie"	"Appleby, Charlie"	"2"	"155"
"14:58:00"	"2025-10-22"	"Newmarket (Rowley)"	"Study Of Words (IRE)"	"0.14"	"1.18"	"Maiden"	"1"	"4"	"Buick, William"	"Appleby, Charlie"	"2"	"28"
"16:15:00"	"2025-10-11"	"Newmarket (Rowley)"	"Pacifica Pier (IRE)"	"5.00"	"5.94"	"Handicap Nursery"	"3"	"7"	"Buick, William"	"Appleby, Charlie"	"2"	"30"
"15:00:00"	"2025-10-11"	"Newmarket (Rowley)"	"Distant Storm"	"2.25"	"3.43"	"Non-Handicap"	"3"	"9"	"Buick, William"	"Appleby, Charlie"	"2"	"16"
"15:00:00"	"2025-10-11"	"Newmarket (Rowley)"	"Pacific Avenue (IRE)"	"33.00"	"44"	"Non-Handicap"	"7"	"9"	"Ryan, Rossa"	"Appleby, Charlie"	"2"	"14"
"15:00:00"	"2025-10-11"	"Newmarket (Rowley)"	"Saba Desert"	"33.00"	"49.26"	"Non-Handicap"	"9"	"9"	"Loughnane, Mr Billy"	"Appleby, Charlie"	"2"	"27"
"14:25:00"	"2025-10-11"	"Newmarket (Rowley)"	"Al Zanati"	"3.00"	"4.28"	"Non-Handicap"	"2"	"7"	"Buick, William"	"Appleby, Charlie"	"2"	"64"
"13:50:00"	"2025-10-11"	"Newmarket (Rowley)"	"Del Maro (GER)"	"14.00"	"16.49"	"Non-Handicap"	"3"	"8"	"Loughnane, Mr Billy"	"Appleby, Charlie"	"2"	"16"
"13:50:00"	"2025-10-11"	"Newmarket (Rowley)"	"Look To The Stars (IRE)"	"6.00"	"7.55"	"Non-Handicap"	"6"	"8"	"Buick, William"	"Appleby, Charlie"	"2"	"22"
"13:15:00"	"2025-10-11"	"Newmarket (Rowley)"	"First Conquest"	"4.00"	"5.34"	"Non-Handicap"	"3"	"6"	"Buick, William"	"Appleby, Charlie"	"4"	"63"
"16:45:00"	"2025-10-10"	"Newmarket (Rowley)"	"Victory Queen"	"7.50"	"9.5"	"Non-Handicap"	"5"	"9"	"Buick, William"	"Appleby, Charlie"	"3"	"77"
"16:45:00"	"2025-10-10"	"Newmarket (Rowley)"	"Spirited Style"	"7.00"	"9.67"	"Non-Handicap"	"8"	"9"	"Loughnane, Mr Billy"	"Appleby, Charlie"	"3"	"14"
"16:10:00"	"2025-10-10"	"Newmarket (Rowley)"	"Act Of Kindness"	"0.80"	"1.82"	"Maiden"	"1"	"11"	"Buick, William"	"Appleby, Charlie"	"2"	"13"
"14:57:00"	"2025-10-10"	"Newmarket (Rowley)"	"Dance To The Music"	"7.50"	"9.96"	"Non-Handicap"	"7"	"10"	"Buick, William"	"Appleby, Charlie"	"2"	"62"
"13:15:00"	"2025-10-10"	"Newmarket (Rowley)"	"Beckfords Folly (IRE)"	"16.00"	"17.85"	"Non-Handicap"	"1"	"10"	"Buick, William"	"Appleby, Charlie"	"2"	"34"
"16:25:00"	"2025-10-04"	"Newmarket (Rowley)"	"Castle Rock"	"0.44"	"1.52"	"Maiden"	"1"	"5"	"Buick, William"	"Appleby, Charlie"	"2"	"14"
"15:15:00"	"2025-10-04"	"Newmarket (Rowley)"	"Noble Journey"	"5.00"	"7.53"	"Maiden"	"4"	"7"	"Buick, William"	"Appleby, Charlie"	"2"	"No Prev"
"14:40:00"	"2025-10-04"	"Newmarket (Rowley)"	"Cinderellas Dream"	"1.38"	"2.6"	"Non-Handicap"	"3"	"9"	"Buick, William"	"Appleby, Charlie"	"4"	"85"
"17:55:00"	"2025-09-27"	"Newmarket (Rowley)"	"Indian Springs (IRE)"	"1.75"	"2.98"	"Handicap"	"4"	"13"	"Buick, William"	"Appleby, Charlie"	"3"	"85"
"17:20:00"	"2025-09-27"	"Newmarket (Rowley)"	"Ottoman Empress"	"1.88"	"3.14"	"Maiden"	"2"	"8"	"Buick, William"	"Appleby, Charlie"	"2"	"No Prev"
"16:45:00"	"2025-09-27"	"Newmarket (Rowley)"	"Act Of Kindness"	"1.20"	"2.41"	"Maiden"	"3"	"10"	"Buick, William"	"Appleby, Charlie"	"2"	"No Prev"
