RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"18:32:00"	"2026-07-10"	"Kilbeggan"	"Solitary Man (IRE)"	"14.00"	"19.5"	"Handicap Chase"	"1"	"14"	"Kelly, Aidan"	"Bolger, E"	"8"	"39"
"19:20:00"	"2026-05-30"	"Stratford"	"Ivane (FR)"	"2.50"	"3.62"	"Handicap Chase"	"4"	"5"	"Burke, Jonathan"	"Owen, J P"	"8"	"100"
"16:37:00"	"2026-04-12"	"Down Royal"	"Aclass (IRE)"	"6.00"	"7.45"	"Handicap Chase"	"7"	"10"	"OKeeffe, Darragh"	"Flavin, J P"	"8"	"101"
"16:40:00"	"2026-03-13"	"Cheltenham"	"Cons Roc (IRE)"	"9.00"	"14.16"	"Hunters Chase"	"6"	"23"	"Allen, Mr D"	"OBrien, Terence"	"9"	"77"
"15:30:00"	"2026-01-22"	"Gowran Park"	"Yeah Man (IRE)"	"11.00"	"15.66"	"Handicap Chase"	"PU"	"18"	"Donoghue, K M"	"Cromwell, Gavin Patrick"	"9"	"25"
"14:50:00"	"2025-12-15"	"Naas"	"River Vale (IRE)"	"6.50"	"10.5"	"Handicap Hurdle"	"1"	"16"	"Burke-Ott, Mr L"	"Winters, Michael"	"9"	"8"
"15:20:00"	"2025-11-02"	"Cork"	"Smallcraftwarning (IRE)"	"5.50"	"8.6"	"Handicap Chase"	"4"	"13"	"King, D"	"Ryan, John Patrick"	"8"	"3"
"15:20:00"	"2025-11-02"	"Cork"	"Bal Kauto (FR)"	"4.50"	"6.8"	"Handicap Chase"	"6"	"13"	"Gilligan, D J"	"Queally, Declan"	"8"	"7"
"15:37:00"	"2025-10-29"	"Fakenham"	"Gata Ban (IRE)"	"3.50"	"5.02"	"Handicap Chase"	"2"	"6"	"McLernon, R P"	"Mulholland, N P"	"8"	"187"
"16:50:00"	"2025-07-18"	"Killarney"	"Smallcraftwarning (IRE)"	"3.33"	"4.56"	"Handicap Chase"	"1"	"11"	"King, D"	"Ryan, John Patrick"	"8"	"5"
"16:20:00"	"2025-07-06"	"Market Rasen"	"Yccs Portocervo (FR)"	"4.00"	"5.7"	"Handicap Chase"	"PU"	"8"	"Twiston-Davies, Sam"	"Newland, Dr R D P"	"10"	"39"
"15:18:00"	"2025-07-01"	"Tipperary"	"Inchidaly Copper (IRE)"	"8.00"	"11.71"	"Handicap Chase"	"PU"	"13"	"Shinnick, J P"	"Ott, Alexander"	"9"	"31"
"14:18:00"	"2025-07-01"	"Tipperary"	"Ceanndana (IRE)"	"12.00"	"18"	"Handicap Chase"	"3"	"15"	"Flanagan, S W"	"OSullivan, Ross"	"8"	"249"
"19:20:00"	"2025-06-10"	"Fontwell"	"Man Of The Sea (IRE)"	"1.88"	"3.06"	"Handicap Hurdle"	"2"	"6"	"McLernon, R P"	"Mulholland, N P"	"9"	"16"
"16:50:00"	"2025-06-02"	"Listowel"	"Ontheropes (IRE)"	"6.50"	"10"	"Hunters Chase"	"3"	"15"	"Mullins, Mr P W"	"Mullins, Thomas"	"11"	"10"
"17:40:00"	"2025-04-21"	"Fairyhouse"	"Rolly Bowley Boy (IRE)"	"12.00"	"16"	"Handicap Chase"	"PU"	"13"	"Torrens, Simon"	"Rothwell, P J"	"8"	"94"
"16:05:00"	"2025-04-03"	"Aintree"	"Percussion"	"66.00"	"229.18"	"Hunters Chase"	"15"	"29"	"Cherriman, Mr D"	"Morgan, Miss Laura"	"10"	"31"
"16:05:00"	"2025-04-03"	"Aintree"	"Go Go Geronimo"	"150.00"	"621.76"	"Hunters Chase"	"18"	"29"	"Chatfeild-Roberts, Mr T"	"Morgan, Miss Kelly"	"10"	"20"
"13:50:00"	"2025-03-22"	"Kelso"	"Sacre Coeur (FR)"	"10.00"	"13.79"	"Hurdle"	"PU"	"6"	"Durrell, Mr T"	"Skelton, Daniel"	"9"	"23"
"14:45:00"	"2024-11-29"	"Thurles"	"Delias Pet (IRE)"	"3.50"	"5.55"	"Handicap Hurdle"	"3"	"7"	"King, D"	"Doyle, Timothy"	"9"	"8"
"17:05:00"	"2024-09-18"	"Kelso"	"Nayati (FR)"	"5.50"	"7.29"	"Handicap Hurdle"	"F"	"8"	"Hughes, Brian"	"McCain Jnr, D"	"10"	"25"
"16:35:00"	"2024-09-13"	"Ballinrobe"	"Tullyveery Lad (IRE)"	"11.00"	"17.45"	"Handicap Hurdle"	"UR"	"16"	"Meyler, D"	"Cody, Patrick"	"8"	"26"
"16:10:00"	"2024-03-15"	"Cheltenham"	"Ramillies (IRE)"	"80.00"	"110"	"Hunters Chase"	"PU"	"12"	"James, Mr R"	"Christie, D M"	"9"	"6"
"16:00:00"	"2024-02-24"	"Newcastle"	"Baron De Midleton (IRE)"	"9.00"	"15.3"	"Handicap Hurdle"	"3"	"7"	"Brooke, Henry"	"Ellison, B"	"11"	"24"
"16:30:00"	"2024-02-13"	"Ayr"	"Camp Belan (IRE)"	"8.50"	"11"	"Handicap Chase"	"1"	"9"	"Fox, Derek R"	"Russell, Miss Lucinda V"	"8"	"46"
"14:40:00"	"2024-01-09"	"Market Rasen"	"Scene One (IRE)"	"3.50"	"5.1"	"Handicap Chase"	"1"	"6"	"Cannon, Tom J"	"Wadham, Mrs L"	"8"	"21"
"14:45:00"	"2023-11-11"	"Aintree"	"Half Shot (IRE)"	"6.00"	"8.9"	"Handicap Chase"	"UR"	"10"	"Quinlan, Sean"	"Jardine, I"	"9"	"34"
"14:05:00"	"2023-09-22"	"Listowel"	"Glan (IRE)"	"25.00"	"40"	"Handicap Hurdle"	"13"	"17"	"Gainford, Mr J C"	"Elliott, Gordon"	"8"	"50"
"19:10:00"	"2023-08-23"	"Sligo"	"Arctic Ambition (IRE)"	"2.75"	"4.6"	"Handicap Hurdle"	"3"	"8"	"Kennedy, J W"	"Elliott, Gordon"	"8"	"11"
"16:30:00"	"2023-08-19"	"Perth"	"Castletown (FR)"	"2.00"	"3.25"	"Handicap Chase"	"3"	"7"	"Mulqueen, S"	"Russell, Miss Lucinda V"	"11"	"17"
"15:12:00"	"2023-07-02"	"Uttoxeter"	"The Abbey (IRE)"	"11.00"	"14.06"	"Handicap Chase"	"9"	"16"	"Bowen, Sean P"	"Elliott, Gordon"	"10"	"20"
