RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Age	DaysSinceRun	
"17:10:00"	"2025-05-01"	"Redcar"	"Springbok"	"3.33"	"4.71"	"Handicap"	"5"	"8"	"Orr, Oisin"	"Fahey, R A"	"3"	"18"
"15:00:00"	"2025-04-28"	"Ayr"	"Society Of Honor (IRE)"	"2.25"	"3.78"	"Maiden"	"3"	"5"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"16:15:00"	"2025-04-17"	"Ripon"	"Have Secret (IRE)"	"2.75"	"4.21"	"Handicap"	"1"	"9"	"Garritty, Billy"	"Fahey, R A"	"5"	"18"
"18:40:00"	"2025-04-12"	"Thirsk"	"Musical Touch (IRE)"	"2.75"	"4.24"	"Handicap"	"1"	"10"	"Orr, Oisin"	"Fahey, R A"	"4"	"170"
"16:45:00"	"2025-03-29"	"Doncaster"	"Life On The Rocks (IRE)"	"3.33"	"5"	"Handicap"	"2"	"19"	"Fentiman, Warren"	"Fahey, R A"	"7"	"4"
"14:05:00"	"2024-11-06"	"Musselburgh"	"Silent Move"	"1.88"	"3.16"	"Handicap"	"1"	"4"	"Orr, Oisin"	"Fahey, R A"	"3"	"165"
"17:35:00"	"2024-10-24"	"Nottingham"	"The Bobster (IRE)"	"2.75"	"4.07"	"Handicap"	"6"	"6"	"McSweeney, O"	"Fahey, R A"	"3"	"19"
"13:45:00"	"2024-10-02"	"Musselburgh"	"Stormy Impact"	"0.36"	"1.43"	"Novices"	"1"	"3"	"Orr, Oisin"	"Fahey, R A"	"2"	"11"
"15:42:00"	"2024-09-19"	"Ayr"	"Have Secret (IRE)"	"2.75"	"4.02"	"Handicap"	"5"	"11"	"Orr, Oisin"	"Fahey, R A"	"4"	"5"
"17:00:00"	"2024-08-31"	"Chester"	"Garfield Shadow (IRE)"	"3.50"	"5.2"	"Handicap"	"3"	"10"	"Orr, Oisin"	"Fahey, R A"	"3"	"35"
"15:45:00"	"2024-08-18"	"Pontefract"	"Powerful Glory (IRE)"	"0.91"	"2.11"	"Maiden"	"1"	"7"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"16:50:00"	"2024-08-14"	"Beverley"	"Glistening Nights (FR)"	"2.25"	"3.45"	"Handicap"	"1"	"8"	"Orr, Oisin"	"Fahey, R A"	"3"	"20"
"14:40:00"	"2024-08-11"	"Ripon"	"Mearall (IRE)"	"1.38"	"2.62"	"Novices"	"1"	"7"	"Orr, Oisin"	"Fahey, R A"	"2"	"No Prev"
"16:00:00"	"2024-08-05"	"Ripon"	"International Girl (IRE)"	"2.00"	"3.15"	"Handicap"	"4"	"6"	"Orr, Oisin"	"Fahey, R A"	"6"	"9"
"16:35:00"	"2024-08-03"	"Doncaster"	"The Ridler"	"3.00"	"4.22"	"Handicap"	"2"	"8"	"Murtagh, Connor"	"Fahey, R A"	"4"	"14"
"19:45:00"	"2024-07-30"	"Galway"	"Reidh (IRE)"	"3.33"	"4.98"	"Handicap"	"1"	"16"	"Orr, Oisin"	"Fahey, R A"	"4"	"36"
