sys_key,name,account,bets,pl_bf,roi_pct
noggin3:58,NEW TRAINER 2.01-30.00,noggin3,1503,128.00199999999998,8.52
noggin:84,ss HDGRdiff IRE horses SPRING all BSPs,noggin,684,58.17899999999998,8.51
noggin5:51,SS Aug Sep 2yo3yo4yo pt1 6.01 - 1000.00,noggin5,340,28.37299999999999,8.34
noggin5:91,NH FMs 61-240DSLR 30.00-300.00,noggin5,316,25.37100000000001,8.03
noggin4:51,0 RUNS IRE FR v2 12.01 - 300.00,noggin4,5386,432.08949999999993,8.02
noggin2:33,EvansPD Chp Blnkers,noggin2,120,9.629499999999997,8.02
noggin4:50,SS HDGR diff 3.50 - 80.01,noggin4,1248,97.98999999999998,7.85
noggin2:77,MidgleyPT 5F 2021,noggin2,391,30.41899999999999,7.78
noggin3:65,TR ONE HORSE at TRACK 12.01 - 65.00,noggin3,4054,307.79049999999995,7.59
noggin4:58,SS OBRIEN AIDEN IRELAND,noggin4,141,10.652999999999997,7.56
noggin2:6,SS D & G winners v1,noggin2,132,9.77,7.4
noggin:13,4YO FMs JUNE,noggin,183,13.466500000000002,7.36
noggin:60,1m2f - 2m.5f hood blinkers,noggin,1891,134.84399999999997,7.13
noggin3:93,AW NEW TRAINER 9.00 - 300.00,noggin3,850,54.900999999999996,6.46
noggin5:82,Hamil 6f,noggin5,106,6.7879999999999985,6.4
noggin2:4,NH HDGRdiff 10.01 - 400.00,noggin2,1711,108.11900000000001,6.32
noggin3:45,SS 7YO 1 RUN SEASON 1m - 2m4f,noggin3,210,13.242999999999991,6.31
noggin4:32,10 plus higher win OR EV - 29,noggin4,5063,312.8984999999999,6.18
noggin4:53,BLINKERS 5.01 -1000.00,noggin4,4735,285.77849999999995,6.04
noggin2:31,D&G 7.01 - 300.00,noggin2,649,38.648499999999984,5.96
noggin:6,4YO HDGR FT,noggin,290,16.352499999999992,5.64
noggin3:83,SS STRs 10 DSLR or less V1,noggin3,1314,70.29349999999997,5.35
noggin3:51,351 D SOF M,noggin3,10000,527.5139999999998,5.28
noggin3:92,UK BLINKERS 10.01 - 150.00,noggin3,583,30.810000000000006,5.28
noggin4:42,IRE NH DSLR and 2ndLR 5.01 -1000.00,noggin4,1500,77.78999999999998,5.19
noggin4:10,HDGR visor 5YO 9.01 - 100.00,noggin4,570,29.406499999999994,5.16
noggin4:8,HDGRdiff Class 6 14.01-80.00,noggin4,3700,190.61099999999996,5.15
noggin:27,SS MM DUNDALK MM 2.01 - 100.00,noggin,398,20.40199999999998,5.13
noggin:79,NH HDGRDiff 6.01 - 1000.00 CHP and NONE,noggin,1629,81.79599999999998,5.02
noggin4:59,NH CHP LTO v3 2.01 - 1000.00,noggin4,4119,200.35499999999996,4.86
noggin3:31,TURF STRAIGHTS GB WEEK 16 - 24 9.01 - 1000.00,noggin3,1956,94.41599999999997,4.83
noggin:47,FIRST RUN NEW TRAINER ALL BSPs,noggin,1276,60.76449999999998,4.76
noggin4:57,AW CHP LTO 2 to 80,noggin4,2194,103.70949999999996,4.73
noggin4:44,SS AW TURF LTO 0lb Claim LTO all BSPs,noggin4,108,4.676500000000001,4.33
noggin4:62,NH CHP LTO,noggin4,9363,347.3599999999998,3.71
noggin:24,MM IRISH NH 9.01 - 200.00,noggin,1848,66.41149999999993,3.59
noggin3:98,FMs FLAT JUNE 5.01 - 80.00,noggin3,3053,109.53099999999992,3.59
noggin4:36,3YO first run of season,noggin4,984,22.6085,2.3
noggin4:11,SS HDGR DIFF NH IRE 8yo All BSPs,noggin4,496,10.994499999999995,2.22
noggin5:90,NEW TR FT 3.50 - 500.00,noggin5,1345,29.914999999999985,2.22
noggin:100,DD CLASS DOWN v1,noggin,540,11.18099999999998,2.07
noggin4:38,NH 0 RUNS 6.01 - 270.00,noggin4,4801,98.99449999999989,2.06
noggin4:26,0 RUNS IRE FR 12.01 - 80.00,noggin4,6076,120.46999999999994,1.98
noggin:12,NH D&G All BSPs,noggin,852,16.79749999999999,1.97
noggin4:13,NH CHP LTO v3,noggin4,5097,96.97699999999989,1.9
noggin4:60,SS OBRIEN AIDEN main tracks,noggin4,112,2.0074999999999994,1.79
noggin2:93,2012 Williams I 2021,noggin2,826,13.174999999999997,1.6
noggin3:74,SS 4YO Gelding 5f-7f 16-25 DSLR,noggin3,1182,18.060999999999947,1.53
noggin5:10,JClaim v LTO 6.01 - 150.00,noggin5,6125,86.18399999999986,1.41
noggin:74,EBOR GB 8.01 PLUS,noggin,122,1.5579999999999998,1.28
noggin5:39,HDGR DIFF v2 14.01 - 80.00,noggin5,4550,50.42599999999991,1.11
noggin:50,4YO STRAIGHTS 0 DIST WINS,noggin,1318,12.575499999999977,0.95
noggin4:41,DSLR and 2ndLR 12.0 to 35.0 BSP,noggin4,2995,23.192999999999966,0.77
noggin2:70,SS MM CLASS 1-3 ClaimJock 14.01 - 65.00,noggin2,591,4.127999999999991,0.7
noggin4:54,APPLEBY M 2YO-4YOs,noggin4,355,1.8659999999999934,0.53
noggin:25,SS MM NH 6-36 RUNS 12.01 - 300.00,noggin,1532,6.1329999999999885,0.4
noggin3:53,53 6YO-7YO LL 5F 5.5F,noggin3,467,1.4464999999999897,0.31
noggin:98,MM IRISH FLAT 6.01 -200.00 HDGR max 40.00,noggin,1042,-0.6835000000000289,-0.07
noggin:5,2021 7YOs BASE 2021,noggin,501,-0.977500000000024,-0.2
noggin2:51,SS NH 1 RUN 8.01 - 50.00,noggin2,502,-1.8040000000000003,-0.36
noggin2:69,HDGRdiff 5YO-8YO 10.5-65.00,noggin2,1685,-6.474000000000009,-0.38
noggin3:70,SEVENS,noggin3,3124,-12.928000000000079,-0.41
noggin2:7,IRE HDGRdiff,noggin2,2955,-14.999000000000038,-0.51
noggin2:38,Gosden JHM Part 3,noggin2,560,-4.570500000000003,-0.82
noggin:97,MM NH 10.01 - 80.00,noggin,4181,-34.88250000000009,-0.83
noggin4:97,0 RUNS HDGR NH COMP,noggin4,10000,-83.94350000000017,-0.84
noggin4:96,C Placed NH v2 5.01 - 1000.00,noggin4,7928,-75.8185000000002,-0.96
noggin2:30,Gosden 1m - 1m6f,noggin2,887,-19.40900000000002,-2.19
noggin4:21,SS Bath HDGRdiff,noggin4,307,-6.7915000000000125,-2.21
noggin2:89,SS WINDOP FTO and WINDOP1RUN 10.01-1000.00,noggin2,738,-16.646000000000004,-2.26
noggin4:14,SS NH 8YO HDGRdiff 2.01 - 40.00,noggin4,278,-6.735000000000005,-2.42
noggin4:67,SS 3 Down CHP 7.01 - 200.00,noggin4,573,-15.759500000000013,-2.75
noggin4:37,1 down VISOR 10.01 - 65.00,noggin4,3352,-94.73800000000004,-2.83
noggin2:85,Bin Suroor 2YO TURF,noggin2,139,-4.398000000000003,-3.16
noggin:29,7YO FLAT 0 or 1 runs season,noggin,483,-15.583499999999995,-3.23
noggin:90,MM AW SOUTHWELL 7.01 - 50.00 MM,noggin,456,-14.788500000000013,-3.24
noggin4:85,SS week 28-38 7.01 - 80.00,noggin4,351,-11.533500000000018,-3.29
noggin4:100,SEP 1 - 60 DSLR 2YO 3YO,noggin4,668,-22.575500000000012,-3.38
noggin:96,IRISH FLAT FM v1 11.01 - 200.00,noggin,518,-22.083000000000027,-4.26
