RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	RaceClass	DaysSinceRun	LR_Position	LR_NumberRunners	
"17:40:00"	"2026-07-29"	"Goodwood"	"Hawksbill"	"9.00"	"11.17"	"Handicap"	"5"	"20"	"Wood, George"	"Spencer, Richard"	"7f "	"3"	"34"	"7"	"9"
"17:40:00"	"2026-07-29"	"Goodwood"	"Morte Point"	"22.00"	"38"	"Handicap"	"14"	"20"	"Hart, Jason"	"Muir, W R"	"7f "	"3"	"19"	"6"	"17"
"17:40:00"	"2026-07-29"	"Goodwood"	"Pellitory"	"22.00"	"31.59"	"Handicap"	"16"	"20"	"Tudhope, Daniel"	"OMeara, D"	"7f "	"3"	"19"	"2"	"17"
"19:15:00"	"2026-07-28"	"Galway"	"Itsneverjustone"	"9.00"	"12.38"	"Handicap"	"14"	"15"	"McDonogh, D P"	"Loughnane, David"	"7f "	"0"	"44"	"6"	"7"
"14:55:00"	"2026-07-25"	"Ascot"	"Mezcala"	"4.50"	"7.83"	"Handicap"	"12"	"16"	"Bass, George"	"Channon, Jack"	"7f "	"2"	"37"	"1"	"28"
"17:10:00"	"2026-07-11"	"Newmarket (July)"	"Righthere Rightnow (FR)"	"8.50"	"14.73"	"Handicap"	"11"	"11"	"Osborne, Saffie"	"Spencer, Richard"	"7f "	"3"	"26"	"3"	"12"
"15:25:00"	"2026-07-11"	"Newmarket (July)"	"Elarak"	"6.50"	"8.72"	"Handicap"	"3"	"13"	"Loughnane, Mr Billy"	"Hills, Charles"	"7f "	"2"	"23"	"2"	"28"
"14:10:00"	"2026-07-10"	"York"	"Angel Hunter"	"9.00"	"12"	"Handicap"	"4"	"17"	"Leavy, Mr Joe"	"Hannon (Jnr), Richard"	"7f "	"3"	"21"	"6"	"13"
"14:10:00"	"2026-07-10"	"York"	"Milford"	"20.00"	"27.39"	"Handicap"	"9"	"17"	"Bishop, Charles"	"Camacho, Miss J A"	"7f "	"3"	"27"	"10"	"19"
"17:05:00"	"2026-07-09"	"Doncaster"	"Lord Capulet (IRE)"	"20.00"	"30"	"Handicap"	"6"	"10"	"Moore, Toby"	"Ryan, K A"	"7f "	"4"	"27"	"3"	"11"
"16:55:00"	"2026-07-09"	"Carlisle"	"Judicature"	"10.00"	"15.75"	"Handicap"	"7"	"10"	"Eaves, Tom"	"Smith, Mrs S J"	"7f "	"5"	"21"	"7"	"10"
"16:25:00"	"2026-07-04"	"Newmarket (July)"	"One Smack Mac (IRE)"	"125.00"	"190"	"Handicap"	"9"	"10"	"Carver, William"	"Osborne, J A"	"7f "	"2"	"17"	"28"	"28"
"20:00:00"	"2026-07-02"	"Newbury"	"Slipper Time"	"14.00"	"21"	"Handicap"	"8"	"14"	"Currie, Nicola"	"Candy, H"	"7f "	"4"	"26"	"5"	"10"
"20:00:00"	"2026-07-02"	"Newbury"	"Melvin Udall (IRE)"	"14.00"	"22"	"Handicap"	"12"	"14"	"Egan, David"	"Harris, Miss G"	"7f "	"4"	"43"	"7"	"11"
"20:00:00"	"2026-07-02"	"Newbury"	"Herculeus"	"11.00"	"14.5"	"Handicap"	"13"	"14"	"Edmunds, Lewis"	"Muir, W R"	"7f "	"4"	"31"	"5"	"12"
"20:30:00"	"2026-06-19"	"Down Royal"	"Toy Soldier (IRE)"	"5.00"	"7.4"	"Handicap"	"2"	"11"	"Roche, L F"	"Ahern, Maurice"	"7f "	"0"	"38"	"4"	"15"
"17:55:00"	"2026-06-19"	"Newmarket (July)"	"Dapper Guest (IRE)"	"10.00"	"12.5"	"Handicap"	"4"	"10"	"Egan, John"	"Margarson, G G"	"7f "	"4"	"22"	"6"	"7"
"17:55:00"	"2026-06-19"	"Newmarket (July)"	"Stenmark (IRE)"	"6.50"	"8.67"	"Handicap"	"8"	"10"	"Carson, William"	"Arnolda, Gihan"	"7f "	"4"	"22"	"3"	"7"
"18:10:00"	"2026-06-18"	"Ascot"	"Mezcala"	"4.50"	"7.51"	"Handicap"	"1"	"28"	"Marquand, Tom"	"Channon, Jack"	"7f "	"2"	"33"	"3"	"15"
"18:10:00"	"2026-06-18"	"Ascot"	"Stratusnine (IRE)"	"50.00"	"70"	"Handicap"	"8"	"28"	"Shoemark, Kieran"	"Palmer, Hugo"	"7f "	"2"	"26"	"2"	"16"
"18:10:00"	"2026-06-18"	"Ascot"	"Defence Minister"	"28.00"	"44"	"Handicap"	"20"	"28"	"McDonald, James"	"Jehani, H Al"	"7f "	"2"	"40"	"17"	"28"
"18:10:00"	"2026-06-18"	"Ascot"	"Pellitory"	"50.00"	"86.6"	"Handicap"	"26"	"28"	"Tudhope, Daniel"	"OMeara, D"	"7f "	"2"	"40"	"16"	"28"
"18:10:00"	"2026-06-18"	"Ascot"	"So Darn Hot"	"50.00"	"77.68"	"Handicap"	"28"	"28"	"Lewis, Ashley"	"Walker, Ed"	"7f "	"2"	"40"	"7"	"28"
