RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	RaceClass	DaysSinceRun	LR_Position	LR_NumberRunners	
"16:50:00"	"2019-03-15"	"Cheltenham"	"Gino Trail (IRE)"	"14.00"	"16"	"Handicap Chase"	"PU"	"19"	"Johnson, Richard"	"Lee, Miss Kerry"	"2m.5f "	"1"	"27"	"2"	"5"
"14:10:00"	"2019-03-15"	"Cheltenham"	"We Have A Dream (FR)"	"14.00"	"16.51"	"Handicap Hurdle"	"2"	"24"	"Jacob, Daryl"	"Henderson, N J"	"2m1f "	"1"	"29"	"1"	"4"
"14:10:00"	"2019-03-15"	"Cheltenham"	"Countister (FR)"	"18.00"	"33.99"	"Handicap Hurdle"	"3"	"24"	"Geraghty, B J"	"Henderson, N J"	"2m1f "	"1"	"365"	"5"	"14"
"14:10:00"	"2019-03-15"	"Cheltenham"	"Sternrubin (GER)"	"25.00"	"31.28"	"Handicap Hurdle"	"6"	"24"	"Nolan, Michael G"	"Hobbs, P J / White, J"	"2m1f "	"1"	"24"	"2"	"14"
"14:10:00"	"2019-03-15"	"Cheltenham"	"Monsieur Lecoq (FR)"	"6.50"	"9.2"	"Handicap Hurdle"	"10"	"24"	"Kelly, Lizzie"	"Williams, Mrs Jane"	"2m1f "	"1"	"6"	"2"	"13"
"14:10:00"	"2019-03-15"	"Cheltenham"	"Capitaine (FR)"	"12.00"	"18.46"	"Handicap Hurdle"	"17"	"24"	"Cobden, Harry"	"Nicholls, P F"	"2m1f "	"1"	"24"	"1"	"14"
"14:10:00"	"2019-03-15"	"Cheltenham"	"Storm Rising (IRE)"	"33.00"	"47.59"	"Handicap Hurdle"	"18"	"24"	"Hammond, Charlie"	"Newland, Dr R D P"	"2m1f "	"1"	"6"	"4"	"13"
"14:10:00"	"2019-03-15"	"Cheltenham"	"Crooks Peak"	"8.00"	"10.5"	"Handicap Hurdle"	"20"	"24"	"Johnson, Richard"	"Hobbs, P J / White, J"	"2m1f "	"1"	"13"	"1"	"11"
"17:30:00"	"2019-03-14"	"Cheltenham"	"Any Second Now (IRE)"	"6.00"	"8.8"	"Handicap Chase"	"1"	"23"	"OConnor, Derek"	"Walsh, T M"	"3m2.5f "	"2"	"25"	"3"	"6"
"17:30:00"	"2019-03-14"	"Cheltenham"	"Measureofmydreams (IRE)"	"3.00"	"4.7"	"Handicap Chase"	"8"	"23"	"Codd, Mr J J"	"Elliott, Gordon"	"3m2.5f "	"2"	"29"	"3"	"5"
"17:30:00"	"2019-03-14"	"Cheltenham"	"Ah Littleluck (IRE)"	"50.00"	"116.24"	"Handicap Chase"	"11"	"23"	"McParlan, Mr N"	"Gibney, Thomas"	"3m2.5f "	"2"	"26"	"UR"	"15"
"17:30:00"	"2019-03-14"	"Cheltenham"	"Uhlan Bute (FR)"	"50.00"	"93.24"	"Handicap Chase"	"16"	"23"	"Turner, Miss L M"	"Williams, Miss Venetia"	"3m2.5f "	"2"	"14"	"4"	"6"
"17:30:00"	"2019-03-14"	"Cheltenham"	"Drumconnor Lad (IRE)"	"100.00"	"362.59"	"Handicap Chase"	"F"	"23"	"Barry, Mr J C"	"Keatley, Adrian Paul"	"3m2.5f "	"2"	"22"	"5"	"13"
"16:10:00"	"2019-03-14"	"Cheltenham"	"Eamon An Cnoic (IRE)"	"10.00"	"13"	"Handicap Chase"	"4"	"22"	"Scudamore, Tom"	"Pipe, D E"	"2m5f "	"1"	"19"	"1"	"8"
"16:10:00"	"2019-03-14"	"Cheltenham"	"Azzerti (FR)"	"20.00"	"39.88"	"Handicap Chase"	"7"	"22"	"Hutchinson, Wayne"	"King, A"	"2m5f "	"1"	"22"	"1"	"3"
"16:10:00"	"2019-03-14"	"Cheltenham"	"Doitforthevillage (IRE)"	"16.00"	"19.45"	"Handicap Chase"	"11"	"22"	"Brennan, P J"	"Henderson, P"	"2m5f "	"1"	"20"	"3"	"8"
"16:10:00"	"2019-03-14"	"Cheltenham"	"Valseur Lido (FR)"	"33.00"	"42.92"	"Handicap Chase"	"14"	"22"	"Blackmore, Rachael"	"Bromhead, Henry De"	"2m5f "	"1"	"19"	"3"	"6"
"14:10:00"	"2019-03-14"	"Cheltenham"	"Tobefair"	"40.00"	"80"	"Handicap Hurdle"	"2"	"24"	"Bellamy, Tom"	"Hamer, Mrs D A"	"3m "	"1"	"19"	"2"	"11"
"14:10:00"	"2019-03-14"	"Cheltenham"	"A Toi Phil (FR)"	"20.00"	"24.71"	"Handicap Hurdle"	"5"	"24"	"Kennedy, J W"	"Elliott, Gordon"	"3m "	"1"	"22"	"4"	"13"
"14:10:00"	"2019-03-14"	"Cheltenham"	"Flemcara (IRE)"	"14.00"	"16.06"	"Handicap Hurdle"	"10"	"24"	"Coleman, A"	"Lavelle, Miss E C"	"3m "	"1"	"20"	"1"	"13"
"14:10:00"	"2019-03-14"	"Cheltenham"	"Samburu Shujaa (FR)"	"8.50"	"12.01"	"Handicap Hurdle"	"12"	"24"	"Johnson, Richard"	"Hobbs, P J / White, J"	"3m "	"1"	"19"	"1"	"11"
"14:10:00"	"2019-03-14"	"Cheltenham"	"Oh Land Abloom (IRE)"	"66.00"	"335.42"	"Handicap Hurdle"	"13"	"24"	"Frost, Bryony"	"King, N B"	"3m "	"1"	"17"	"1"	"8"
"14:10:00"	"2019-03-14"	"Cheltenham"	"Boyhood (IRE)"	"25.00"	"34"	"Handicap Hurdle"	"15"	"24"	"Brennan, P J"	"George, T R"	"3m "	"1"	"20"	"3"	"13"
"14:10:00"	"2019-03-14"	"Cheltenham"	"Abolitionist (IRE)"	"20.00"	"24.71"	"Handicap Hurdle"	"PU"	"24"	"Twiston-Davies, Sam"	"Newland, Dr R D P"	"3m "	"1"	"12"	"5"	"11"
"14:10:00"	"2019-03-14"	"Cheltenham"	"Culture De Sivola (FR)"	"40.00"	"90"	"Handicap Hurdle"	"PU"	"24"	"Kelly, Lizzie"	"Williams, Nick"	"3m "	"1"	"20"	"5"	"13"
"16:50:00"	"2019-03-13"	"Cheltenham"	"Praeceps (IRE)"	"16.00"	"20.37"	"Handicap Hurdle"	"6"	"21"	"Hutchinson, Wayne"	"King, A"	"2m.5f "	"1"	"18"	"3"	"12"
"16:50:00"	"2019-03-13"	"Cheltenham"	"Star Max (GER)"	"8.00"	"10.5"	"Handicap Hurdle"	"11"	"21"	"Blackmore, Rachael"	"OBrien, Joseph Patrick"	"2m.5f "	"1"	"25"	"1"	"20"
"16:50:00"	"2019-03-13"	"Cheltenham"	"Cracker Factory"	"50.00"	"120"	"Handicap Hurdle"	"13"	"21"	"Twiston-Davies, Sam"	"King, A"	"2m.5f "	"1"	"19"	"10"	"13"
"16:50:00"	"2019-03-13"	"Cheltenham"	"Torpillo (FR)"	"14.00"	"20"	"Handicap Hurdle"	"15"	"21"	"Jacob, Daryl"	"Twiston-Davies, N A"	"2m.5f "	"1"	"25"	"4"	"4"
"14:50:00"	"2019-03-13"	"Cheltenham"	"Brio Conti (FR)"	"10.00"	"13.59"	"Handicap Hurdle"	"4"	"25"	"Cobden, Harry"	"Nicholls, P F"	"2m5f "	"1"	"25"	"1"	"10"
"14:50:00"	"2019-03-13"	"Cheltenham"	"Oscar Knight (IRE)"	"33.00"	"77.27"	"Handicap Hurdle"	"12"	"25"	"Walsh, M P"	"Mullins, Thomas"	"2m5f "	"1"	"21"	"7"	"13"
"14:50:00"	"2019-03-13"	"Cheltenham"	"Highest Sun (FR)"	"16.00"	"21.74"	"Handicap Hurdle"	"17"	"25"	"OBrien, T J"	"Tizzard, C L"	"2m5f "	"1"	"18"	"1"	"11"
"14:50:00"	"2019-03-13"	"Cheltenham"	"Killultagh Vic (IRE)"	"16.00"	"24.64"	"Handicap Hurdle"	"19"	"25"	"Townend, P"	"Mullins, W P"	"2m5f "	"1"	"25"	"4"	"4"
"14:50:00"	"2019-03-13"	"Cheltenham"	"Diamond Cauchois (FR)"	"33.00"	"55"	"Handicap Hurdle"	"PU"	"25"	"Fehily, Noel"	"Elliott, Gordon"	"2m5f "	"1"	"321"	"6"	"12"
"14:50:00"	"2019-03-13"	"Cheltenham"	"Eragon De Chanay (FR)"	"66.00"	"145.86"	"Handicap Hurdle"	"PU"	"25"	"Moore, Joshua"	"Moore, Gary and Josh"	"2m5f "	"1"	"25"	"1"	"11"
"14:50:00"	"2019-03-13"	"Cheltenham"	"Erick Le Rouge (FR)"	"16.00"	"25"	"Handicap Hurdle"	"PU"	"25"	"Williams, Chester"	"Williams, Mrs Jane"	"2m5f "	"1"	"18"	"1"	"13"
"16:50:00"	"2019-03-12"	"Cheltenham"	"Riders Onthe Storm (IRE)"	"10.00"	"15.05"	"Handicap Novices Chase"	"F"	"20"	"Hughes, Brian"	"Taaffe, T J"	"2m4.5f "	"1"	"30"	"1"	"6"
"14:50:00"	"2019-03-12"	"Cheltenham"	"Magic Of Light (IRE)"	"25.00"	"29.36"	"Handicap Chase"	"7"	"24"	"Power, R M"	"Harrington, Mrs John"	"3m1f "	"1"	"17"	"UR"	"6"
"14:50:00"	"2019-03-12"	"Cheltenham"	"Oldgrangewood"	"66.00"	"170"	"Handicap Chase"	"9"	"24"	"Andrews, Bridget"	"Skelton, Daniel"	"3m1f "	"1"	"18"	"6"	"8"
"14:50:00"	"2019-03-12"	"Cheltenham"	"Crucial Role"	"16.00"	"21"	"Handicap Chase"	"11"	"24"	"Skelton, Harry"	"Skelton, Daniel"	"3m1f "	"1"	"15"	"1"	"4"
"14:50:00"	"2019-03-12"	"Cheltenham"	"Catamaran Du Seuil (FR)"	"50.00"	"80"	"Handicap Chase"	"PU"	"24"	"Hammond, Charlie"	"Newland, Dr R D P"	"3m1f "	"1"	"17"	"10"	"10"
"14:50:00"	"2019-03-12"	"Cheltenham"	"Calipto (FR)"	"14.00"	"21.02"	"Handicap Chase"	"PU"	"24"	"Deutsch, Charlie"	"Williams, Miss Venetia"	"3m1f "	"1"	"24"	"1"	"8"
"17:30:00"	"2018-03-16"	"Cheltenham"	"Doitforthevillage (IRE)"	"20.00"	"26.29"	"Handicap Chase"	"6"	"22"	"Brennan, P J"	"Henderson, P"	"2m.5f "	"1"	"22"	"2"	"10"
"17:30:00"	"2018-03-16"	"Cheltenham"	"Bright New Dawn (IRE)"	"66.00"	"281.27"	"Handicap Chase"	"10"	"22"	"Cawley, A P"	"Williams, Miss Venetia"	"2m.5f "	"1"	"20"	"F"	"6"
"16:50:00"	"2018-03-16"	"Cheltenham"	"Blow By Blow (IRE)"	"11.00"	"15.68"	"Handicap Hurdle"	"1"	"23"	"Meyler, D"	"Elliott, Gordon"	"2m4.5f "	"2"	"22"	"1"	"6"
"16:50:00"	"2018-03-16"	"Cheltenham"	"Discorama (FR)"	"33.00"	"60.72"	"Handicap Hurdle"	"2"	"23"	"Robinson, D"	"Nolan, Paul"	"2m4.5f "	"2"	"19"	"7"	"8"
"16:50:00"	"2018-03-16"	"Cheltenham"	"Dream Berry (FR)"	"33.00"	"55.03"	"Handicap Hurdle"	"7"	"23"	"ONeill, Jonjo (Jr)"	"ONeill, Jonjo and AJ"	"2m4.5f "	"2"	"321"	"2"	"24"
"16:50:00"	"2018-03-16"	"Cheltenham"	"No Hassle Hoff (IRE)"	"33.00"	"51.22"	"Handicap Hurdle"	"14"	"23"	"Gregory, Fergus"	"Skelton, Daniel"	"2m4.5f "	"2"	"27"	"3"	"5"
"16:50:00"	"2018-03-16"	"Cheltenham"	"Delire Destruval (FR)"	"50.00"	"142.52"	"Handicap Hurdle"	"16"	"23"	"Patrick, Richard"	"Pauling, Ben"	"2m4.5f "	"2"	"30"	"1"	"7"
"14:10:00"	"2018-03-16"	"Cheltenham"	"Remiluc (FR)"	"50.00"	"80.74"	"Handicap Hurdle"	"2"	"24"	"Reed, Harry"	"Gordon, C"	"2m1f "	"1"	"11"	"2"	"6"
"14:10:00"	"2018-03-16"	"Cheltenham"	"Chesterfield (IRE)"	"16.00"	"27"	"Handicap Hurdle"	"4"	"24"	"Sansom, Daniel"	"Mullins, J W"	"2m1f "	"1"	"11"	"1"	"7"
"14:10:00"	"2018-03-16"	"Cheltenham"	"Meri Devie (FR)"	"12.00"	"17.53"	"Handicap Hurdle"	"13"	"24"	"Townend, P"	"Mullins, W P"	"2m1f "	"1"	"23"	"1"	"6"
"14:10:00"	"2018-03-16"	"Cheltenham"	"Flying Tiger (IRE)"	"6.00"	"7.93"	"Handicap Hurdle"	"16"	"24"	"Fehily, Noel"	"Williams, Nick"	"2m1f "	"1"	"27"	"4"	"6"
"14:10:00"	"2018-03-16"	"Cheltenham"	"All Set To Go (IRE)"	"100.00"	"423.87"	"Handicap Hurdle"	"18"	"24"	"Bargary, J P"	"Frost, Kevin"	"2m1f "	"1"	"461"	"1"	"10"
"17:30:00"	"2018-03-15"	"Cheltenham"	"Band Of Blood (IRE)"	"10.00"	"13"	"Handicap Chase"	"12"	"20"	"King, Mr James"	"Newland, Dr R D P"	"3m2.5f "	"2"	"22"	"1"	"12"
"17:30:00"	"2018-03-15"	"Cheltenham"	"Pendra (IRE)"	"14.00"	"23"	"Handicap Chase"	"15"	"20"	"OConnor, Derek"	"Longsdon, C E"	"3m2.5f "	"2"	"364"	"2"	"24"
"17:30:00"	"2018-03-15"	"Cheltenham"	"Marinero (IRE)"	"100.00"	"428.17"	"Handicap Chase"	"PU"	"20"	"Maxwell, David"	"Christie, D M"	"3m2.5f "	"2"	"202"	"5"	"6"
"17:30:00"	"2018-03-15"	"Cheltenham"	"Wild West Wind (IRE)"	"25.00"	"42.53"	"Handicap Chase"	"UR"	"20"	"George, Mr N"	"George, T R"	"3m2.5f "	"2"	"26"	"REF"	"8"
"16:10:00"	"2018-03-15"	"Cheltenham"	"Traffic Fluide (FR)"	"16.00"	"18.3"	"Handicap Chase"	"11"	"22"	"Moore, Joshua"	"Moore, Gary and Josh"	"2m5f "	"1"	"26"	"5"	"7"
"14:10:00"	"2018-03-15"	"Cheltenham"	"Connetable (FR)"	"33.00"	"38"	"Handicap Hurdle"	"3"	"23"	"Cobden, Harry"	"Nicholls, P F"	"3m "	"1"	"19"	"8"	"11"
"14:10:00"	"2018-03-15"	"Cheltenham"	"The Mighty Don (IRE)"	"33.00"	"55"	"Handicap Hurdle"	"9"	"23"	"Aspell, Leighton"	"Gifford, N J"	"3m "	"1"	"19"	"2"	"14"
"14:10:00"	"2018-03-15"	"Cheltenham"	"Sort It Out (IRE)"	"10.00"	"12.6"	"Handicap Hurdle"	"19"	"23"	"Walsh, M P"	"Harty, Edward and Patrick"	"3m "	"1"	"22"	"3"	"13"
"14:10:00"	"2018-03-15"	"Cheltenham"	"Boite (IRE)"	"33.00"	"69.21"	"Handicap Hurdle"	"20"	"23"	"Sheehan, Gavin"	"Greatrex, W J"	"3m "	"1"	"26"	"F"	"5"
"16:50:00"	"2018-03-14"	"Cheltenham"	"Eragon De Chanay (FR)"	"8.00"	"9.8"	"Handicap Hurdle"	"7"	"22"	"Moore, Joshua"	"Moore, Gary and Josh"	"2m.5f "	"1"	"4"	"1"	"6"
"16:50:00"	"2018-03-14"	"Cheltenham"	"Mastermind (IRE)"	"25.00"	"29.01"	"Handicap Hurdle"	"11"	"22"	"Power, R M"	"OBrien, Charles"	"2m.5f "	"1"	"18"	"2"	"7"
"16:50:00"	"2018-03-14"	"Cheltenham"	"Embole (FR)"	"33.00"	"90"	"Handicap Hurdle"	"12"	"22"	"Jacob, Daryl"	"Skelton, Daniel"	"2m.5f "	"1"	"25"	"1"	"9"
"16:50:00"	"2018-03-14"	"Cheltenham"	"Esprit De Somoza (FR)"	"16.00"	"24"	"Handicap Hurdle"	"14"	"22"	"Kelly, Lizzie"	"Williams, Nick"	"2m.5f "	"1"	"22"	"2"	"14"
"16:50:00"	"2018-03-14"	"Cheltenham"	"Lisp (IRE)"	"10.00"	"12"	"Handicap Hurdle"	"F"	"22"	"Hutchinson, Wayne"	"King, A"	"2m.5f "	"1"	"25"	"3"	"6"
"16:50:00"	"2018-03-14"	"Cheltenham"	"Mitchouka (FR)"	"8.00"	"11.5"	"Handicap Hurdle"	"PU"	"22"	"Walsh, M P"	"Elliott, Gordon"	"2m.5f "	"1"	"18"	"1"	"7"
"14:50:00"	"2018-03-14"	"Cheltenham"	"Mount Mews (IRE)"	"12.00"	"19.63"	"Handicap Hurdle"	"10"	"26"	"Hughes, Brian"	"Jefferson, Ruth"	"2m5f "	"1"	"25"	"3"	"4"
"14:50:00"	"2018-03-14"	"Cheltenham"	"Fixe Le Kap (FR)"	"16.00"	"20.63"	"Handicap Hurdle"	"12"	"26"	"Jacob, Daryl"	"Henderson, N J"	"2m5f "	"1"	"25"	"7"	"9"
"14:50:00"	"2018-03-14"	"Cheltenham"	"Jeannot De Nonant (FR)"	"40.00"	"70.6"	"Handicap Hurdle"	"13"	"26"	"Bowen, Sean P"	"Bowen, Peter / Michael"	"2m5f "	"1"	"17"	"1"	"8"
"14:50:00"	"2018-03-14"	"Cheltenham"	"Abbyssial (IRE)"	"33.00"	"35.33"	"Handicap Hurdle"	"PU"	"26"	"Mullins, D E"	"Mullins, W P"	"2m5f "	"1"	"25"	"4"	"6"
"17:30:00"	"2018-03-13"	"Cheltenham"	"Rather Be (IRE)"	"12.00"	"18.89"	"Handicap Novices Chase"	"2"	"19"	"McGrath, Jeremiah"	"Henderson, N J"	"2m4.5f "	"1"	"25"	"1"	"5"
"17:30:00"	"2018-03-13"	"Cheltenham"	"Kayf Adventure"	"25.00"	"34.49"	"Handicap Novices Chase"	"7"	"19"	"Johnson, Richard"	"Hobbs, P J / White, J"	"2m4.5f "	"1"	"18"	"3"	"7"
"17:30:00"	"2018-03-13"	"Cheltenham"	"Le Rocher (FR)"	"14.00"	"16.38"	"Handicap Novices Chase"	"BD"	"19"	"Scudamore, Tom"	"Williams, Nick"	"2m4.5f "	"1"	"30"	"3"	"6"
"14:50:00"	"2018-03-13"	"Cheltenham"	"Yala Enki (FR)"	"12.00"	"15"	"Handicap Chase"	"6"	"18"	"Deutsch, Charlie"	"Williams, Miss Venetia"	"3m1f "	"1"	"24"	"1"	"8"
"14:50:00"	"2018-03-13"	"Cheltenham"	"Ramses De Teillee (FR)"	"12.00"	"15.49"	"Handicap Chase"	"7"	"18"	"Scudamore, Tom"	"Pipe, D E"	"3m1f "	"1"	"30"	"2"	"4"
"14:50:00"	"2018-03-13"	"Cheltenham"	"Eamon An Cnoic (IRE)"	"28.00"	"46.4"	"Handicap Chase"	"9"	"18"	"Noonan, David G"	"Pipe, D E"	"3m1f "	"1"	"29"	"1"	"3"
"17:30:00"	"2017-03-17"	"Cheltenham"	"Pairofbrowneyes (IRE)"	"18.00"	"24.63"	"Handicap Chase"	"11"	"24"	"Fogarty, M P"	"Murphy, Barry John"	"2m.5f "	"1"	"19"	"2"	"6"
"16:50:00"	"2017-03-17"	"Cheltenham"	"Champagne Classic (IRE)"	"12.00"	"16"	"Handicap Hurdle"	"1"	"23"	"Slevin, J J"	"Elliott, Gordon"	"2m4.5f "	"2"	"22"	"3"	"7"
"16:50:00"	"2017-03-17"	"Cheltenham"	"Coo Star Sivola (FR)"	"6.50"	"7.87"	"Handicap Hurdle"	"4"	"23"	"Kelly, Lizzie"	"Williams, Nick"	"2m4.5f "	"2"	"21"	"1"	"6"
"16:50:00"	"2017-03-17"	"Cheltenham"	"Born Survivor (IRE)"	"33.00"	"46.28"	"Handicap Hurdle"	"6"	"23"	"Andrews, Bridget"	"Skelton, Daniel"	"2m4.5f "	"2"	"29"	"F"	"4"
"16:50:00"	"2017-03-17"	"Cheltenham"	"Castello Sforza (IRE)"	"11.00"	"14.85"	"Handicap Hurdle"	"10"	"23"	"Moore, J M"	"Mullins, W P"	"2m4.5f "	"2"	"23"	"2"	"18"
"16:50:00"	"2017-03-17"	"Cheltenham"	"Tommy Silver (FR)"	"20.00"	"36"	"Handicap Hurdle"	"11"	"23"	"Sheppard, Stan"	"Nicholls, P F"	"2m4.5f "	"2"	"24"	"1"	"10"
"16:50:00"	"2017-03-17"	"Cheltenham"	"Taglietelle"	"20.00"	"29"	"Handicap Hurdle"	"12"	"23"	"Collins, Cian"	"Elliott, Gordon"	"2m4.5f "	"2"	"26"	"6"	"9"
"16:50:00"	"2017-03-17"	"Cheltenham"	"Pain Au Chocolat (FR)"	"100.00"	"530"	"Handicap Hurdle"	"17"	"23"	"Gordon, Mr L"	"Skelton, Daniel"	"2m4.5f "	"2"	"27"	"5"	"7"
"16:50:00"	"2017-03-17"	"Cheltenham"	"Catamaran Du Seuil (FR)"	"33.00"	"60.55"	"Handicap Hurdle"	"20"	"23"	"Hammond, Charlie"	"Newland, Dr R D P"	"2m4.5f "	"2"	"25"	"1"	"9"
"16:50:00"	"2017-03-17"	"Cheltenham"	"I Shot The Sheriff (IRE)"	"20.00"	"45.56"	"Handicap Hurdle"	"PU"	"23"	"Shortall, Shane"	"Martin, A J"	"2m4.5f "	"2"	"12"	"3"	"7"
"14:10:00"	"2017-03-17"	"Cheltenham"	"Arctic Fire (GER)"	"20.00"	"26.7"	"Handicap Hurdle"	"1"	"25"	"Townend, P"	"Mullins, W P"	"2m1f "	"1"	"418"	"2"	"5"
"14:10:00"	"2017-03-17"	"Cheltenham"	"Lami Serge (IRE)"	"25.00"	"31.36"	"Handicap Hurdle"	"2"	"25"	"Jacob, Daryl"	"Henderson, N J"	"2m1f "	"1"	"19"	"3"	"7"
"14:10:00"	"2017-03-17"	"Cheltenham"	"Air Horse One"	"10.00"	"14.84"	"Handicap Hurdle"	"4"	"25"	"Fehily, Noel"	"Fry, Harry"	"2m1f "	"1"	"27"	"1"	"16"
"14:10:00"	"2017-03-17"	"Cheltenham"	"Bertimont (FR)"	"50.00"	"104.22"	"Handicap Hurdle"	"15"	"25"	"Andrews, Bridget"	"Skelton, Daniel"	"2m1f "	"1"	"24"	"2"	"10"
"14:10:00"	"2017-03-17"	"Cheltenham"	"Vosne Romanee"	"18.00"	"32.52"	"Handicap Hurdle"	"22"	"25"	"Coleman, A"	"Newland, Dr R D P"	"2m1f "	"1"	"28"	"1"	"7"
"17:30:00"	"2017-03-16"	"Cheltenham"	"Domesday Book (USA)"	"40.00"	"56.6"	"Handicap Chase"	"1"	"24"	"Andrews, Gina"	"Edmunds, Stuart"	"3m2.5f "	"2"	"28"	"3"	"6"
"17:30:00"	"2017-03-16"	"Cheltenham"	"Pendra (IRE)"	"16.00"	"26.99"	"Handicap Chase"	"2"	"24"	"OConnor, Derek"	"Longsdon, C E"	"3m2.5f "	"2"	"341"	"13"	"39"
"16:10:00"	"2017-03-16"	"Cheltenham"	"Road To Respect (IRE)"	"14.00"	"15.96"	"Handicap Chase"	"1"	"24"	"Cooper, Bryan J"	"Meade, Noel"	"2m5f "	"1"	"25"	"2"	"8"
"16:10:00"	"2017-03-16"	"Cheltenham"	"Rock Gone (IRE)"	"25.00"	"46.25"	"Handicap Chase"	"7"	"24"	"Moore, Joshua"	"Newland, Dr R D P"	"2m5f "	"1"	"18"	"3"	"4"
"16:10:00"	"2017-03-16"	"Cheltenham"	"Mad Jack Mytton (IRE)"	"28.00"	"60"	"Handicap Chase"	"F"	"24"	"McLernon, R P"	"ONeill, Jonjo and AJ"	"2m5f "	"1"	"28"	"5"	"6"
"14:10:00"	"2017-03-16"	"Cheltenham"	"Presenting Percy"	"11.00"	"14.24"	"Handicap Hurdle"	"1"	"24"	"Russell, D N"	"Kelly, Patrick G"	"3m "	"1"	"19"	"1"	"10"
"14:10:00"	"2017-03-16"	"Cheltenham"	"Jury Duty (IRE)"	"9.00"	"13.65"	"Handicap Hurdle"	"3"	"24"	"Kennedy, J W"	"Elliott, Gordon"	"3m "	"1"	"19"	"2"	"13"
"14:10:00"	"2017-03-16"	"Cheltenham"	"Sutton Manor (IRE)"	"16.00"	"19.55"	"Handicap Hurdle"	"5"	"24"	"ONeill, Ms Lisa"	"Elliott, Gordon"	"3m "	"1"	"21"	"1"	"10"
"14:10:00"	"2017-03-16"	"Cheltenham"	"Mr Mix (FR)"	"50.00"	"95"	"Handicap Hurdle"	"24"	"24"	"Cobden, Harry"	"Nicholls, P F"	"3m "	"1"	"27"	"UR"	"4"
"16:50:00"	"2017-03-15"	"Cheltenham"	"Flying Tiger (IRE)"	"33.00"	"57.28"	"Handicap Hurdle"	"1"	"22"	"Johnson, Richard"	"Williams, Nick"	"2m.5f "	"1"	"18"	"4"	"10"
"16:50:00"	"2017-03-15"	"Cheltenham"	"Dino Velvet (FR)"	"11.00"	"12.41"	"Handicap Hurdle"	"8"	"22"	"Hutchinson, Wayne"	"King, A"	"2m.5f "	"1"	"21"	"2"	"12"
"16:50:00"	"2017-03-15"	"Cheltenham"	"Dreamcatching (FR)"	"12.00"	"16.93"	"Handicap Hurdle"	"15"	"22"	"Sheppard, Stan"	"Nicholls, P F"	"2m.5f "	"1"	"25"	"1"	"17"
"16:50:00"	"2017-03-15"	"Cheltenham"	"Fidux (FR)"	"50.00"	"97.62"	"Handicap Hurdle"	"19"	"22"	"Bellamy, Tom"	"King, A"	"2m.5f "	"1"	"18"	"3"	"10"
"14:50:00"	"2017-03-15"	"Cheltenham"	"Supasundae"	"16.00"	"19.78"	"Handicap Hurdle"	"1"	"25"	"Power, R M"	"Harrington, Mrs John"	"2m5f "	"1"	"24"	"4"	"9"
"14:50:00"	"2017-03-15"	"Cheltenham"	"Tin Soldier (FR)"	"5.00"	"7.37"	"Handicap Hurdle"	"8"	"25"	"Walsh, R"	"Mullins, W P"	"2m5f "	"1"	"20"	"1"	"7"
"14:50:00"	"2017-03-15"	"Cheltenham"	"Thomas Hobson"	"50.00"	"55.72"	"Handicap Hurdle"	"18"	"25"	"Mullins, D E"	"Mullins, W P"	"2m5f "	"1"	"24"	"PU"	"9"
"14:50:00"	"2017-03-15"	"Cheltenham"	"Sure Reef (IRE)"	"40.00"	"104.01"	"Handicap Hurdle"	"20"	"25"	"Fogarty, M P"	"Mullins, W P"	"2m5f "	"1"	"18"	"4"	"10"
"14:50:00"	"2017-03-15"	"Cheltenham"	"Tombstone (IRE)"	"3.50"	"5.5"	"Handicap Hurdle"	"22"	"25"	"Cooper, Bryan J"	"Elliott, Gordon"	"2m5f "	"1"	"25"	"1"	"5"
"17:30:00"	"2017-03-14"	"Cheltenham"	"Zamdy Man"	"12.00"	"14"	"Handicap Novices Chase"	"10"	"20"	"Coleman, A"	"Williams, Miss Venetia"	"2m4.5f "	"1"	"17"	"1"	"4"
"17:30:00"	"2017-03-14"	"Cheltenham"	"Templehills (IRE)"	"66.00"	"235.83"	"Handicap Novices Chase"	"PU"	"20"	"Crosse, Dave"	"Twiston-Davies, N A"	"2m4.5f "	"1"	"18"	"PU"	"7"
"17:30:00"	"2017-03-14"	"Cheltenham"	"Captain Redbeard (IRE)"	"22.00"	"39.51"	"Handicap Novices Chase"	"PU"	"20"	"Coltherd, Sam W"	"Coltherd, W S"	"2m4.5f "	"1"	"24"	"1"	"8"
"14:50:00"	"2017-03-14"	"Cheltenham"	"Clarcam (FR)"	"50.00"	"90.09"	"Handicap Chase"	"9"	"23"	"Cooper, Bryan J"	"Elliott, Gordon"	"3m1f "	"1"	"16"	"6"	"6"
"14:50:00"	"2017-03-14"	"Cheltenham"	"Vintage Clouds (IRE)"	"20.00"	"27.16"	"Handicap Chase"	"F"	"23"	"Quinlan, Sean"	"Smith, Mrs S J"	"3m1f "	"1"	"24"	"3"	"13"
"14:50:00"	"2017-03-14"	"Cheltenham"	"Vic De Touzaine (FR)"	"25.00"	"29.22"	"Handicap Chase"	"UR"	"23"	"Treadwell, Liam"	"Williams, Miss Venetia"	"3m1f "	"1"	"10"	"2"	"9"
