RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	RaceClass	DaysSinceRun	LR_Position	LR_NumberRunners	
"19:30:00"	"2026-07-28"	"Ffos Las"	"Seacole (IRE)"	"2.50"	"3.7"	"Maiden"	"2"	"4"	"Clutterbuck, Rhys"	"Beckett, R M"	"1m4f "	"3"	"20"	"4"	"6"
"18:30:00"	"2026-07-25"	"Lingfield"	"Mystic Ballistic"	"25.00"	"28"	"Maiden"	"7"	"7"	"Greatrex, Thomas"	"Kobeissi, Hilal"	"6f "	"5"	"10"	"5"	"7"
"17:50:00"	"2026-07-15"	"Lingfield"	"Lunella (IRE)"	"4.50"	"8.6"	"Maiden"	"2"	"4"	"Marquand, Tom"	"Sangster, Ollie"	"1m3.5f "	"3"	"18"	"3"	"3"
"16:40:00"	"2026-07-14"	"Ffos Las"	"Prophet Squeeze (IRE)"	"50.00"	"65"	"Handicap"	"RR"	"9"	"Kavanagh, Ryan"	"Murphy, Barry John"	"1m2f "	"6"	"21"	"7"	"9"
"14:30:00"	"2026-06-18"	"Ascot"	"Sydney Carton"	"100.00"	"107.22"	"Non-Handicap"	"14"	"14"	"Fallon, Cieren"	"Owen, J P"	"7f "	"1"	"22"	"3"	"8"
"15:00:00"	"2026-06-12"	"York"	"Siouxpersonic (IRE)"	"7.50"	"8.95"	"Handicap"	"10"	"12"	"Lloyd, Zac"	"Camacho, Miss J A"	"6f "	"2"	"16"	"4"	"8"
"16:10:00"	"2026-05-19"	"Lingfield"	"Blueaway (IRE)"	"40.00"	"80"	"Handicap"	"12"	"12"	"Morris, Luke"	"Crawley, Matt"	"7f "	"6"	"21"	"6"	"6"
"18:40:00"	"2026-05-12"	"Killarney"	"Jasmine Affanalis (IRE)"	"5.50"	"8.22"	"Handicap"	"2"	"15"	"McAteer, L T"	"Marnane, David"	"1m "	"0"	"18"	"5"	"18"
"15:20:00"	"2026-05-02"	"Goodwood"	"The Thames Boatman"	"4.50"	"6.8"	"Handicap"	"1"	"9"	"Marsh, Finley"	"Hughes, Richard"	"5f "	"5"	"5"	"2"	"7"
"11:00:00"	"2025-10-18"	"Catterick"	"Mystical Eye"	"3.33"	"3.95"	"Maiden"	"2"	"10"	"Hutchinson, Callum"	"Balding, A M"	"7f "	"5"	"14"	"12"	"15"
"16:05:00"	"2025-10-16"	"Brighton"	"Huntly Lodge"	"33.00"	"75"	"Handicap"	"10"	"13"	"Watson, Jason"	"Perrett, Mrs A J"	"1m2f "	"6"	"8"	"12"	"14"
"13:15:00"	"2025-09-26"	"Newmarket (Rowley)"	"Hey Boo"	"11.00"	"14.5"	"Non-Handicap"	"2"	"12"	"Bass, George"	"Channon, Jack"	"1m "	"1"	"27"	"9"	"13"
"13:50:00"	"2025-09-25"	"Newmarket (Rowley)"	"Del Maro (GER)"	"0.83"	"2.09"	"Maiden"	"2"	"7"	"Buick, William"	"Appleby, Charlie"	"1m "	"4"	"12"	"3"	"10"
"16:20:00"	"2025-09-12"	"Chester"	"Emperors Son (IRE)"	"7.50"	"12"	"Handicap"	"4"	"10"	"Orr, Conor"	"Fahey, R A"	"6f "	"5"	"13"	"6"	"11"
"15:25:00"	"2025-08-14"	"Salisbury"	"Aspull"	"3.33"	"4.7"	"Novices"	"2"	"9"	"Ryan, Rossa"	"Cox, C G"	"7f "	"4"	"15"	"3"	"12"
"16:17:00"	"2025-08-09"	"Newmarket (July)"	"Victory Sound (IRE)"	"80.00"	"172.42"	"Handicap"	"6"	"6"	"Jamin, Pierre-Louis"	"Usher, M D I"	"1m "	"3"	"7"	"9"	"9"
"19:05:00"	"2025-08-01"	"Bath"	"Summer Sparkle (IRE)"	"200.00"	"870.11"	"Maiden"	"10"	"10"	"Fahy, J P"	"Harris, Miss G"	"5.5f "	"4"	"7"	"9"	"9"
"18:20:00"	"2025-08-01"	"Newmarket (July)"	"Travel Agent (IRE)"	"40.00"	"66.25"	"Handicap"	"9"	"12"	"Bishop, Charles"	"Dunne, M"	"6f "	"5"	"29"	"7"	"8"
"19:25:00"	"2025-07-29"	"Ffos Las"	"Ranchers Daughter (IRE)"	"50.00"	"80"	"Maiden"	"5"	"5"	"Whelan, Trevor"	"Charlton, Roger/Harry"	"1m4f "	"5"	"30"	"5"	"6"
"20:40:00"	"2025-07-17"	"Epsom"	"Suzuka"	"1.88"	"3.3"	"Handicap"	"4"	"8"	"Sousa, Silvestre De"	"Varian, Roger"	"7f "	"6"	"14"	"8"	"10"
"19:15:00"	"2025-07-15"	"Killarney"	"Raybiya (IRE)"	"33.00"	"48"	"Handicap"	"10"	"10"	"Kearney, J"	"OBrien, Richard John"	"1m3.5f "	"0"	"14"	"5"	"14"
"15:10:00"	"2025-07-08"	"Pontefract"	"Imperial Quarter (IRE)"	"9.00"	"10.39"	"Non-Handicap"	"3"	"10"	"Dawson, R"	"Varian, Roger"	"1m "	"1"	"11"	"4"	"6"
"13:50:00"	"2025-06-26"	"Newmarket (July)"	"Beckfords Folly (IRE)"	"3.00"	"4.6"	"Novices"	"1"	"6"	"Buick, William"	"Appleby, Charlie"	"6f "	"4"	"23"	"4"	"6"
"18:15:00"	"2025-06-20"	"Down Royal"	"Abiding Star (IRE)"	"28.00"	"46"	"Handicap"	"6"	"11"	"Roche, L F"	"Hayes, John"	"5f "	"0"	"22"	"13"	"18"
"16:40:00"	"2025-06-17"	"Thirsk"	"Blue Rc (IRE)"	"2.00"	"3.3"	"Handicap"	"1"	"10"	"Tudhope, Daniel"	"Tate, James"	"7f "	"4"	"20"	"2"	"9"
"18:50:00"	"2025-06-09"	"Pontefract"	"Bodygroove"	"22.00"	"34"	"Handicap"	"5"	"10"	"Brookes, Aiden"	"Hammond, Micky"	"2m1f "	"6"	"21"	"7"	"8"
"17:05:00"	"2025-05-31"	"Chester"	"Premier (FR)"	"16.00"	"23.75"	"Handicap"	"3"	"9"	"Sousa, Silvestre De"	"Greatrex, W J"	"1m2.5f "	"4"	"26"	"5"	"10"
"17:30:00"	"2025-05-24"	"Windsor"	"Blue Train (IRE)"	"4.00"	"6.61"	"Handicap"	"3"	"9"	"Callan, N"	"Knight, W J"	"1m "	"5"	"7"	"7"	"12"
"18:08:00"	"2025-05-06"	"Cork"	"Likedbymike (IRE)"	"50.00"	"110"	"Non-Handicap"	"12"	"12"	"McMonagle, Dylan B"	"Byrne, M J"	"5.5f "	"0"	"30"	"3"	"7"
"13:25:00"	"2025-04-21"	"Redcar"	"Obito (IRE)"	"3.50"	"5.04"	"Novices"	"2"	"5"	"Tudhope, Daniel"	"OMeara, D"	"1m "	"5"	"23"	"5"	"12"
"16:05:00"	"2025-04-12"	"Nottingham"	"Match Play"	"2.00"	"3.2"	"Handicap"	"4"	"7"	"McSweeney, O"	"Midgley, P T"	"5f "	"6"	"14"	"8"	"10"
"16:15:00"	"2025-04-04"	"Bath"	"Papa Oscar"	"28.00"	"54.93"	"Maiden"	"6"	"9"	"Marsh, Finley"	"Charlton, Roger/Harry"	"1m "	"4"	"22"	"4"	"6"
"15:35:00"	"2024-09-17"	"Yarmouth"	"Romantic Spirit (FR)"	"25.00"	"40.57"	"Maiden"	"3"	"6"	"Davies, Harry"	"Menuisier, David"	"1m1f "	"5"	"28"	"5"	"13"
"17:25:00"	"2024-09-11"	"Cork"	"Baalbec Beauty (IRE)"	"18.00"	"32"	"Handicap"	"10"	"17"	"McDonogh, D P"	"McLoughlin, Hilary"	"7f "	"0"	"28"	"7"	"11"
"15:35:00"	"2024-09-06"	"Ascot"	"Peter The Wolf"	"40.00"	"66.95"	"Novices"	"3"	"10"	"Greatrex, Edward"	"Greatrex, W J"	"6f "	"2"	"23"	"8"	"12"
"16:42:00"	"2024-09-04"	"Bath"	"One Glance"	"20.00"	"32"	"Handicap"	"7"	"8"	"Keniry, L P"	"King, A"	"1m3.5f "	"4"	"28"	"3"	"9"
