RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	RaceClass	DaysSinceRun	LR_Position	LR_NumberRunners	
"20:15:00"	"2026-06-20"	"Nottingham"	"Cairdeas"	"3.50"	"5.2"	"Handicap"	"2"	"5"	"Bowen, S D"	"Midgley, P T"	"6f "	"5"	"17"	"5"	"10"
"20:15:00"	"2026-06-20"	"Nottingham"	"Raffles Angel"	"6.00"	"7.53"	"Handicap"	"3"	"5"	"Coakley, Ross"	"Jones, Jack"	"6f "	"5"	"14"	"6"	"8"
"20:00:00"	"2026-06-20"	"Doncaster"	"Lumenbourg"	"4.00"	"5.5"	"Handicap"	"4"	"9"	"Sexton, Ryan"	"Camacho, Miss J A"	"6f "	"5"	"11"	"1"	"6"
"20:00:00"	"2026-06-20"	"Doncaster"	"Fizzy Cristal"	"12.00"	"16.94"	"Handicap"	"5"	"9"	"Hardie, Cameron"	"Fahey, R A"	"6f "	"5"	"21"	"4"	"11"
"20:00:00"	"2026-06-20"	"Doncaster"	"Great"	"11.00"	"13.21"	"Handicap"	"7"	"9"	"McDonald, P J"	"England, Sam"	"6f "	"5"	"12"	"8"	"10"
"19:45:00"	"2026-06-20"	"Nottingham"	"Secret Mistral"	"8.50"	"10.5"	"Handicap"	"2"	"6"	"Coppins, Myla"	"Carroll, A W"	"5f "	"4"	"176"	"8"	"8"
"19:30:00"	"2026-06-20"	"Doncaster"	"Leadman"	"3.50"	"5.6"	"Handicap"	"1"	"11"	"Nolan, D"	"OMeara, D"	"7f "	"4"	"8"	"6"	"20"
"19:30:00"	"2026-06-20"	"Doncaster"	"Obelix"	"6.50"	"8.8"	"Handicap"	"5"	"11"	"Sexton, Ryan"	"Camacho, Miss J A"	"7f "	"4"	"16"	"1"	"14"
"19:30:00"	"2026-06-20"	"Doncaster"	"Diligent Resdev"	"12.00"	"13.41"	"Handicap"	"9"	"11"	"Sullivan, James P"	"Easterby, M W"	"7f "	"4"	"21"	"6"	"11"
"19:30:00"	"2026-06-20"	"Doncaster"	"Monsieur Bondy"	"14.00"	"19.08"	"Handicap"	"10"	"11"	"McDonald, P J"	"Oldroyd, G R"	"7f "	"4"	"14"	"10"	"11"
"19:30:00"	"2026-06-20"	"Doncaster"	"Walsons Law"	"6.00"	"8.4"	"Handicap"	"11"	"11"	"Lee, Clifford"	"Houghton, Eve Johnson"	"7f "	"4"	"29"	"10"	"14"
"17:48:00"	"2026-06-20"	"Doncaster"	"Heldobeldo"	"18.00"	"29.1"	"Maiden"	"9"	"13"	"Morris, Luke"	"Owen, J P"	"7f "	"2"	"15"	"2"	"6"
"17:48:00"	"2026-06-20"	"Doncaster"	"Prides Queen"	"16.00"	"23"	"Maiden"	"10"	"13"	"Lee, Clifford"	"Botti, M"	"7f "	"2"	"28"	"8"	"12"
"17:48:00"	"2026-06-20"	"Doncaster"	"Dun Eideann"	"100.00"	"213.75"	"Maiden"	"RR"	"13"	"Cox, William"	"Dascombe, Tom"	"7f "	"2"	"16"	"6"	"10"
"17:23:00"	"2026-06-20"	"Ayr"	"Novamay"	"6.50"	"11.02"	"Handicap"	"1"	"14"	"Elliott, Rhys"	"Dods, M"	"6f "	"4"	"26"	"5"	"11"
"17:23:00"	"2026-06-20"	"Ayr"	"Eternal Sunshine"	"3.33"	"5.5"	"Handicap"	"4"	"14"	"Young, Lauren"	"Goldie, J S"	"6f "	"4"	"8"	"9"	"12"
"17:23:00"	"2026-06-20"	"Ayr"	"Kelpie Grey"	"9.00"	"14"	"Handicap"	"6"	"14"	"Waugh, Amie"	"Goldie, J S"	"6f "	"4"	"16"	"8"	"9"
"17:23:00"	"2026-06-20"	"Ayr"	"Oriental Prince"	"28.00"	"40"	"Handicap"	"7"	"14"	"Mulrennan, Paul"	"Goldie, J S"	"6f "	"4"	"8"	"20"	"20"
"17:23:00"	"2026-06-20"	"Ayr"	"Lions House"	"22.00"	"28.11"	"Handicap"	"12"	"14"	"Allan, David"	"Perratt, Miss L A"	"6f "	"4"	"16"	"4"	"6"
"17:18:00"	"2026-06-20"	"Redcar"	"Poppeye"	"4.50"	"6.54"	"Handicap"	"2"	"12"	"Stammers, Oliver"	"Tuer, Grant"	"1m "	"6"	"25"	"4"	"6"
"17:18:00"	"2026-06-20"	"Redcar"	"Sparkling Pink"	"6.00"	"6.98"	"Handicap"	"4"	"12"	"Beasley, Connor"	"Nicholls, Adrian"	"1m "	"6"	"30"	"10"	"12"
"17:18:00"	"2026-06-20"	"Redcar"	"War And Love"	"33.00"	"65"	"Handicap"	"9"	"12"	"Robinson, Ben"	"Ellison, B"	"1m "	"6"	"501"	"5"	"5"
"17:00:00"	"2026-06-20"	"Ascot"	"Sondad"	"28.00"	"44"	"Handicap"	"9"	"27"	"Mason, Joanna"	"Easterby, M W"	"6f "	"2"	"14"	"1"	"15"
"17:00:00"	"2026-06-20"	"Ascot"	"Two Tribes"	"33.00"	"44"	"Handicap"	"12"	"27"	"Egan, David"	"Spencer, Richard"	"6f "	"2"	"259"	"5"	"15"
"17:00:00"	"2026-06-20"	"Ascot"	"Fandom"	"50.00"	"89.64"	"Handicap"	"13"	"27"	"Levey, S M"	"Hannon (Jnr), Richard"	"6f "	"2"	"20"	"1"	"14"
"17:00:00"	"2026-06-20"	"Ascot"	"Flash Harry"	"33.00"	"35.23"	"Handicap"	"15"	"27"	"Ryan, Rossa"	"Cox, C G"	"6f "	"2"	"28"	"6"	"10"
"17:00:00"	"2026-06-20"	"Ascot"	"Run Boy Run"	"40.00"	"55"	"Handicap"	"17"	"27"	"Wood, George"	"Spencer, Richard"	"6f "	"2"	"259"	"5"	"9"
"17:00:00"	"2026-06-20"	"Ascot"	"Roman Dragon"	"150.00"	"314.84"	"Handicap"	"24"	"27"	"Paetel, Mason"	"Palmer, Hugo"	"6f "	"2"	"14"	"11"	"15"
"17:00:00"	"2026-06-20"	"Ascot"	"Spy Chief"	"5.00"	"8.2"	"Handicap"	"25"	"27"	"Buick, William"	"Gosden, J H M"	"6f "	"2"	"28"	"2"	"10"
"17:00:00"	"2026-06-20"	"Ascot"	"Candy"	"50.00"	"88.34"	"Handicap"	"27"	"27"	"Osborne, Saffie"	"Spencer, Richard"	"6f "	"2"	"259"	"6"	"10"
"16:40:00"	"2026-06-20"	"Redcar"	"Muddy Nora"	"28.00"	"41.92"	"Handicap"	"3"	"10"	"Fentiman, Duran"	"Spencer, Seb"	"6f "	"6"	"22"	"7"	"9"
"16:40:00"	"2026-06-20"	"Redcar"	"Prima Domina"	"28.00"	"41.07"	"Handicap"	"5"	"10"	"Beasley, Connor"	"Dods, M"	"6f "	"6"	"26"	"7"	"8"
"16:40:00"	"2026-06-20"	"Redcar"	"Ganthorpe"	"11.00"	"15.5"	"Handicap"	"7"	"10"	"Chalkley, Lewis"	"Easterby, M W"	"6f "	"6"	"22"	"1"	"9"
"16:40:00"	"2026-06-20"	"Redcar"	"Charcon"	"40.00"	"75"	"Handicap"	"9"	"10"	"Brookes, Aiden"	"Haslam, B M R"	"6f "	"6"	"12"	"6"	"9"
"16:40:00"	"2026-06-20"	"Redcar"	"Auspicious"	"3.33"	"4.74"	"Handicap"	"10"	"10"	"Jary, Alex"	"Tinkler, N"	"6f "	"6"	"22"	"2"	"9"
"16:08:00"	"2026-06-20"	"Ayr"	"Argentine Tango"	"8.00"	"12.5"	"Non-Handicap"	"1"	"15"	"Allan, David"	"Easterby, T D"	"5f "	"1"	"7"	"6"	"8"
"16:08:00"	"2026-06-20"	"Ayr"	"Beautiful Diamond"	"1.38"	"2.64"	"Non-Handicap"	"3"	"15"	"James, S H"	"Burke, K R"	"5f "	"1"	"28"	"3"	"12"
"16:08:00"	"2026-06-20"	"Ayr"	"Fluorescence"	"18.00"	"31.8"	"Non-Handicap"	"4"	"15"	"Orr, Oisin"	"Bethell, Ed"	"5f "	"1"	"20"	"UR"	"14"
"16:08:00"	"2026-06-20"	"Ayr"	"Shes Got A Brother"	"28.00"	"43.32"	"Non-Handicap"	"5"	"15"	"Garritty, Billy"	"Easterby, M W"	"5f "	"1"	"15"	"3"	"16"
"16:08:00"	"2026-06-20"	"Ayr"	"Luna A Inbhir Nis"	"12.00"	"17.36"	"Non-Handicap"	"6"	"15"	"Hart, Jason"	"Scott, Miss Katie"	"5f "	"1"	"21"	"3"	"8"
"16:08:00"	"2026-06-20"	"Ayr"	"Kinswoman"	"6.00"	"8.8"	"Non-Handicap"	"9"	"15"	"Davies, Harry"	"Haggas, W J"	"5f "	"1"	"14"	"6"	"20"
"16:08:00"	"2026-06-20"	"Ayr"	"Sapphire Princess"	"150.00"	"680"	"Non-Handicap"	"14"	"15"	"Sheehy, M P"	"Ryan, K A"	"5f "	"1"	"250"	"1"	"7"
"16:08:00"	"2026-06-20"	"Ayr"	"Rhyme Dust"	"5.50"	"8.6"	"Non-Handicap"	"PU"	"15"	"Crouch, Hector"	"Beckett, R M"	"5f "	"1"	"8"	"4"	"12"
"16:00:00"	"2026-06-20"	"Redcar"	"Im Next"	"4.50"	"6.3"	"Handicap"	"1"	"9"	"Fentiman, Duran"	"Easterby, T D"	"5f "	"3"	"15"	"3"	"7"
"16:00:00"	"2026-06-20"	"Redcar"	"American Bay"	"11.00"	"13.5"	"Handicap"	"2"	"9"	"Brookes, Aiden"	"Midgley, P T"	"5f "	"3"	"20"	"7"	"17"
"15:40:00"	"2026-06-20"	"Ascot"	"Almeraq"	"25.00"	"32.44"	"Non-Handicap"	"1"	"18"	"Marquand, Tom"	"Haggas, W J"	"6f "	"1"	"28"	"1"	"10"
"15:22:00"	"2026-06-20"	"Redcar"	"Schrodingers Cat"	"0.91"	"2.07"	"Handicap"	"1"	"6"	"Stammers, Oliver"	"Tuer, Grant"	"5f "	"4"	"8"	"3"	"13"
