RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	RaceClass	DaysSinceRun	LR_Position	LR_NumberRunners	
"15:15:00"	"2026-05-23"	"York"	"Lava Stream (IRE)"	"10.00"	"17"	"Non-Handicap"	"4"	"7"	"Tudhope, Daniel"	"OMeara, D"	"1m6f "	"1"	"27"	"5"	"6"
"15:40:00"	"2026-05-09"	"Haydock"	"Audience"	"40.00"	"66.78"	"Non-Handicap"	"9"	"11"	"Winn, Mark"	"OMeara, D"	"7f "	"1"	"211"	"5"	"5"
"16:35:00"	"2026-04-26"	"Wetherby"	"Rajapour (IRE)"	"12.00"	"18.5"	"Handicap"	"2"	"12"	"Winn, Mark"	"OMeara, D"	"1m "	"5"	"19"	"8"	"9"
"17:15:00"	"2026-03-29"	"Doncaster"	"Akkadian Thunder"	"4.50"	"7.6"	"Handicap"	"2"	"19"	"Nolan, D"	"OMeara, D"	"6f "	"3"	"141"	"16"	"22"
"14:35:00"	"2025-11-08"	"Doncaster"	"Akkadian Thunder"	"9.00"	"12.5"	"Handicap"	"16"	"22"	"Mulrennan, Paul"	"OMeara, D"	"6f "	"2"	"15"	"6"	"12"
"16:44:00"	"2025-10-14"	"Leicester"	"Leadman"	"4.50"	"7.4"	"Handicap"	"6"	"15"	"Tudhope, Daniel"	"OMeara, D"	"7f "	"3"	"4"	"UR"	"17"
"13:30:00"	"2025-10-10"	"York"	"Nostrum"	"11.00"	"13.06"	"Handicap"	"14"	"17"	"Fallon, Cieren"	"OMeara, D"	"1m "	"2"	"34"	"19"	"20"
"13:30:00"	"2025-10-10"	"York"	"Leadman"	"10.00"	"14.49"	"Handicap"	"UR"	"17"	"Fentiman, Warren"	"OMeara, D"	"1m "	"2"	"13"	"8"	"13"
"15:05:00"	"2025-09-19"	"Ayr"	"Star Of Lady M"	"5.50"	"7"	"Non-Handicap"	"12"	"12"	"Tudhope, Daniel"	"OMeara, D"	"5.5f "	"1"	"20"	"3"	"9"
"17:20:00"	"2025-09-15"	"Thirsk"	"Al Muqdad"	"3.33"	"5.35"	"Handicap"	"2"	"11"	"Tudhope, Daniel"	"OMeara, D"	"7f "	"5"	"67"	"4"	"11"
"14:05:00"	"2025-08-30"	"Beverley"	"Star Of Lady M"	"22.00"	"29"	"Non-Handicap"	"3"	"9"	"Winn, Mark"	"OMeara, D"	"5f "	"1"	"309"	"6"	"13"
"15:20:00"	"2025-08-16"	"Ripon"	"Nostrum"	"18.00"	"20.69"	"Handicap"	"16"	"17"	"Nolan, D"	"OMeara, D"	"6f "	"2"	"18"	"8"	"10"
"14:30:00"	"2025-07-29"	"Goodwood"	"Nostrum"	"80.00"	"141.7"	"Non-Handicap"	"8"	"10"	"Watson, Jason"	"OMeara, D"	"7f "	"1"	"17"	"6"	"6"
"14:22:00"	"2025-07-12"	"Ascot"	"Nostrum"	"33.00"	"42.54"	"Non-Handicap"	"6"	"6"	"Nolan, D"	"OMeara, D"	"1m "	"1"	"14"	"8"	"8"
"15:10:00"	"2025-07-10"	"Doncaster"	"Al Muqdad"	"12.00"	"19.21"	"Handicap"	"4"	"11"	"Winn, Mark"	"OMeara, D"	"7f "	"4"	"16"	"11"	"12"
"14:15:00"	"2025-06-24"	"Beverley"	"Al Muqdad"	"10.00"	"12.31"	"Handicap"	"11"	"12"	"Winn, Mark"	"OMeara, D"	"7.5f "	"5"	"11"	"10"	"11"
"13:50:00"	"2025-06-14"	"York"	"Blue For You (IRE)"	"9.00"	"13"	"Handicap"	"5"	"13"	"Tudhope, Daniel"	"OMeara, D"	"7f "	"3"	"21"	"7"	"11"
"13:15:00"	"2025-05-24"	"Haydock"	"Blue For You (IRE)"	"20.00"	"28.26"	"Handicap"	"7"	"11"	"Orr, Oisin"	"OMeara, D"	"1m "	"3"	"9"	"13"	"14"
"14:42:00"	"2025-05-15"	"York"	"Blue For You (IRE)"	"4.50"	"7.4"	"Handicap"	"13"	"14"	"Tudhope, Daniel"	"OMeara, D"	"1m "	"2"	"19"	"3"	"10"
"14:40:00"	"2025-04-26"	"Haydock"	"Blue For You (IRE)"	"25.00"	"40.62"	"Handicap"	"3"	"10"	"Kingscote, Richard"	"OMeara, D"	"7f "	"2"	"197"	"9"	"16"
"16:04:00"	"2025-04-23"	"Catterick"	"Capital Guarantee (IRE)"	"2.25"	"3.36"	"Handicap"	"1"	"9"	"Tudhope, Daniel"	"OMeara, D"	"7f "	"5"	"211"	"5"	"7"
"15:40:00"	"2025-04-21"	"Redcar"	"Al Muqdad"	"3.33"	"5"	"Handicap"	"6"	"9"	"Tudhope, Daniel"	"OMeara, D"	"7f "	"4"	"212"	"2"	"11"
"18:45:00"	"2025-04-13"	"Musselburgh"	"New Image"	"2.75"	"4.03"	"Handicap"	"8"	"8"	"Tudhope, Daniel"	"OMeara, D"	"7f "	"2"	"218"	"9"	"13"
"15:38:00"	"2024-10-30"	"Nottingham"	"Sound Reason"	"8.00"	"10.5"	"Handicap"	"8"	"9"	"Robinson, Ben"	"OMeara, D"	"5f "	"5"	"12"	"9"	"12"
"15:35:00"	"2024-10-05"	"Ascot"	"Mirsky"	"22.00"	"40"	"Handicap"	"5"	"18"	"Winn, Mark"	"OMeara, D"	"7f "	"2"	"14"	"8"	"14"
"16:18:00"	"2024-09-18"	"Beverley"	"Alligator Alley"	"10.00"	"13.1"	"Handicap"	"7"	"10"	"Robinson, Ben"	"OMeara, D"	"5f "	"4"	"15"	"4"	"4"
"16:20:00"	"2024-09-06"	"Haydock"	"Riot (IRE)"	"22.00"	"29.07"	"Handicap"	"8"	"11"	"Tudhope, Daniel"	"OMeara, D"	"7f "	"3"	"15"	"14"	"14"
"15:40:00"	"2024-08-07"	"Pontefract"	"Zozimus (IRE)"	"2.00"	"3"	"Handicap"	"1"	"6"	"Nolan, D"	"OMeara, D"	"1m "	"4"	"11"	"5"	"15"
"17:45:00"	"2024-08-04"	"Haydock"	"Percy Shelley"	"11.00"	"14.14"	"Handicap"	"3"	"9"	"Tudhope, Daniel"	"OMeara, D"	"2m "	"3"	"16"	"5"	"8"
"15:20:00"	"2024-08-03"	"Thirsk"	"Alligator Alley"	"2.50"	"3.6"	"Handicap"	"1"	"9"	"Tudhope, Daniel"	"OMeara, D"	"5f "	"4"	"9"	"6"	"8"
"16:35:00"	"2024-07-27"	"York"	"Zozimus (IRE)"	"4.00"	"5.7"	"Handicap"	"5"	"15"	"Tudhope, Daniel"	"OMeara, D"	"1m "	"4"	"8"	"4"	"7"
"14:10:00"	"2024-07-25"	"Sandown"	"Alligator Alley"	"8.00"	"9.95"	"Handicap"	"6"	"8"	"Spencer, Jamie"	"OMeara, D"	"5f "	"4"	"20"	"8"	"9"
"15:35:00"	"2024-06-06"	"Haydock"	"Soul Seeker (IRE)"	"33.00"	"36.46"	"Handicap"	"4"	"13"	"Robinson, Ben"	"OMeara, D"	"5f "	"4"	"42"	"11"	"11"
"14:55:00"	"2024-06-06"	"Hamilton"	"Sound Reason"	"9.00"	"13.67"	"Handicap"	"4"	"11"	"Tudhope, Daniel"	"OMeara, D"	"5f "	"5"	"15"	"6"	"8"
"15:45:00"	"2024-06-03"	"Ayr"	"Westernesse (IRE)"	"3.50"	"5.05"	"Handicap"	"10"	"10"	"Nolan, D"	"OMeara, D"	"1m "	"4"	"15"	"3"	"10"
"18:45:00"	"2024-05-31"	"Doncaster"	"Pisanello (IRE)"	"12.00"	"14.75"	"Handicap"	"9"	"11"	"Winn, Mark"	"OMeara, D"	"1m "	"4"	"11"	"9"	"10"
"16:20:00"	"2024-05-22"	"Ayr"	"Sound Reason"	"6.00"	"8.2"	"Handicap"	"6"	"8"	"Winn, Mark"	"OMeara, D"	"5f "	"5"	"8"	"7"	"10"
"16:00:00"	"2024-05-20"	"Redcar"	"Pisanello (IRE)"	"16.00"	"21.59"	"Handicap"	"9"	"10"	"Winn, Mark"	"OMeara, D"	"1m "	"4"	"16"	"10"	"14"
"16:45:00"	"2024-05-17"	"York"	"Riot (IRE)"	"16.00"	"27"	"Handicap"	"1"	"20"	"Tudhope, Daniel"	"OMeara, D"	"7f "	"4"	"34"	"10"	"12"
"14:15:00"	"2024-05-16"	"York"	"Alligator Alley"	"16.00"	"22.46"	"Handicap"	"9"	"17"	"Watson, Jason"	"OMeara, D"	"5f "	"2"	"48"	"6"	"12"
"15:45:00"	"2024-05-14"	"Beverley"	"Sound Reason"	"3.33"	"4.47"	"Handicap"	"7"	"10"	"Watson, Jason"	"OMeara, D"	"5f "	"5"	"22"	"4"	"8"
"14:40:00"	"2024-05-11"	"Ascot"	"Pearle Dor (IRE)"	"4.50"	"6.53"	"Handicap"	"10"	"21"	"Sousa, Silvestre De"	"OMeara, D"	"7f "	"2"	"23"	"10"	"15"
"17:50:00"	"2024-05-04"	"Newmarket (Rowley)"	"Zozimus (IRE)"	"11.00"	"14.06"	"Handicap"	"3"	"16"	"Tudhope, Daniel"	"OMeara, D"	"1m "	"3"	"6"	"3"	"11"
"14:40:00"	"2024-05-04"	"Thirsk"	"Mirsky"	"25.00"	"28.48"	"Handicap"	"5"	"14"	"Nolan, D"	"OMeara, D"	"1m "	"2"	"No Prev"	"No Prev"	"No Prev"
"17:30:00"	"2024-04-22"	"Pontefract"	"Sound Reason"	"3.50"	"4.84"	"Handicap"	"4"	"8"	"Tudhope, Daniel"	"OMeara, D"	"5f "	"5"	"171"	"10"	"13"
"17:20:00"	"2024-04-18"	"Newmarket (Rowley)"	"Pearle Dor (IRE)"	"8.00"	"9.88"	"Handicap"	"10"	"15"	"Spencer, Jamie"	"OMeara, D"	"7f "	"2"	"194"	"3"	"17"
"16:45:00"	"2023-09-23"	"Ayr"	"Riot (IRE)"	"4.50"	"5.69"	"Handicap"	"5"	"12"	"Tudhope, Daniel"	"OMeara, D"	"7f "	"4"	"15"	"5"	"10"
"15:45:00"	"2023-09-08"	"Haydock"	"Riot (IRE)"	"9.00"	"12.98"	"Handicap"	"5"	"10"	"Doyle, James"	"OMeara, D"	"7f "	"3"	"15"	"5"	"7"
"17:00:00"	"2023-09-02"	"Beverley"	"Zozimus (IRE)"	"8.00"	"11.5"	"Handicap"	"2"	"9"	"Nolan, D"	"OMeara, D"	"1m.5f "	"4"	"19"	"6"	"8"
"18:30:00"	"2023-08-26"	"Redcar"	"Tendentious"	"16.00"	"22"	"Handicap"	"1"	"11"	"Nolan, D"	"OMeara, D"	"1m6f "	"5"	"15"	"8"	"8"
"19:42:00"	"2023-08-17"	"Ayr"	"Ascot Adventure"	"4.50"	"6.08"	"Handicap"	"3"	"8"	"Winn, Mark"	"OMeara, D"	"7.5f "	"4"	"20"	"3"	"17"
"14:05:00"	"2023-07-29"	"York"	"Soul Seeker (IRE)"	"25.00"	"33.21"	"Handicap"	"1"	"19"	"Nolan, Michael G"	"OMeara, D"	"5f "	"4"	"20"	"3"	"6"
