RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	RaceClass	DaysSinceRun	LR_Position	LR_NumberRunners	
"20:32:00"	"2026-07-31"	"Newmarket (July)"	"Drifts Away"	"3.50"	"5.3"	"Handicap"	"1"	"7"	"Kavanagh, Ryan"	"Kent, T J"	"1m "	"5"	"8"	"1"	"6"
"19:28:00"	"2026-07-27"	"Windsor"	"Amazonian Dream (IRE)"	"3.33"	"5.48"	"Handicap"	"7"	"13"	"Murphy, Oisin"	"Millman, B R"	"6f "	"3"	"7"	"1"	"8"
"16:45:00"	"2026-07-27"	"Ayr"	"Royal Duke"	"5.00"	"6.87"	"Handicap"	"5"	"8"	"Farmer, Shay"	"Smith, R Michael"	"5f "	"6"	"7"	"6"	"6"
"14:45:00"	"2026-07-27"	"Ayr"	"Mr Cool (IRE)"	"3.50"	"5.2"	"Handicap"	"1"	"9"	"Beasley, Connor"	"Johnston, Charlie"	"6f "	"6"	"10"	"3"	"6"
"20:11:00"	"2026-07-24"	"Chepstow"	"Level Up (IRE)"	"1.88"	"2.96"	"Handicap"	"1"	"7"	"Lewis, Ashley"	"Evans, P D"	"5f "	"6"	"4"	"2"	"10"
"20:11:00"	"2026-07-24"	"Chepstow"	"River Edge"	"8.50"	"10.3"	"Handicap"	"4"	"7"	"Heard, Tyler"	"Mason, Christopher"	"5f "	"6"	"8"	"4"	"4"
"20:11:00"	"2026-07-24"	"Chepstow"	"Savannah Smiles (IRE)"	"3.50"	"5.7"	"Handicap"	"6"	"7"	"Vigors, Harry"	"Harris, Miss G"	"5f "	"6"	"8"	"2"	"4"
"19:15:00"	"2026-07-24"	"York"	"Dicko The Legend (IRE)"	"7.50"	"16.04"	"Handicap"	"6"	"21"	"Garritty, Billy"	"Bailey, Liam"	"6f "	"4"	"7"	"5"	"6"
"19:08:00"	"2026-07-24"	"Cork"	"Whatswrongnow (IRE)"	"6.50"	"9.57"	"Handicap"	"12"	"19"	"McMonagle, Dylan B"	"Burke, Batt"	"6f "	"0"	"7"	"5"	"11"
"19:08:00"	"2026-07-24"	"Cork"	"Snowballs (IRE)"	"28.00"	"41.9"	"Handicap"	"18"	"19"	"Roche, L F"	"McCreery, W"	"6f "	"0"	"7"	"8"	"11"
"19:01:00"	"2026-07-24"	"Chepstow"	"Spirit Of The Bay (IRE)"	"6.00"	"8.2"	"Handicap"	"1"	"6"	"Fisher, Taylor"	"Flint, J L"	"1m "	"5"	"10"	"2"	"9"
