RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	Distance	RaceClass	DaysSinceRun	LR_Position	LR_NumberRunners	
"20:48:00"	"2026-06-30"	"Stratford"	"Cool Million (IRE)"	"6.00"	"7.8"	"NH Flat"	"3"	"7"	"ONeill, J P"	"Bramley, Faye"	"2m.5f "	"5"	"50"	"5"	"10"
"20:48:00"	"2026-06-30"	"Stratford"	"Ocean Rose (IRE)"	"80.00"	"96.91"	"NH Flat"	"6"	"7"	"Hanlon, Mr P"	"Murphy, Barry John"	"2m.5f "	"5"	"27"	"6"	"8"
"19:48:00"	"2026-06-30"	"Stratford"	"Yanka Blue (IRE)"	"66.00"	"100"	"Handicap Hurdle"	"5"	"10"	"Noonan, David G"	"Murphy, Barry John"	"2m3f "	"5"	"48"	"6"	"7"
"16:50:00"	"2026-06-30"	"Wexford"	"Sophia Rose (IRE)"	"6.00"	"9.01"	"Beginners Chase"	"8"	"14"	"Stone-Walsh, C"	"Cromwell, Gavin Patrick"	"2m3.5f "	"0"	"50"	"2"	"14"
"16:20:00"	"2026-06-30"	"Wexford"	"Lady Bluebird (IRE)"	"20.00"	"28.66"	"Beginners Chase"	"1"	"8"	"Harvey, Mr B W"	"Finegan, Hugh Paul"	"2m3.5f "	"0"	"35"	"3"	"15"
"16:20:00"	"2026-06-30"	"Wexford"	"Pampar Lady (IRE)"	"12.00"	"23"	"Beginners Chase"	"3"	"8"	"Donoghue, K M"	"Cromwell, Gavin Patrick"	"2m3.5f "	"0"	"31"	"3"	"6"
"16:20:00"	"2026-06-30"	"Wexford"	"Farfromnowhere (IRE)"	"1.38"	"2.44"	"Beginners Chase"	"5"	"8"	"OKeeffe, Sean F"	"Nolan, Paul"	"2m3.5f "	"0"	"109"	"21"	"24"
"16:20:00"	"2026-06-30"	"Wexford"	"Beauforts Storm (IRE)"	"20.00"	"34"	"Beginners Chase"	"UR"	"8"	"Doyle, Mr D"	"Doyle, Timothy"	"2m3.5f "	"0"	"31"	"2"	"6"
"15:20:00"	"2026-06-30"	"Wexford"	"Shannon Bank (IRE)"	"5.00"	"7.28"	"Handicap Chase"	"7"	"14"	"OKeeffe, Sean F"	"Kinirons, A"	"2m "	"0"	"29"	"1"	"10"
"15:20:00"	"2026-06-30"	"Wexford"	"Polly Poppins (IRE)"	"8.00"	"13.18"	"Handicap Chase"	"8"	"14"	"Kenneally, Michael"	"Crowley, Bernard Martin"	"2m "	"0"	"32"	"5"	"11"
"14:50:00"	"2026-06-30"	"Wexford"	"Femme Magnifique (IRE)"	"8.00"	"10.06"	"Handicap Chase"	"2"	"13"	"Quirke, Mr C M"	"Kelly, David Harry"	"2m "	"0"	"32"	"1"	"11"
"16:40:00"	"2026-06-29"	"Stratford"	"Miss Fedora (IRE)"	"16.00"	"21"	"Handicap Hurdle"	"6"	"14"	"Macey, Benjamin"	"Scholfield, Nick"	"2m.5f "	"5"	"68"	"8"	"10"
"16:40:00"	"2026-06-29"	"Stratford"	"Lucy The Wire (IRE)"	"4.00"	"6.6"	"Handicap Hurdle"	"8"	"14"	"Burke, Jonathan"	"Owen, J P"	"2m.5f "	"5"	"98"	"2"	"6"
"16:40:00"	"2026-06-29"	"Stratford"	"Jukebox Annie (IRE)"	"12.00"	"23.81"	"Handicap Hurdle"	"PU"	"14"	"Stenhouse, Mr Jack"	"Hitch,Mrs C"	"2m.5f "	"5"	"26"	"4"	"12"
"16:43:00"	"2026-06-28"	"Uttoxeter"	"Hope Rising (IRE)"	"2.50"	"6.06"	"Handicap Hurdle"	"2"	"3"	"Sheehan, Gavin"	"Snowden, Jamie"	"2m "	"4"	"29"	"2"	"5"
"14:27:00"	"2026-06-28"	"Cartmel"	"Fine As Wine (IRE)"	"6.00"	"8.6"	"Handicap Novices Hurdle"	"PU"	"10"	"Bowen, Sean P"	"Hanmer, G D"	"2m6f "	"5"	"84"	"3"	"10"
"13:57:00"	"2026-06-28"	"Cartmel"	"Crokes Cross (IRE)"	"20.00"	"38"	"Novices Hurdle"	"PU"	"9"	"Hamilton, Jamie"	"Coltherd, W S"	"2m1f "	"4"	"87"	"1"	"10"
"20:18:00"	"2026-06-26"	"Bangor"	"Centurions Sister (IRE)"	"1.63"	"2.65"	"Handicap Novices Hurdle"	"2"	"4"	"McMenamin, Daniel"	"Richards, N G"	"2m1f "	"4"	"32"	"2"	"5"
"14:48:00"	"2026-06-26"	"Cartmel"	"Masonbrook Meadow (IRE)"	"10.00"	"14.3"	"Handicap Hurdle"	"6"	"9"	"Macey, Benjamin"	"Mullins, J W"	"2m6f "	"5"	"27"	"7"	"10"
"15:43:00"	"2026-06-21"	"Hexham"	"Winds Of Winter (IRE)"	"7.50"	"10.08"	"Handicap Hurdle"	"3"	"5"	"Rabbitt, Mr C"	"Bewley, G T"	"2m.5f "	"3"	"29"	"5"	"10"
"14:43:00"	"2026-06-21"	"Hexham"	"Fortunes Dawn (IRE)"	"125.00"	"270.28"	"Maiden Hurdle"	"9"	"10"	"Fox, Derek R"	"Young Jnr, William"	"2m4.5f "	"4"	"29"	"7"	"10"
"14:43:00"	"2026-06-21"	"Hexham"	"Rachel Lopez (IRE)"	"40.00"	"80"	"Maiden Hurdle"	"PU"	"10"	"Quinlan, Sean"	"Coltherd, W S"	"2m4.5f "	"4"	"33"	"3"	"3"
