RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	
"15:33:00"	"2026-06-27"	"Chester"	"Magic Basma (IRE)"	"4.00"	"5.4"	"Non-Handicap"	"4"	"7"	"Eaves, Tom"	"Ryan, K A"
"13:30:00"	"2026-06-12"	"Chester"	"Lord Capulet (IRE)"	"3.50"	"5.26"	"Handicap"	"3"	"11"	"Callan, Mr Henry"	"Ryan, K A"
"15:40:00"	"2026-05-06"	"Chester"	"Alaminos"	"1.75"	"3.26"	"Handicap"	"7"	"12"	"Stott, Kevin"	"Ryan, K A"
"15:52:00"	"2025-08-03"	"Chester"	"Aint Nobody (IRE)"	"5.50"	"6.6"	"Non-Handicap"	"6"	"9"	"Eaves, Tom"	"Ryan, K A"
"14:45:00"	"2025-05-31"	"Chester"	"Full Gas (IRE)"	"14.00"	"21"	"Novices"	"7"	"8"	"Stott, Kevin"	"Ryan, K A"
"13:35:00"	"2025-05-31"	"Chester"	"Noche Clasica (IRE)"	"16.00"	"23.81"	"Maiden"	"1"	"10"	"Stott, Kevin"	"Ryan, K A"
"15:40:00"	"2025-05-07"	"Chester"	"Hammer The Hammer (IRE)"	"4.50"	"6.2"	"Handicap"	"1"	"11"	"Eaves, Tom"	"Ryan, K A"
"16:05:00"	"2024-07-27"	"Chester"	"Irish Nectar"	"9.00"	"11.5"	"Handicap"	"9"	"9"	"Norton, Francis"	"Ryan, K A"
"16:50:00"	"2024-05-10"	"Chester"	"Leap Year Lad (IRE)"	"9.00"	"12.68"	"Handicap"	"6"	"7"	"Keeley, Aidan"	"Ryan, K A"
"15:40:00"	"2024-05-10"	"Chester"	"Forza Orta (IRE)"	"9.00"	"13.5"	"Handicap"	"8"	"16"	"Scott, Rowan"	"Ryan, K A"
"15:55:00"	"2023-09-02"	"Chester"	"Elinor Dashwood (IRE)"	"7.50"	"9.17"	"Non-Handicap"	"4"	"5"	"Eaves, Tom"	"Ryan, K A"
"16:53:00"	"2022-07-09"	"Chester"	"Melayu Kingdom (IRE)"	"20.00"	"27"	"Handicap"	"3"	"7"	"Mullen, Andrew"	"Ryan, K A"
"13:55:00"	"2022-06-25"	"Chester"	"Danger Alert"	"3.00"	"4.8"	"Maiden"	"8"	"8"	"Norton, Francis"	"Ryan, K A"
"18:50:00"	"2022-06-24"	"Chester"	"Ventura Rascal"	"18.00"	"30"	"Handicap"	"10"	"12"	"Eaves, Tom"	"Ryan, K A"
"17:40:00"	"2022-06-24"	"Chester"	"Manaslu (IRE)"	"2.25"	"3.6"	"Handicap"	"2"	"6"	"Eaves, Tom"	"Ryan, K A"
"15:20:00"	"2022-06-11"	"Chester"	"Aleezdancer (IRE)"	"12.00"	"16.31"	"Handicap"	"7"	"12"	"Stott, Kevin"	"Ryan, K A"
"13:35:00"	"2022-06-11"	"Chester"	"War Treaty (IRE)"	"6.00"	"7.6"	"Novices"	"5"	"6"	"Stott, Kevin"	"Ryan, K A"
"14:35:00"	"2022-05-28"	"Chester"	"Esken Rose (USA)"	"3.00"	"4.28"	"Handicap"	"5"	"9"	"Gray, S A"	"Ryan, K A"
"14:05:00"	"2022-05-05"	"Chester"	"Aleezdancer (IRE)"	"6.50"	"8.96"	"Handicap"	"5"	"8"	"Stott, Kevin"	"Ryan, K A"
"14:30:00"	"2021-10-02"	"Chester"	"Major Jumbo"	"3.50"	"5"	"Handicap"	"5"	"7"	"McSweeney, O"	"Ryan, K A"
"15:10:00"	"2021-09-11"	"Chester"	"Catch Cunningham (IRE)"	"7.50"	"10.3"	"Handicap Nursery"	"3"	"7"	"McSweeney, O"	"Ryan, K A"
"14:00:00"	"2021-09-11"	"Chester"	"Throne Hall"	"7.00"	"10"	"Non-Handicap"	"8"	"9"	"Atzeni, Andrea"	"Ryan, K A"
"14:45:00"	"2021-08-21"	"Chester"	"Sadmah"	"4.00"	"5.67"	"Non-Handicap"	"1"	"6"	"Eaves, Tom"	"Ryan, K A"
"17:10:00"	"2021-07-10"	"Chester"	"Fighter Pilot (IRE)"	"8.50"	"9.97"	"Handicap"	"5"	"5"	"Hart, Jason"	"Ryan, K A"
"15:55:00"	"2021-06-26"	"Chester"	"Guest List (IRE)"	"4.50"	"6.19"	"Maiden"	"1"	"9"	"Tudhope, Daniel"	"Ryan, K A"
"15:45:00"	"2021-05-05"	"Chester"	"Uncle Jumbo"	"1.38"	"2.47"	"Handicap"	"3"	"10"	"Stott, Kevin"	"Ryan, K A"
"15:45:00"	"2020-09-12"	"Chester"	"Zaman Jameel"	"8.50"	"11.39"	"Handicap Nursery"	"5"	"5"	"Eaves, Tom"	"Ryan, K A"
"16:55:00"	"2020-08-20"	"Chester"	"Queens Sargent (FR)"	"12.00"	"18.25"	"Handicap"	"2"	"12"	"Nicholls, Miss M"	"Ryan, K A"
"14:10:00"	"2020-08-14"	"Chester"	"Bergerac (IRE)"	"4.00"	"5.5"	"Handicap Nursery"	"6"	"7"	"Eaves, Tom"	"Ryan, K A"
