RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	
"19:00:00"	"2026-04-20"	"Newcastle"	"April Diamond (IRE)"	"150.00"	"294.56"	"Maiden"	"7"	"9"	"Fairley, Greg"	"Jardine, I"
"19:00:00"	"2026-04-20"	"Newcastle"	"Alfa Impulsion"	"66.00"	"103.13"	"Maiden"	"9"	"9"	"Hart, Jason"	"Furtado, Ivan"
"19:00:00"	"2026-04-13"	"Newcastle"	"Toyotomi (FR)"	"11.00"	"13.05"	"Handicap"	"5"	"10"	"Tudhope, Daniel"	"OMeara, D"
"18:30:00"	"2026-04-13"	"Newcastle"	"Leelawadee"	"33.00"	"52.34"	"Novices"	"7"	"10"	"Winn, Mark"	"Dods, M"
"18:30:00"	"2026-04-13"	"Newcastle"	"Tzarmaggedon"	"22.00"	"37.93"	"Novices"	"9"	"10"	"Marshall, Tom Kiely"	"Smart, B"
"18:00:00"	"2026-04-13"	"Newcastle"	"Cosmic Clarets (IRE)"	"3.00"	"4.5"	"Handicap"	"2"	"13"	"Orr, Oisin"	"Fahey, R A"
"18:00:00"	"2026-04-13"	"Newcastle"	"Carnation Queen (IRE)"	"11.00"	"15"	"Handicap"	"5"	"13"	"Russell, Harry"	"Pears, Ollie"
"14:25:00"	"2026-04-03"	"Newcastle"	"Paris Babe (FR)"	"20.00"	"30"	"Handicap"	"6"	"11"	"Doyle, Hollie"	"Watson, Archie"
"13:50:00"	"2026-04-03"	"Newcastle"	"Justmyluck"	"66.00"	"140"	"Handicap"	"11"	"14"	"Jary, Alex"	"Perratt, Miss L A"
"19:00:00"	"2026-03-27"	"Newcastle"	"Andesite"	"40.00"	"85.02"	"Handicap"	"7"	"14"	"Winn, Mark"	"Fell, R / Murray, S"
"18:00:00"	"2026-03-27"	"Newcastle"	"Mayo County"	"14.00"	"16"	"Handicap"	"8"	"9"	"Sexton, Ryan"	"Camacho, Miss J A"
