RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	
"17:05:00"	"2026-07-29"	"Galway"	"Mr Erwitt (IRE)"	"250.00"	"1000"	"Maiden Hurdle"	"PU"	"20"	"Stone-Walsh, C"	"OBrien, V T"
"16:00:00"	"2026-07-12"	"Sligo"	"Poppycon (IRE)"	"10.00"	"13.6"	"Handicap Hurdle"	"2"	"15"	"Enright, P T"	"Doyle, Eoin"
"15:25:00"	"2026-07-12"	"Sligo"	"Las Brisas Boy (IRE)"	"10.00"	"15.52"	"Handicap Hurdle"	"2"	"14"	"Buckley, Tom"	"Buckley, Edward"
"13:10:00"	"2026-07-12"	"Sligo"	"Pebble Island"	"2.50"	"3.9"	"Maiden Hurdle"	"4"	"11"	"OBrien, P M"	"McConnell, John C"
"18:58:00"	"2026-07-02"	"Limerick"	"Whatafoolbelieves (IRE)"	"50.00"	"100"	"Handicap Hurdle"	"11"	"18"	"Kidd, D A"	"McConnell, John C"
"18:58:00"	"2026-07-02"	"Limerick"	"U Asking Me (IRE)"	"33.00"	"72.46"	"Handicap Hurdle"	"12"	"18"	"Slevin, J J"	"Doyle, Eoin"
"19:42:00"	"2026-06-15"	"Kilbeggan"	"Lisnamult Lad (IRE)"	"11.00"	"15"	"Handicap Hurdle"	"PU"	"12"	"Buckley, Kieran"	"Donoghue, Ian"
"17:12:00"	"2026-06-15"	"Kilbeggan"	"Ol Man Dingle (IRE)"	"3.50"	"5"	"Handicap Chase"	"1"	"10"	"OCallaghan, Shane"	"Griffin, Eoin"
"17:00:00"	"2026-05-31"	"Kilbeggan"	"Bridies Beau (IRE)"	"6.50"	"10.79"	"Handicap Chase"	"PU"	"11"	"Donoghue, K M"	"Cromwell, Gavin Patrick"
"15:26:00"	"2026-05-31"	"Kilbeggan"	"Rajjnatin (IRE)"	"6.50"	"8.6"	"Handicap Hurdle"	"4"	"14"	"Stone-Walsh, C"	"Donoghue, Ian"
"14:26:00"	"2026-05-31"	"Kilbeggan"	"Imarajan (IRE)"	"12.00"	"14.2"	"Maiden Hurdle"	"2"	"14"	"Cody, Mr P J"	"Doyle, Eoin"
"20:00:00"	"2026-05-30"	"Tramore"	"Thiscouldbetheone (IRE)"	"1.25"	"2.24"	"Maiden Hurdle"	"3"	"13"	"Walsh, M P"	"Brassil, Martin"
"20:00:00"	"2026-05-30"	"Tramore"	"Headcorn (IRE)"	"33.00"	"55"	"Maiden Hurdle"	"8"	"13"	"Donovan, Philip"	"Phillips, Michael John"
"19:30:00"	"2026-05-30"	"Tramore"	"Liberated Light (IRE)"	"6.00"	"8.04"	"Handicap Hurdle"	"1"	"15"	"Gleeson, Mr J L"	"Kiely, J E and Thomas"
"19:35:00"	"2026-05-08"	"Downpatrick"	"My Good Pal (IRE)"	"5.00"	"8.79"	"Handicap Chase"	"2"	"11"	"Coonan, Mr B M"	"Cromwell, Gavin Patrick"
