RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	
"17:30:00"	"2026-07-31"	"Galway"	"Glens Sensation (IRE)"	"250.00"	"1000"	"Beginners Chase"	"PU"	"9"	"Gilligan, Jack G"	"Gilligan, Paul John"
"16:30:00"	"2026-07-30"	"Galway"	"Helvic Dream (IRE)"	"12.00"	"18.01"	"Handicap Hurdle"	"6"	"20"	"Meyler, D"	"Meade, Noel"
"18:55:00"	"2026-07-23"	"Wexford"	"Im For Home (IRE)"	"11.00"	"13.5"	"Handicap Hurdle"	"PU"	"12"	"Healy, Mr Kevin"	"Rath, R P"
"16:20:00"	"2026-07-22"	"Wexford"	"West Away (IRE)"	"7.00"	"9.45"	"Beginners Chase"	"3"	"9"	"Finegan, Mr E"	"Collins, P E"
"19:39:00"	"2026-07-21"	"Ballinrobe"	"La Tene (IRE)"	"6.50"	"9.75"	"Handicap Hurdle"	"3"	"16"	"Kenneally, Michael"	"Ryan, John Patrick"
"18:45:00"	"2026-07-16"	"Killarney"	"Jupiter Du Gite (FR)"	"10.00"	"14.48"	"Handicap Hurdle"	"2"	"10"	"Kenneally, Michael"	"Hogan, T"
"18:18:00"	"2026-07-06"	"Roscommon"	"Home By The Sea (IRE)"	"250.00"	"1000"	"Maiden Hurdle"	"4"	"14"	"Condon, R J"	"Fahy, P A"
"18:58:00"	"2026-07-02"	"Limerick"	"Cant Catch Molly (IRE)"	"20.00"	"32"	"Handicap Hurdle"	"PU"	"18"	"OBrien, P M"	"Downey, P"
"15:50:00"	"2026-07-02"	"Perth"	"Dreamings Free (IRE)"	"25.00"	"30"	"Handicap Hurdle"	"9"	"10"	"Price, Charlie"	"Bourne, Daniel"
"15:25:00"	"2026-07-01"	"Worcester"	"Hes Tailor Made (IRE)"	"33.00"	"47.73"	"Maiden Hurdle"	"10"	"11"	"Corcoran, Mr Rian"	"Wintle, A"
"17:20:00"	"2026-06-30"	"Wexford"	"Maxi Mac Gold (FR)"	"8.50"	"12.5"	"Novices Chase"	"3"	"10"	"OSullivan, Alan"	"Nolan, Paul"
"14:50:00"	"2026-06-30"	"Wexford"	"Solsbury Hill (IRE)"	"14.00"	"22"	"Handicap Chase"	"UR"	"13"	"ODwyer, Charlie"	"ODwyer, Conor"
"19:43:00"	"2026-06-26"	"Bangor"	"Summergrounds"	"4.50"	"5.8"	"Handicap Hurdle"	"3"	"4"	"McMenamin, Daniel"	"Richards, N G"
"17:12:00"	"2026-06-15"	"Kilbeggan"	"Wonleg (IRE)"	"8.50"	"15.19"	"Handicap Chase"	"9"	"10"	"OConnor, M P"	"Bromhead, Henry De"
"19:42:00"	"2026-06-13"	"Uttoxeter"	"Order Of The Dance (IRE)"	"12.00"	"16.5"	"Handicap Chase"	"PU"	"6"	"Tudor, Jack"	"Pipe, D E"
"15:45:00"	"2026-06-13"	"Downpatrick"	"Leave In Secret (IRE)"	"6.00"	"9.4"	"Handicap Chase"	"7"	"14"	"Smith, Mr James"	"Gibney, Thomas"
"13:25:00"	"2026-06-13"	"Downpatrick"	"Vroomvroomboo (IRE)"	"12.00"	"16.5"	"Maiden Hurdle"	"8"	"10"	"Smithers, C D"	"Fahey, James"
"20:50:00"	"2026-05-30"	"Stratford"	"Great Dange (FR)"	"50.00"	"95"	"Handicap Hurdle"	"9"	"10"	"Broughton, Mr T P"	"Gibbons, A M"
"20:00:00"	"2026-05-30"	"Tramore"	"Butch Coolidge (IRE)"	"7.00"	"11.11"	"Maiden Hurdle"	"1"	"13"	"Hayes, Brian"	"Kelly, David Harry"
"14:41:00"	"2026-05-30"	"Listowel"	"Gomez Addams (IRE)"	"1.63"	"2.91"	"Maiden Hurdle"	"1"	"17"	"OKeeffe, Darragh"	"Bromhead, Henry De"
"20:10:00"	"2026-05-29"	"Tramore"	"Talas Kera (IRE)"	"33.00"	"48"	"NH Flat"	"7"	"11"	"Kavanagh, Sarah"	"Carr, John G"
"16:00:00"	"2026-05-28"	"Worcester"	"Brionywells"	"20.00"	"27"	"Handicap Novices Hurdle"	"1"	"10"	"Slatter, Mr N"	"McPherson, Graeme P"
"18:19:00"	"2026-05-27"	"Wexford"	"Big Dee (IRE)"	"9.00"	"11.17"	"Handicap Hurdle"	"PU"	"14"	"OKeeffe, Darragh"	"McCarthy, Eoin Christopher"
"16:30:00"	"2026-05-25"	"Ballinrobe"	"Thecompanysergeant"	"4.00"	"6.8"	"Hurdle"	"2"	"8"	"Donoghue, K M"	"Cromwell, Gavin Patrick"
"14:48:00"	"2026-05-25"	"Cartmel"	"Suitably Surprised (IRE)"	"28.00"	"44"	"Handicap Hurdle"	"PU"	"10"	"Midgley, Tom"	"England, Sam"
"16:55:00"	"2026-05-24"	"Fontwell"	"Thistle Be The One (IRE)"	"12.00"	"16.5"	"Handicap Chase"	"5"	"6"	"Noonan, David G"	"Clarke, Ben"
"20:20:00"	"2026-05-19"	"Hexham"	"Born Like Me (FR)"	"22.00"	"23.2"	"Handicap Hurdle"	"5"	"10"	"Palmer, Oscar"	"Smith, Mrs S J"
"17:05:00"	"2026-05-17"	"Stratford"	"Grillon De Monty (FR)"	"28.00"	"38.78"	"Handicap Chase"	"2"	"6"	"Stones, Lewis"	"Allen, S G"
"19:55:00"	"2026-05-16"	"Uttoxeter"	"Earlofbrackenstown (IRE)"	"40.00"	"66.77"	"Handicap Hurdle"	"PU"	"12"	"Hogan, Mr J"	"Bedi, Miss J"
"17:05:00"	"2026-05-16"	"Bangor"	"Hudson (FR)"	"8.00"	"10.28"	"Handicap Novices Chase"	"UR"	"6"	"Bowen, James C"	"Bowen, Mickey"
"17:20:00"	"2026-05-15"	"Kilbeggan"	"Long Gone (IRE)"	"80.00"	"218.41"	"Handicap Hurdle"	"6"	"14"	"Stone-Walsh, C"	"Kelly, Noel C"
"17:50:00"	"2026-05-14"	"Clonmel"	"Charlies Gift (IRE)"	"14.00"	"22"	"Handicap Hurdle"	"7"	"16"	"Walsh, E"	"Burke, John M"
"15:43:00"	"2026-05-14"	"Perth"	"Annie Agnew"	"3.50"	"5.4"	"Handicap Hurdle"	"4"	"6"	"McParlan, Mr N"	"Quinn, Gerald"
"17:20:00"	"2026-05-13"	"Punchestown"	"Something Black (IRE)"	"250.00"	"1000"	"Maiden Hurdle"	"PU"	"16"	"Brouder, Gavin"	"Egan, Kieran P"
"19:28:00"	"2026-05-12"	"Sligo"	"Island Mccoo (IRE)"	"6.50"	"8.2"	"Handicap Hurdle"	"4"	"16"	"Moore, Niall"	"Duggan, Donncha"
"17:27:00"	"2026-05-12"	"Sligo"	"Atlantic Gamble"	"14.00"	"19.17"	"Maiden Hurdle"	"6"	"15"	"Gilligan, Jack G"	"Gilligan, Paul John"
"17:27:00"	"2026-05-12"	"Sligo"	"Dahab (IRE)"	"16.00"	"25.62"	"Maiden Hurdle"	"13"	"15"	"Cleary, Mr Paddy"	"Broad, D"
"17:05:00"	"2026-05-11"	"Killarney"	"Danalii (IRE)"	"200.00"	"1000"	"Maiden Hurdle"	"PU"	"12"	"Gilligan, Jack G"	"Gilligan, Paul John"
"15:12:00"	"2026-05-11"	"Southwell"	"Seaview Rock"	"1.88"	"3.2"	"Handicap Novices Chase"	"2"	"5"	"Bowen, Sean P"	"Murphy, Olly"
"17:00:00"	"2026-05-10"	"Cork"	"Empire Walk (IRE)"	"8.00"	"13.5"	"Handicap Hurdle"	"3"	"21"	"Kenneally, Michael"	"Motherway, J"
"17:00:00"	"2026-05-10"	"Cork"	"Tantrum Boy (IRE)"	"25.00"	"65"	"Handicap Hurdle"	"16"	"21"	"Slevin, J J"	"McMahon, Brian M"
"16:02:00"	"2026-05-10"	"Ludlow"	"Lord Cauvelliere (FR)"	"8.00"	"10.5"	"Handicap Hurdle"	"4"	"7"	"Pritchard, Mr Callum"	"Lewis, Mrs S W"
"15:50:00"	"2026-05-10"	"Cork"	"Parkgarve (IRE)"	"14.00"	"17.5"	"Handicap Hurdle"	"8"	"15"	"Williamson, Mr J H"	"Donoghue, Ian"
"15:50:00"	"2026-05-10"	"Cork"	"Brianna Lily (IRE)"	"50.00"	"107.83"	"Handicap Hurdle"	"12"	"15"	"Kenneally, Michael"	"Barcoe, James M"
"14:40:00"	"2026-05-10"	"Cork"	"Noble Name (IRE)"	"7.00"	"12.71"	"Maiden Hurdle"	"8"	"15"	"Smith, Mr James"	"OConnell, Ms Claire"
"18:07:00"	"2026-05-09"	"Warwick"	"Fine Fellow"	"25.00"	"48"	"Maiden Hurdle"	"5"	"8"	"Broughton, Mr T P"	"Ralph, Alastair"
"18:35:00"	"2026-05-08"	"Downpatrick"	"Katies Casper (IRE)"	"7.50"	"10.5"	"Handicap Hurdle"	"9"	"12"	"Kenneally, Michael"	"McLoughlin, D A"
"17:35:00"	"2026-05-08"	"Downpatrick"	"Im For Home (IRE)"	"33.00"	"50"	"Handicap Hurdle"	"8"	"15"	"Hogan, C M"	"Watson, R K"
"17:42:00"	"2026-05-06"	"Fontwell"	"Hillsin (IRE)"	"18.00"	"20.23"	"Handicap Hurdle"	"PU"	"9"	"Turner, James"	"Jones, A E"
"14:40:00"	"2026-05-04"	"Warwick"	"No Risk Today (FR)"	"66.00"	"172.87"	"Maiden Hurdle"	"6"	"13"	"Hogan, Mr J"	"OBrien, Fergal"
"14:10:00"	"2026-05-04"	"Down Royal"	"Crypto Crash"	"40.00"	"87.08"	"Handicap Hurdle"	"6"	"20"	"Shinnick, J P"	"Budds, David Kenneth"
"16:20:00"	"2026-05-02"	"Uttoxeter"	"Shinealight (IRE)"	"16.00"	"22"	"Handicap Novices Hurdle"	"3"	"8"	"Macey, Benjamin"	"Dawson, John"
"12:45:00"	"2026-05-02"	"Uttoxeter"	"Spartan Times"	"18.00"	"30"	"Handicap Hurdle"	"1"	"16"	"Power, I J"	"Candlish, Jennie"
"18:50:00"	"2026-05-01"	"Warwick"	"Police Academy (IRE)"	"1.75"	"3.14"	"Hunters Chase"	"2"	"7"	"Callwood, Miss Ellie"	"Morgan, Miss Kelly"
"19:59:00"	"2026-04-24"	"Kilbeggan"	"Jodoro (IRE)"	"80.00"	"142.71"	"NH Flat"	"9"	"14"	"Sutton, Mr J P"	"McLoughlin, D A"
"16:50:00"	"2026-04-24"	"Kilbeggan"	"Survivors Sister (IRE)"	"22.00"	"46"	"Handicap Hurdle"	"7"	"14"	"Gilligan, Jack G"	"Gilligan, Paul John"
"17:35:00"	"2026-04-23"	"Warwick"	"For A Moment (IRE)"	"0.57"	"1.62"	"NH Flat"	"1"	"8"	"Burke, Jonathan"	"OBrien, Fergal"
