RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	
"14:35:00"	"2024-12-31"	"Punchestown"	"I A Connect (IRE)"	"66.00"	"210"	"Handicap Hurdle"	"6"	"12"	"Quail, Toni"	"McCutcheon, Miss Evanna"
"14:20:00"	"2024-12-31"	"Warwick"	"Grillon De Monty (FR)"	"125.00"	"316.59"	"Handicap Hurdle"	"PU"	"10"	"Brace, Mr J"	"Allen, S G"
"14:14:00"	"2024-12-31"	"Lingfield"	"Port Road (USA)"	"40.00"	"71.74"	"Handicap"	"8"	"11"	"Bradley, Paddy"	"Dow, S"
"13:50:00"	"2024-12-31"	"Warwick"	"Noche Negra (SPA)"	"2.25"	"3.3"	"Handicap Chase"	"1"	"7"	"Brace, Mr J"	"Twiston-Davies, N A"
"13:44:00"	"2024-12-31"	"Lingfield"	"Royal Champion (IRE)"	"0.83"	"1.89"	"Non-Handicap"	"1"	"6"	"Lee, Clifford"	"Burke, K R"
"13:35:00"	"2024-12-31"	"Punchestown"	"Ephesus (IRE)"	"16.00"	"30"	"Maiden Hurdle"	"3"	"20"	"King, D"	"Hogan, Denis Gerard"
"13:35:00"	"2024-12-31"	"Punchestown"	"Bursinel (IRE)"	"50.00"	"169.35"	"Maiden Hurdle"	"11"	"20"	"Harvey, Mr B W"	"Collins, C M"
"13:35:00"	"2024-12-31"	"Punchestown"	"Stone Forest (IRE)"	"250.00"	"1000"	"Maiden Hurdle"	"16"	"20"	"Morgan, Hugh"	"Doyle, Eoin"
"13:35:00"	"2024-12-31"	"Punchestown"	"Sing A New Song (IRE)"	"200.00"	"671.08"	"Maiden Hurdle"	"18"	"20"	"Sexton, Mr H E"	"Sexton, Adrian"
"13:05:00"	"2024-12-31"	"Punchestown"	"Rolly Bowley Boy (IRE)"	"14.00"	"24"	"Handicap Chase"	"2"	"9"	"OSullivan, James"	"Rothwell, P J"
"13:00:00"	"2024-12-31"	"Uttoxeter"	"San Guido (IRE)"	"33.00"	"55"	"Handicap Hurdle"	"PU"	"8"	"Hughes, Brian"	"Keighley, M"
"12:50:00"	"2024-12-31"	"Warwick"	"Flyover (IRE)"	"300.00"	"1000"	"Novices Hurdle"	"PU"	"16"	"Brace, Mr J"	"Allen, S G"
"12:44:00"	"2024-12-31"	"Lingfield"	"Horus"	"3.33"	"4.7"	"Handicap Nursery"	"1"	"8"	"Levey, S M"	"Keady, Michael"
"11:14:00"	"2024-12-31"	"Lingfield"	"Twirler"	"33.00"	"50"	"Handicap"	"6"	"7"	"Bradley, Paddy"	"Attwater, M J"
"16:30:00"	"2024-12-30"	"Wolverhampton"	"Spartan Times"	"14.00"	"28.15"	"Novices"	"5"	"5"	"Redman, Alfie"	"Candlish, Jennie"
"13:30:00"	"2024-12-30"	"Haydock"	"If Not For Dylan (IRE)"	"22.00"	"37.91"	"Handicap Chase"	"6"	"7"	"Fox, Derek R"	"Russell, Miss Lucinda V"
"13:15:00"	"2024-12-30"	"Taunton"	"Zenato (IRE)"	"10.00"	"25.68"	"Hurdle"	"3"	"9"	"Burke, Jonathan"	"OBrien, Fergal"
"13:15:00"	"2024-12-30"	"Taunton"	"Thomas G"	"33.00"	"140"	"Hurdle"	"5"	"9"	"Dingle, Rex"	"Honeyball, A J"
"13:15:00"	"2024-12-30"	"Taunton"	"Bradman"	"125.00"	"602.98"	"Hurdle"	"6"	"9"	"Best, J A"	"Bishop, K"
"13:15:00"	"2024-12-30"	"Taunton"	"Infinity Blue (IRE)"	"28.00"	"67.68"	"Hurdle"	"PU"	"9"	"Tudor, Jack"	"Pipe, D E"
"15:35:00"	"2024-12-29"	"Southwell"	"Mehmo (IRE)"	"25.00"	"39.11"	"Handicap"	"6"	"9"	"Bradley, Paddy"	"Attwater, M J"
"15:27:00"	"2024-12-29"	"Limerick"	"Jack In The Box (IRE)"	"25.00"	"52.66"	"Handicap Hurdle"	"PU"	"18"	"Williamson, Mr J H"	"OConnell, Eamon"
"15:22:00"	"2024-12-29"	"Doncaster"	"Kourosh (GER)"	"4.50"	"6.4"	"Handicap Hurdle"	"PU"	"8"	"Bowen, Sean P"	"Oliver, Henry"
"14:25:00"	"2024-12-29"	"Southwell"	"Delta Legend (IRE)"	"3.33"	"4.9"	"Handicap"	"5"	"11"	"Levey, S M"	"Keady, Michael"
"13:42:00"	"2024-12-29"	"Limerick"	"Maroto (IRE)"	"40.00"	"89.36"	"Novices Hurdle"	"7"	"8"	"Slevin, J J"	"McNamara, Andrew"
"13:28:00"	"2024-12-29"	"Kelso"	"The Back Braes (IRE)"	"200.00"	"587.13"	"Maiden Hurdle"	"9"	"14"	"Chapman, Ross"	"Coltherd, W S"
"13:15:00"	"2024-12-29"	"Southwell"	"Muddy Mooy (IRE)"	"5.00"	"7.41"	"Novices"	"2"	"11"	"Greatrex, Edward"	"Attwater, P"
"12:05:00"	"2024-12-29"	"Southwell"	"First Kiss (IRE)"	"33.00"	"42"	"Handicap"	"8"	"10"	"Leavy, Mr Joe"	"Sangster, Ollie"
"12:00:00"	"2024-12-29"	"Limerick"	"West Of Carrig (IRE)"	"11.00"	"15.27"	"Maiden Hunters Chase"	"3"	"16"	"Browne, Mr A J"	"Browne, Don"
"12:00:00"	"2024-12-29"	"Limerick"	"Bigbraveboy (IRE)"	"28.00"	"51.9"	"Maiden Hunters Chase"	"7"	"16"	"Murphy, J G M"	"Hannon, James"
"12:00:00"	"2024-12-29"	"Limerick"	"Drumnasoo (IRE)"	"12.00"	"22"	"Maiden Hunters Chase"	"PU"	"16"	"McParlan, Mr N"	"Tumilty, Ross"
"12:00:00"	"2024-12-29"	"Limerick"	"Hitak (FR)"	"18.00"	"31.32"	"Maiden Hunters Chase"	"PU"	"16"	"ONeill, Mr B"	"Cogan, Miss Tara Lee"
"11:52:00"	"2024-12-29"	"Doncaster"	"Volakes"	"22.00"	"63.13"	"Maiden Hurdle"	"3"	"8"	"Gethings, Ciaran"	"Edmunds, Stuart"
"11:05:00"	"2024-12-29"	"Southwell"	"Miggy Magic (IRE)"	"10.00"	"13.82"	"Handicap"	"3"	"11"	"Levey, S M"	"Keady, Michael"
"18:00:00"	"2024-12-28"	"Newcastle"	"Caffu Zafeen (IRE)"	"4.00"	"5.51"	"Handicap"	"6"	"11"	"Muscutt, D"	"Simcock, D M"
"17:45:00"	"2024-12-28"	"Southwell"	"Another Lifetime"	"12.00"	"18.19"	"Novices"	"3"	"7"	"Hutchinson, Callum"	"Hawke, N J"
