RTime	Date	track	Qualifier	Odds_Numeric	Odds_Exchange	Race_Type	Position	Runners	Jockey	Trainer	
"17:50:00"	"2026-07-31"	"Newmarket (July)"	"National Honour (IRE)"	"1.63"	"2.91"	"Novices"	"2"	"7"	"Planas, Connor"	"Appleby, Charlie"
"17:00:00"	"2026-07-31"	"Galway"	"Sovreigns Joy"	"20.00"	"28.86"	"Maiden"	"8"	"15"	"Lordan, W M"	"Lupini, Miss Natalia"
"18:50:00"	"2026-07-29"	"Sandown"	"Lancaster Tower"	"0.83"	"1.85"	"Novices"	"3"	"6"	"Havlin, Robert"	"Gosden, J H M"
"18:30:00"	"2026-07-27"	"Ripon"	"Pure Mint (IRE)"	"1.10"	"2.22"	"Novices"	"1"	"7"	"Davies, Harry"	"Crisford, Simon"
"13:40:00"	"2026-07-25"	"Gowran Park"	"Spectrolyte (IRE)"	"2.00"	"3.4"	"Maiden"	"9"	"10"	"Slattery, A J"	"Slattery, Andrew"
"13:40:00"	"2026-07-25"	"Gowran Park"	"Matavai Bay (IRE)"	"33.00"	"60"	"Maiden"	"10"	"10"	"Coen, Ben M"	"Coleman, Kevin"
"18:40:00"	"2026-07-24"	"York"	"Special Operations (IRE)"	"33.00"	"85"	"Novices"	"4"	"8"	"Kirrane, Sean"	"Easterby, T D"
"17:52:00"	"2026-07-24"	"Chepstow"	"Evangeline Adams"	"18.00"	"26"	"Maiden"	"9"	"10"	"Leavy, Mr Joe"	"Lavelle, Miss E C"
"16:48:00"	"2026-07-24"	"Cork"	"Blooming Sally (IRE)"	"11.00"	"15.5"	"Maiden"	"2"	"10"	"Slattery, A J"	"Slattery, Andrew"
"16:48:00"	"2026-07-24"	"Cork"	"Capital Of Pride (IRE)"	"8.50"	"12.84"	"Maiden"	"5"	"10"	"OConnor, Donagh"	"Aguiar, Robson"
"16:48:00"	"2026-07-24"	"Cork"	"Tango Club (IRE)"	"16.00"	"26.54"	"Maiden"	"6"	"10"	"Roche, L F"	"Fahey, Jarlath P"
"14:30:00"	"2026-07-24"	"Thirsk"	"Naughty At Forty (IRE)"	"28.00"	"50"	"Novices"	"7"	"7"	"Lee, Clifford"	"Nicholls, Adrian"
"14:00:00"	"2026-07-24"	"Thirsk"	"Isabella De Vega (IRE)"	"9.00"	"13"	"Novices"	"3"	"6"	"Downing, George"	"Walker, Ed"
"14:00:00"	"2026-07-24"	"Thirsk"	"Diamond New Bay (IRE)"	"0.62"	"1.62"	"Novices"	"4"	"6"	"Lee, Clifford"	"Burke, K R"
"18:30:00"	"2026-07-23"	"Newbury"	"Ruby Sands"	"7.00"	"9.4"	"Novices"	"3"	"7"	"Mitchell, Jack"	"Sangster, Ollie"
"17:33:00"	"2026-07-23"	"Leopardstown"	"Churchill Bond"	"3.33"	"5.9"	"Maiden"	"7"	"12"	"Lee, W J"	"Twomey, P"
"17:33:00"	"2026-07-23"	"Leopardstown"	"Coastal Wonder (IRE)"	"14.00"	"16.5"	"Maiden"	"9"	"12"	"Whelan, R P"	"ODonoghue, John"
"17:04:00"	"2026-07-23"	"Yarmouth"	"Evenfall"	"0.67"	"1.96"	"Novices"	"1"	"4"	"Loughnane, Mr Billy"	"Boughey, George"
"14:25:00"	"2026-07-23"	"Sandown"	"New Oxford (IRE)"	"10.00"	"13.06"	"Maiden"	"4"	"9"	"Edmunds, Lewis"	"Charlton, Roger/Harry"
"14:25:00"	"2026-07-23"	"Sandown"	"United Authority"	"2.25"	"4"	"Maiden"	"5"	"9"	"Doyle, James"	"Beckett, R M"
"14:25:00"	"2026-07-23"	"Sandown"	"On Target (FR)"	"5.00"	"8.72"	"Maiden"	"6"	"9"	"Murphy, Oisin"	"Scott, George"
"14:10:00"	"2026-07-23"	"Doncaster"	"Jassas"	"1.50"	"2.75"	"Novices"	"1"	"9"	"Buick, William"	"Appleby, Charlie"
"14:10:00"	"2026-07-23"	"Doncaster"	"Narrjoo (IRE)"	"4.00"	"5.3"	"Novices"	"2"	"9"	"Rodriguez, Callum"	"Crisford, Simon"
"17:30:00"	"2026-07-22"	"Naas"	"Zoar (USA)"	"16.00"	"30"	"Maiden"	"2"	"18"	"Hayes, C D"	"Halley, Josh"
"17:30:00"	"2026-07-22"	"Naas"	"Muscogee Nation (CAN)"	"4.50"	"7.6"	"Maiden"	"7"	"18"	"McMonagle, Dylan B"	"OCallaghan, M D"
"14:07:00"	"2026-07-22"	"Catterick"	"Missouri Waltz (IRE)"	"5.50"	"7.8"	"Maiden"	"1"	"10"	"Sheehy, M P"	"Keatley, Adrian Paul"
